Group,Title,Year,Month,Day,End Year,End Month,End Day,Display Date,Detail,URL,Image URL,Image Credit,Type,Color
 用語/解説,『「芸術」が終ったあとのアート』松井みどり,2002,2,,,,,,"出版社: 朝日出版社 (2002/02)／
発売日： 2002/02",,,,,
批評誌,『ART CRITIQUE』,2010,10,22,now,,,,出版社: constellation books,http://blueart-pub.com/,,,,
批評誌,『モダニズムのハード・コア―現代美術批評の地平 批評空間 　第2期臨時増刊号』,1995,3,,,,,,太田出版,,,,,
批評誌,『REAR（リア）』,2002,,,now,,,,出版社: リア制作室,,,,,
批評誌,『芸術/批評』藤枝 晃雄,2003,6,,now,,,,"出版社: 東信堂 (2003/06)／
発売日： 2003/06",,,,,
批評誌,『引込線』,2008,10,1,2015,,,,"発行：所沢ビエンナーレ実行委員会,引込線実行委員会",http://www.hikikomisen.com/2015/book.html,,,,
批評誌,『表象』,2007,4,30,now,,,,表象文化論学会＝発行、月曜社＝発売,http://www.repre.org/,,,,
理論/美学,『古寺巡礼』和辻哲郎,1919,,,,,,,,http://www.aozora.gr.jp/cards/001395/files/49891_41902.html,,,,
理論/美学,『詩学（Peri poitiks）』アリストテレス,-384,,,-322,,,,,,,,,
理論/美学,『メディア論　人間の拡張の諸相（Understanding Media: the Extensions of Man）』マーシャル・マクルーハン,1964,,,,,,,,,,,,
理論/美学,『風姿花伝（風姿華傳）』世阿弥,1400,,,1420,,,,"多くの人に読まれ始めたのは20世紀に入った明治42年（1909年）に吉田東伍が学会に発表してからで、それまでは一族の「秘伝書」として、その存在すらほとんど知られていなかった。『花伝書』の通称が用いられていた頃もあったが、後の研究の結果現在では誤称とされる。
能の芸道論としても読める一方、日本の美学の古典ともいう。Kadensho、Flowering Spirit などの題名で何度か外国語訳もされ、日本国外でも評価されている。(Wikipedia)
",,,,,
理論/美学,『意志と表象としての世界（Die Welt als Wille und Vorstellung）』アルトゥル・ショーペンハウアー,1819,,,,,,," 第一部「表象としての世界の第一考察」,第二部「意志としての世界の第一考察」,第三部「表象としての世界の第二考察」,第四部「意志としての世界の第二考察」",,,,,
理論/美学,『The Book of Tea（茶の本）』 岡倉天心,1906,,,,,,,1906年 フォックス・ダフィールド社（ニューヨーク）,,,,,
理論/美学,『茶の本』岡倉 覚三、村岡博訳 ,1929,3,10,,,,,出版社：岩波文庫、岩波書店／初版発行日：1929（昭和4）年3月10日,,,,,
理論/美学,『「いき」の構造 』九鬼 周造 ,1930,11,20,,,,,"底本の親本：「いき」の構造／出版社：岩波書店／初版発行日：1930（昭和5）年11月20日
",http://www.aozora.gr.jp/cards/000065/files/393_1765.html,,,,
理論/美学,『複製技術時代の芸術（Das Kunstwerk im Zeitalter seiner technischen Reproduzierbarkeit）』ヴァルター・ベンヤミン,1936,,,,,,,「芸術の政治学における革命的な要求の定式化に有用な」芸術理論を説明するために生み出されたものだとベンヤミンは書いている。ベンヤミンの評論の中で最も頻繁に引用されるものである。(wikipedia),http://www.arteclab.uni-bremen.de/~robben/KunstwerkBenjamin.pdf,,,,
理論/美学,『民藝とは何か』柳 宗悦,1941,,,,,,,刊は、昭和書房〈民藝叢書〉全6巻（1941-43年・52年）、芹沢銈介装幀。書目は、第1篇「民藝とは何か」（柳の著書）、第2篇「琉球の文化」、第3篇「現在の日本民窯」（式場と共編）、第4篇「琉球の陶磁」、第5篇「満洲の民藝」（本山桂川著）、戦後刊で第6篇「岡山県の民藝」（外村吉之介著,,,,,
理論/美学,『知覚の現象学（Phénoménologie de la perception）』モーリス・メルロ＝ポンティ,1945,,,,,,,,,,,,
理論/美学,『芸術と文化（Art and Culture）』クレメント・グリーンバーグ,1961,,,,,,,,,,,,
理論/美学,『限界芸術論』鶴見俊輔,1967,,,,,,,勁草書房 1967年,,,,,
理論/美学,『江戸芸術論』永井荷風,1920,,,,,,,春陽堂（1920）,http://www.aozora.gr.jp/cards/001341/files/49634_41512.html,,,,
理論/美学,『これはパイプではない（Ceci n’est pas une pipe）』ミシェル・フーコー,1973,,,,,,,,,,,,
理論/美学,『写真論（On Photography）』スーザン・ソンタグ,1973,,,,,,,,,,,,
理論/美学,『象徴交換と死（L'Échange symbolique et la mort）』ジャン・ボードリヤール,1976,,,,,,,,,,,,
理論/美学,『ポスト・モダンの条件（La Condition postmoderne）』ジャン=フランソワ・リオタール,1979,,,,,,,「大きな物語」の終焉を提唱した,https://fr.wikipedia.org/wiki/La_Condition_postmoderne,,,,
理論/美学,『明るい部屋　写真についての覚書（La Chambre claire: Note sur la photographie）』ロラン・バルト,1980,,,,,,,,,,,,
理論/美学,『音楽の精神からの悲劇の誕生』フリードリヒ・ニーチェ,1982,,,,,,,,,,,,
理論/美学,『眼の神殿―「美術」受容史ノート』北澤 憲昭,1989,9,,,,,,出版社: 美術出版社 (1989/09)／発売日： 1989/09,,,,,
理論/美学,『シミュレーショニズム―ハウス・ミュージックと盗用芸術』椹木 野衣,1991,6,,,,,,出版社: 洋泉社 (1991/06)／発売日： 1991/06,,,,,
理論/美学,『日本・現代・美術』椹木 野衣,1998,1,,,,,,出版社: 新潮社 (1998/01)／発売日： 1998/01,,,,,
理論/美学,『ルネサンス 経験の条件』岡崎 乾二郎,2001,7,,,,,,"出版社: 筑摩書房 (2001/07)／発売日： 2001/07
",https://books.google.co.jp/books?id=UJAwAAAACAAJ&hl=ja&source=gbs_book_other_versions,,,,
理論/美学,『Artificial Hells: Participatory Art and the Politics of Spectatorship（人工地獄 現代アートと観客の政治学）』Claire Bishop,2012,7,,,,,,,,https://versobooks-prod.s3.amazonaws.com/images/000001/884/9781844676903_Artificial_Hells-max_221-bb8664879a99fd17104b7e6e24e6f000.jpg,,,
理論/美学,『マイクロポップの時代：夏への扉』松井みどり,2007,3,,,,,,出版社: PARCO出版 (2007/03)／言語: 英語／発売日： 2007/03,,http://t2.gstatic.com/images?q=tbn:ANd9GcT7TOpiKS91IjCaeJgTD4o2yHgIkhKPN6atDZxXOzfqTdJEfhj7,,,
