Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,Url,Image URL,(未実装) Image Credit,Type,Color
80s-90s,1960,,,,now,,,,,Lonnie Plaxico,Chicago,,,,,
80s-90s,1961,,,,now,,,,,Kenny Davis,UK,,,,,
80s-90s,1962,,,,now,,,,,Ugonna Okegwo,UK,,,,,
80s-90s,1962,,,,now,,,,,Ben Wolfe,MD,,,,,
80s-90s,1963,,,,now,,,,,Scott Colley,CA,,,,,
80s-90s,1963,,,,now,,,,,Reginald Veal,Chicago,,,,,
80s-90s,1964,,,,now,,,,,Victor Wotten,ID,,,,,
80s-90s,1964,,,,now,,,,,Robert Hurst,Detroit,,,,,
80s-90s,1964,,,,now,,,,,Peter Washington,CA,,,,,
80s-90s,1966,,,,now,,,,,James Gebus,VA,,,,,
80s-90s,1966,,,,now,,,,,Larry Grenadier,CA,,,,,
80s-90s,1967,,,,now,,,,,Boris Kozlov,Russia,,,,,
80s-90s,1967,,,,now,,,,,Charnett Moffett,NY,,,,,
80s-90s,1968,,,,now,,,,,Rodney Whitaker,Detroit,,,,,
80s-90s,1970,,,,now,,,,,Avishai Cohen,Isreal,,,,,
New Age,1970,,,,now,,,,,Joe Martin,Kansas City,,,,,
New Age,1970,,,,now,,,,,Chris Thomas,St. Louis,,,,,
New Age,1970,,,,2013,,,,,Dwayne Burno,PA,,,,,
New Age,1970,,,,now,,,,,Hans Glawischning,Austria,,,,,
New Age,1970,,,,now,,,,,Ben Street,?,,,,,
New Age,1971,,,,now,,,,,Omer Avital,Israel,,,,,
New Age,1972,,,,now,,,,,Christian McBride,Philly,,,,,
New Age,1972,,,,now,,,,,John Hebert,NOLA,,,,,
New Age,1973,,,,now,,,,,Eivind Opsvik,Norway,,,,,
New Age,1974,,,,now,,,,,Matt Penman,New Zealand,,,,,
New Age,1974,,,,now,,,,,Reuben Rogers,VA,,,,,
New Age,1975,,,,now,,,,,Matt Clothsy,Austria,,,,,
New Age,1975,,,,now,,,,,Orland Le Fleming,OK,,,,,
New Age,1979,,,,now,,,,,Derrick Hodge,PA,,,,,
New Age,1979,,,,now,,,,,Carlos Henriquez,NY,,,,,
New Age,1980,,,,now,,,,,Miles Mosley,CA,,,,,
New Age,1981,,,,now,,,,,Thomas Morgan,CA,,,,,
New Age,1981,,,,now,,,,,Dezron Douglas,CT,,,,,
New Age,1982,,,,now,,,,,Harish Raghavan,IL,,,,,
New Age,1983,,,,now,,,,,Matt Brewer,OK,,,,,
New Age,1983,,,,now,,,,,Luques Curtis,CT,,,,,
New Age,1984,,,,now,,,,,Esperanza Spalding ,OR,,,,,
New Age,1984,,,,now,,,,,Ben Williams,D.C,,,,,
New Age,1984,,,,now,,,,,Joe Sanders,WI,,,,,
New Age,1984,,,,now,,,,,Linda Oh,Malaysia,,,,,
New Age,1985,,,,now,,,,,Corcoran Holt,D.C,,,,,
