1,Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
,,Events,0079,2,7,,,,,,,公国軍、地球侵攻作戦を開始。北米、中米、東アジア、ヨーロッパの各都市に衛星軌道上から直接降下部隊を送り込む,,,,,
,3,E.F.S.F.,0079,2,,13,,,,,,「V作戦」立案。,,,,,
,2,Events,0079,3,1,,0079,3,18,,,ジオン公国軍、第1~3次降下作戦。,第2次降下作戦によりキャリフォルニア・ベース無血開城。第3次降下作戦によりオセアニア制圧。東南アジア方面では戦闘継続。,,,,
,,Events,0079,3,5,,,,,,,マ・クベ部隊降下作戦,,,,,
,,Events,0079,3,5,,,,,,,第3次降下作戦,,,,,
,3,E.F.S.F.,0079,4,1,,,,,,,連邦軍、新型ＭＳと専用強襲母艦の開発・建造を目的としたＶ作戦及び喪失した宇宙艦艇の量産を主目的としたビンソン計画を同時に発動させる。,,,,,
,,Events,0079,4,,,,,,,,キシリア・ザビ、ニュータイプと呼ばれる特殊能力を持つ人間の研究を心理学者のフラナガンに依頼（フラナガン機関の正式発足）,,,,,
,4,ZEON,0079,5,17,,,,,,,宇宙要塞「ソロモン」機能開始。,,,,,
,,Develop,0079,5,,,,,,,,ジオン軍、局地戦用MS（MS-06Kなど）、水陸両用MS（MSM-03、04）の配備を開始,,,,,
,4,ZEON,0079,6,,,,,,,,"公国軍、宇宙要塞ア・バオア・クー、ソロモン、月面都市グラナダを結んだ本土防衛ライン完成。
フラナガン機関設立。",,,,,
,4,ZEON,0079,6,,,,,,,,フラナガン機関を設立。,,,,,
,4,ZEON,0079,6,,,,,,,,本土防衛部隊の編成完了。,,,,,
,2,Events,0079,7,,,,,,,,地球連邦軍欧州方面軍、ジオン公国軍に大敗。,,,,,
,3,E.F.S.F.,0079,7,,,,,,,,極東方面軍第1機械化混成大隊を編成。,,,,,
,3,E.F.S.F.,0079,7,,,,,,,,連邦軍の新造艦ホワイトベース（ＷＢ）進宙。ＲＸ－７８ガンダム試作機１号機、ロールアウト。,,,,,
,6,Develop,0079,7,,,,,,,,連邦軍，エネルギーCAP技術確立。ビーム兵器の小型実用化に成功，ビームライフル発明。,,,,,
,6,Develop,0079,7,,,,,,,,,,,,,
,,Develop,0079,7,,,,,,,,"ジオン地上軍、地上戦用新型機MS-07グフを実戦配備（註3）。また熱核ホバー機構を持つMS-09を量産化。さらに水陸両用MSの量産準備
",,,,,
,,Develop,0079,7,,,,,,,,RX-78ガンダム試作第1号機、サイド7内の開発工場でロールアウト,,,,,
,,Develop,0079,8,,,,,,,,ジオン軍、モビルアーマーの試作機量産のため、研究作業を本格化,,,,,
,3,E.F.S.F.,0079,8,,,,,,,,連邦軍製試作型ＭＳ、サイド７で最終テスト開始｡北米オーガスタ連邦軍基地において、ＲＸ－７８－ＮＴ－１の開発が開始。,,,,,
,2,Events,0079,9,18,,,,,,,サイド7にて史上初のMS戦。,,,,,
,5,W.B.隊,0079,9,18,,,,,,,サイド7を出港。,第2話「ガンダム破壊命令」。,,,,
,5,W.B.隊,0079,9,18,,,,,,,シャア少佐指揮下のザク2機をガンダムが撃破。,,,,,
,5,W.B.隊,0079,9,18,,,,,,,サイド7、1バンチに入港。,第1話「ガンダム大地に立つ」。,,,,
,5,W.B.隊,0079,9,20,,,,,,,ルナ2へ入港。,第4話「ルナツー脱出作戦」。,,,,
,5,W.B.隊,0079,9,22,,,,,,,ルナ2を脱出。,,,,,
,5,W.B.隊,0079,9,23,,,,,,,カリフォルニアへ降下、ジオン公国軍ガルマ隊と交戦。,第6話「ガルマ出撃す」。南米へ向かうことを諦め西進。,,,,
,5,W.B.隊,0079,9,23,,,,,,,大気圏へ突入。,第5話「大気圏突入」。南米ジャブローへ向かうはずが、シャア隊の攻撃により北米へと進路変更。,,,,
,3,E.F.S.F.,0079,9,15,,,,,,,戦艦ホワイトベース、新型MS受領のためサイド7へ向かう。,,,,,
,5,W.B.隊,0079,9,15,,,,,,,サイド7に向けてジャブローを出港。,,,,,
,5,W.B.隊,0079,10,1,,,,,,,マチルダ隊から補給を受ける。,,,,,
,2,Events,0079,10,4,,,,,,,ジオン公国軍ガルマ・ザビ大佐死亡。,,,,,
,5,W.B.隊,0079,10,4,,,,,,,シアトルにてガルマ隊を撃破。,第10話「ガルマ散る」。,,,,
,2,Events,0079,10,6,,,,,,,ジオン公国、ガルマ・ザビの国葬を行う。ギレン・ザビ演説。,,,,,
,3,E.F.S.F.,0079,10,6,,,,,,,シロー・アマダ少尉、ボールに登場し出撃、一時行方不明に。,,,,,
,5,W.B.隊,0079,10,6,,,,,,,太平洋を横断、ランバ・ラル隊の強襲を受ける。,第12話「ジオンの脅威」。,,,,
,5,W.B.隊,0079,10,7,,,,,,,アムロ、故郷の日本で母と断絶。,第13話「再会、母よ」。,,,,
,5,W.B.隊,0079,10,10,,,,,,,モンゴル付近に到着。,,,,,
,3,E.F.S.F.,0079,10,11,,,,,,,レビル将軍、オデッサ作戦に備え戦力を招集。,,,,,
,4,ZEON,0079,10,30,,,,,,,マッドアングラー隊を結成。,,,,,
,,Develop,0079,10,,,,,,,,"ジオン軍、連邦軍に対抗するため新型機を実戦配備。MS-09ドム実戦配備。MS-09の宇宙戦用、リックドムの実戦配備。
",,,,,
,,Develop,0079,10,,,,,,,,MS-14ゲルググ、MS-15ギャン、試作機完成。MAシリーズの開発急ピッチで進む。,,,,,
,,Develop,0079,10,,,,,,,,MS用ビームライフル、ジオンでも実用化。,,,,,
,,Develop,0079,10,,,,,,,,"ジオン軍とフラナガン機関の共同開発により、サイコミュシステム完成。
",フラナガン機関、サイココミュニケーターシステム試作型を開発,,,,
,,Develop,0079,10,,,,,,,,連邦軍のガンダム3号機完成。テストパイロットの手でデータが収集される。ただし4号機は新技術導入のため完成遅れる,,,,,
,5,W.B.隊,0079,11,2,,,,,,,レビル将軍より、カスピ海を越えるよう指令。,,,,,
,4,ZEON,0079,11,5,,,,,,,ランバ・ラル大尉死亡。,,,,,
,,Events,0079,11,5,,,,,,,オデッサ作戦開始。ヨーロッパの鉱山地帯を制圧しているジオン軍の壊滅を目的とした、連邦軍の反攻作戦。3日間の戦いの末、連邦軍の勝利に終わる。地球上でのミリタリーバランス一変,,,,,
,5,W.B.隊,0079,11,5,,,,,,,カスピ海付近にてランバ・ラル隊を撃破。,第20話「死闘！ホワイトベース」。,,,,
,5,W.B.隊,0079,11,6,,,,,,,マ・クベの攻撃を受け、ホワイトベース中破,第22話「マ・クベ包囲網を破れ！」。,,,,
,5,W.B.隊,0079,11,6,,,,,,,ランバ・ラル隊残党を撃破、リュウ・ホセイ死亡。,第21話「激闘は憎しみ深く」。,,,,
,2,Events,0079,11,7,,,,,,,地球連邦軍、「オデッサ作戦」発動。,,,,,
,2,Events,0079,11,7,,79,11,10,,,オデッサの戦い,,,,,
,5,W.B.隊,0079,11,7,,,,,,,マチルダ隊よりGファイターを受領。,第23話「マチルダ救出作戦」。,,,,
,5,W.B.隊,0079,11,7,,,,,,,黒い三連星と交戦、これを撃破。,第24話「迫撃 トリプル・ドム」。,,,,
,5,W.B.隊,0079,11,9,,,,,,,ジオン公国軍マ・クベ大佐が水爆を使用するも、これをガンダムが阻止。,第25話「オデッサの激闘」。,,,,
,,Develop,0079,11,10,,,,,,,MA-05ビグロ実戦配備,,,,,
,2,Events,0079,11,10,,,,,,,ジオン公国軍、オデッサ鉱山地帯を放棄。,,,,,
,,Develop,0079,11,11,,,,,,,MA-08ビグザム1号機完成,,,,,
,,Develop,0079,11,16,,,,,,,MAN-03ブラウ・ブロ1号機、2号機完成,,,,,
,,Develop,0079,11,20,,,,,,,連邦軍、RGM-79ジムの実戦配備本格化,,,,,
,,Events,0079,11,29,,,,,,,ジャブロー攻防戦。連邦軍参謀本部ジャブローに対し、ジオン軍はMS工場破壊を目的として攻撃をしかけるが失敗。ジオン軍地上戦力の崩壊に拍車がかかる,,,,,
,,Develop,0079,11,,,,,,,,ジオン軍、MAの量産化、試作活発となる,,,,,
,,Develop,0079,12,6,,,,,,,MS-14ゲルググ実戦配備開始,,,,,
,,E.F.S.F.,0079,12,6,,,,,,,ガンダム4号機、星一号作戦発動に際し、急遽W・B隊に輸送が決定（アムロ・レイ用として）,,,,,
,,Events,0079,12,15,,,,,,,アフリカ、北アフリカでジオン掃討作戦展開,,,,,
,,Develop,0079,12,16,,,,,,,MAN-08エルメス試作機完成,,,,,
,,Events,0079,12,27,,,,,,,連邦軍、ソロモン攻略戦発動。ティアンム艦隊を主力とし、ジオン宇宙要塞ソロモンを攻撃する。連邦軍はソーラー・システムにより勝利する。ソロモンは連邦軍の戦略拠点「コンペイ島」となる,,,,,
,,Events,0079,12,30,,,,,,,連邦軍、ジオン侵攻のための星一号作戦発動。デギン公王、ソーラ・レイによって死亡。連邦軍はレビル将軍とともに主力艦隊の60％以上を失う,,,,,
,,Events,0079,12,31,,,,,,,連邦軍とジオン軍、ア・バオア・クーの戦い。W・B沈没,,,,,
,2,Events,0081,3,28,,,,,,,公国軍残党、小惑星基地アクシズに到着。,,,,,
,2,Events,0081,10,20,,,,,,,連邦軍再建計画の一環としてジョン・コーウェン中将管理下、アナハイム・エレクトロニクスで「ガンダム開発計画」がスタートする。,,,,,
,1,戦争・事変,0083,3,,,0083,11,,,,デラーズ紛争,１年戦争後、もとジオン公国軍のエギーユ・デラーズ中将は「デラーズ・フリート」を組織。アナベル・ガトー少佐が連邦軍から奪取したガンダム試作２号機で観艦式を急襲した上に、コロニー落下作戦を企てた。この事件後、連邦軍はジオン軍残党狩りを強化していく。,,,,
,2,Events,0083,3,,,,,,,,デラーズ中将、連邦軍勢力の安定化を懸念し一大反抗作戦を立案。,,,,,
,2,Events,0083,7,30,,,,,,,「星の屑」作戦計画立案,,,,,
,2,Events,0083,8,9,,,,,,,"アクシズの指導者マハラジャ・カーン死亡。
",,,,,
,2,Events,0083,8,11,,,,,,,ハマーン・カーン（当時１６歳）ミネルバ・ザビの摂政に就任。デラーズ・フリートの方針を容認、支援確約。,,,,,
,2,Events,0083,10,13,,,,,,,アルビオン、トリントン墓地に到着。「星の屑]作戦発動。Ｍｋ82核弾頭ごとＧＰ０２Ａを奪取。,,,,,
,2,Events,0083,10,14,,,,,,,"ガトー少佐、ＧＰ０２Ａ積載のコムサイで脱出を計るもＧＰ０１によって阻止。
",,,,,
,2,Events,0083,10,23,,,,,,,ガトー少佐及びＧＰ０２Ａ、公国残党のキンバライド基地に到着。ＧＰ０２ＡはＨＬＶで軌道上へ脱出。,,,,,
,2,Events,0083,10,31,,,,,,,デラーズ宣言。地球全域にデラーズ・フリートの宣戦布告放送。,,,,,
,2,Events,0083,11,10,,,,,,,"「一年戦争」による中止以来、４年ぶりに挙行された連邦軍観艦式がデラーズ・フリートに襲撃される。
シーマ艦隊、移動中の２基のコロニージャックを敢行。２基のコロニーが激突。内、１基が月に落下開始。",,,,,
,2,Events,0083,11,11,,,,,,,"デラーズ・フリート、月面の軌道間輸送レーザー（通称：イグニッション・レーザー）を用いて
コロニーの推進剤に点火。コロニーは地球落下軌道へコースを変更。",,,,,
,2,Events,0083,11,12,,,,,,,コロニー、落下阻止限界点を突破。,,,,,
,2,Events,0083,11,13,,,,,,,南米ジャブロー上空をコロニーが通過。コロニー、北米大陸に落着。アクシズ先遣隊、転進。アナベル・がトー少佐、戦死。,,,,,
,2,Events,0083,11,23,,,,,,,一連のデラーズ紛争に絡んだ軍事裁判開廷。エイバー・シナプス大佐に極刑。コウ・ウラキ中尉に懲役２年の即時判決が下る。,,,,,
,2,Events,0083,12,4,,,,,,,ジャミドフ・ハイマン提唱によりティターンズ結成。旧公国軍残党狩りに活発化。ＡＥ社フォン・ブラウン支社の常務、死亡。,,,,,
,2,Events,0083,,,,,,,,,連邦軍，次世代MS開発を積極化,,,,,
,2,Events,0084,3,10,,,,,,,コロニー落下の真相とガンダム開発計画、共に公式記録より抹消。コウ・ウラキ中尉への罪状は消滅。,,,,,
,2,Events,0084,9,17,,,,,,,シャア・アズナブル、地球圏に帰還。非合法で連邦軍の軍籍を得る。,,,,,
,1,戦争・事変,0085,7,31,,,,,,,30バンチ事件争,連邦軍内に地球圏治安維持を題目に宇宙移民者を厳しく武力弾圧しようとするエリート組織「ティターンズ」が台頭。U.C.0085ごろからこれに対抗する反地球連邦組織「エゥーゴ」が活性化した。さらに小惑星アクシズが地球圏に帰還、戦いは混迷を極める。,,,,
,2,Events,0085,9,8,,,,,,,グリプス２、サイド７に建設される,,,,,
,2,Events,0086,2,6,,,,,,,アクシズ、地球圏に向けて発進,,,,,
,2,Events,0087,3,2,,,,,,,エゥーゴ、グリプス１より試作ＭＳ３機を強奪。,,,,,
,2,Events,0087,5,11,,,,,,,エゥーゴ、地球連邦軍のジャブロー基地を攻撃。,,,,,
,2,Events,0087,5,29,,,,,,,ティターンズ、ホンコン、シティを襲撃。,,,,,
,2,Events,0087,8,10,,,,,,,ティターンズ、アポロ作戦発動。フォン・ブラウン市を襲撃。,,,,,
,2,Events,0087,8,17,,,,,,,エゥーゴの指導者ブレクス・フォーラ准将暗殺。,,,,,
,2,Events,0087,10,12,,,,,,,アクシズ、地球圏に帰還。,,,,,
,2,Events,0087,11,16,,,,,,,エゥーゴ、ダカールの連邦議会を占領。全世界にティターンズの実体を告発。,,,,,
,2,Events,0087,12,7,,,,,,,"ティターンズ、グリプス２のコロニーレーザーでサイド２・１８バンチを破壊。
",,,,,
,2,Events,0087,12,14,,,,,,,ティターンズ、サイド２・２１バンチを毒ガス攻撃。住民は全員死亡。,,,,,
,1,戦争・事変,0087,,,,0088,,,,,グリプス戦役,ティターンズ崩壊後、ハマーン・カーンのアクシズはミネバ・ザビを擁立して「ネオ・ジオン軍」を名乗り、地球侵攻作戦を開始した。同軍はダカールを占拠するなど作戦を成功させたが、ザビ家の血族を自称するグレミー・トトが反乱を起こし、内紛で崩壊した。,,,,
,2,Events,0088,1,18,,,,,,,アクシズ、セダンの門の旧ア・バオア・クーを破壊。,,,,,
,2,Events,0088,2,2,,,,,,,エゥーゴ、メールシュトローム作戦発動。艦隊戦によりグリプス２を占拠。,,,,,
,2,Events,0088,2,22,,,,,,,"エゥーゴ、アクシズ、ティターンズによる艦隊戦。ティターンズ敗北。コロニーレーザー破壊。
エゥーゴ、戦力の過半数を喪失。シャア・アズナブル行方不明。
",,,,,
,1,戦争・事変,0088,8,1,,0089,1,17,,,第一次ネオ・ジオン抗争,スウィート・ウォーターを占拠した勢力はシャアを総帥としてネオ・ジオンを宣言。5thルナをチベットのラサに激突させ、続いてアクシズ落下により地球寒冷化を目論む。地球連邦軍の外郭組織ロンド・ベル隊のアムロたちがこれを阻止しようと奮戦。,,,,
,2,Events,0088,8,1,,,,,,,ネオ・ジオンの本隊、地球侵攻。,,,,,
,2,Events,0088,8,29,,,,,,,ネオ・ジオン、ダカールを占拠。旧公国軍、ティターンズ残党などを配下に治める。,,,,,
,2,Events,0088,10,31,,,,,,,ネオ・ジオン、ダブリンにコロニーを落とす。,,,,,
,2,Events,0089,1,16,,,,,,,アクシズ、コア３に激突。,,,,,
,2,Events,0089,1,17,,,,,,,"エゥーゴ、ネオ・ジオンを制圧。ハマーン・カーン戦死。ミネバ・ザビ行方不明。

〔第一次ネオ・ジオン抗争（ハマーン戦争）終結〕",,,,,
,2,Events,0089,11,14,,,,,,,連邦政府、サイド３をネオ・ジオンに譲渡。ネオ・ジオンの戦力、地球より撤退。ネオ・ジオン内でグレミー軍が謀反。,,,,,
,2,Events,0092,3,,,,,,,,連邦軍、外郭新興部隊ロンド・ベル隊設立。,,,,,
,2,Events,0092,8,,,,,,,,連邦軍、本部をチベットのラサへ移動。,,,,,
,2,Events,0092,12,13,,,,,,,ネオ・ジオン、地球連邦軍に対し攻撃を示唆。,,,,,
,2,Events,0092,12,22,,,,,,,シャアを総帥とする艦艇、スウィートウォーターの占拠を宣言。,,,,,
,1,戦争・事変,0093,2,27,,0093,3,12,,,第二次ネオ・ジオン抗争,地球連邦の存亡にかかわる「ラプラスの箱」をビスト財団がネオ・ジオン軍残党「袖付き」に譲渡しようとしたことを発端に武力紛争が発生。箱の開放や奪取をめぐり、ユニコーンガンダム、地球連邦軍、ジオン残党軍、ロンド・ベルなどが入り乱れて抗争を繰りかえした。,,,,
,2,Events,0093,2,27,,,,,,,ネオ・ジオン総帥のシャア、インタビュー番組内で事実上の宣戦布告。,,,,,
,2,Events,0093,3,4,,,,,,,５ｔｈルナ、連邦軍本部在住地チベットのラサに激突。,,,,,
,2,Events,0093,3,6,,,,,,,ネオ・ジオン軍と連邦軍、サイド６、ロンデニオンにおいて極秘裡に平和交渉。,,,,,
,2,Events,0093,3,12,,,,,,,"ネオ・ジオン艦隊、投降を偽装しアクシズを奪回。地球に降下させるも失敗。
〔第二次ネオ・ジオン抗争（アクシズ戦争、シャアの反乱）終結〕",,,,,
,2,Events,0093,9,,,,,,,,連邦軍内の諮問機関であった戦略戦術研究所が海軍戦略研究所（Ｓ・Ｎ・Ｒ・Ｉ）として再編,,,,,
,1,戦争・事変,0096,,,,,,,,,ラプラス戦争（第三次ネオ・ジオン抗争）,かつてスペースノイド独立を掲げて一年戦争を引き起こしたサイド３が自治を放棄。ジオン共和国は消滅した。,,,,
,2,Events,0096,,,,,,,,,ビスト財団当主カーディアス・ビスト、ネオ・ジオン軍残党「袖付き」とラプラスの箱引き渡しの交渉開始。,,,,,
,1,戦争・事変,0100,,,,,,,,,"ジオン共和国の自治権放棄
連邦軍、ジオン共和国の自治権放棄を持って、戦乱の消滅を宣言。",,,,,
,6,Develop,0102,,,,,,,,,サナリィ、連邦政府にＭＳの小型化を提言する,,,,,
,1,戦争・事変,0103,,,,0105,6,,,,マフティー動乱,秘密結社「マフティー・ナビーユ・エリン（通称マフティー）」によって引き起こされた一連の紛争。,,,,
