Group,Galileo Galilei,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
哲学者,1874,,,,1945,,,,,Ernst Cassirer,,,,,,
哲学者,1878,,,,1965,,,,,Martin Buber,,,,,,
哲学者,1883,,,,1969,,,,,Karl Theodor Jaspers,,,,,,
哲学者,1883,,,,1969,,,,,Karl Theodor Jaspers,,,,,,
哲学者,1889,,,,1976,,,,,Martin Heidegger,,,,,,
哲学者,1889,,,,1951,,,,,Ludwig Josef Johann Wittgenstein,,,,,,
哲学者,1889,,,,1973,,,,,Gabriel Marcel,,,,,,
哲学者,1891,,,,1937,,,,,Antonio Gramsci,,,,,,
哲学者,1895,,,,1973,,,,,Max Horkheimer,,,,,,
哲学者,1900,,,,2002,,,,,Hans-Georg Gadamer,,,,,,
哲学者,1901,,,,1981,,,,,Jacques-Marie-Émile Lacan,,,,,,
哲学者,1902,,,,1979,,,,,Talcott Parsons,,,,,,
哲学者,1903,,,,1969,,,,,Theodor Ludwig Adorno-Wiesengrund,,,,,,
哲学者,1905,,,,1980,,,,,Jean-Paul Charles Aymard Sartre,,,,,,
哲学者,1906,,,,1975,,,,,Hannah Arendt,,,,,,
哲学者,1906,,,,1995,,,,,Emmanuel Lévinas,,,,,,
哲学者,1908,,,,1961,,,,,Maurice Merleau-Ponty,,,,,,
哲学者,1910,,,,2003,,,,,Niklas Luhmann,,,,,,
哲学者,1918,,,,1990,,,,,Louis Pierre Althusser,,,,,,
哲学者,1921,,,,2002,,,,,John Bordley Rawls,,,,,,
哲学者,1925,,,,1995,,,,,Gilles Deleuze,,,,,,
哲学者,1925,,,,2011,,,,,Sir Michael Anthony Eardley Dummett,,,,,,
哲学者,1926,,,,1984,,,,,Michel Foucault,,,,,,
哲学者,1926,,,,2016,,,,,Hilary Whitehall Putnam,,,,,,
哲学者,1927,,,,1998,,,,,Robert King Merton,,,,,,
哲学者,1929,,,,,,,,,Jürgen Habermas,,,,,,
哲学者,1930,,,,2004,,,,,Jacques Derrida,,,,,,
哲学者,1930,,,,1992,,,,,Pierre-Félix Guattari,,,,,,
哲学者,1931,,,,2007,,,,,Richard McKay Rorty,,,,,,
哲学者,1933,,,,,,,,,Antonio “Toni” Negri,,,,,,
哲学者,1940,,,,,,,,,Saul Aaron Kripke,,,,,,
哲学者,1949,,,,,,,,,Axel Honneth,,,,,,
哲学者,1960,,,,,,,,,Michael Hardt,,,,,,
