1254,ランダム番号,年号補助,和暦,人物２,人物３,人物,抽出ワード,歴史カード,Timestamp,項目,メモ,本
,28,312,,,ムルウィウスの橋の戦い,,コンスタンティヌス大帝,ローマ,,,,
,29,313,,,ミラノ勅令,キリスト教公認,コンスタンティヌス大帝,ローマ　キリスト教　宗教,,,,
,768,313,,,高句麗が楽浪郡を滅ぼす,,,朝鮮半島　東アジア　中国,,,,
,767,317,,,東晋,,司馬睿・王氏,中国　東アジア,,,,
,1805,324,,,コンスタンティヌス帝によるローマ帝国の再統一,,コンスタンティヌス,ローマ,,,,
,572,325,,,第１回ニケア公会議,アタナシウス派が正統,,キリスト教　宗教,,,,
,1806,330,,,コンスタンティノープルへの遷都,,コンスタンティヌス,ローマ,,,,
,1807,337,,,コンスタンティヌス帝の死去,息子3人による統治,,ローマ,,,,
,739,353,,永和9,蘭亭の宴（曲水の宴）,東晋,王羲之,中国,,,,
,870,372,,,高句麗に仏像や仏典,,,朝鮮　宗教,,,,
,31,375,,,西ゴート族がドナウ川を渡りローマ領へ,,,ゲルマン　ローマ,,,,
,1809,380,,,テオドシウス帝によるローマ帝国の再統一,,,ローマ,,,,
,573,381,,,第１回コンスタンティノープル公会議,三位一体説が正統,,キリスト教　宗教,,,,
,871,384,,,東晋からインド系の僧が百済に,,,朝鮮　宗教,,,,
,32,391,,,倭が高句麗と戦う,,,日本,中学,,,
,754,391,,,広開土王碑に記載された三韓征伐の年,,,日本　韓国　東アジア,,,,
,33,392,,,ローマ帝国がキリスト教を国教に,異教禁止令,テオドシウス,ローマ　キリスト教　宗教,,,,
,34,393,,,SN393,,,科学　宇宙,,,,
,1811,395,,,ローマ帝国の東西分裂,,,ローマ,,,,
,928,397,,,倭国が百済に人質を送る,この頃に七支刀,,朝鮮　東アジア　日本,,,,
,1886,399,～412,,法顕が出発,,,文化　宗教,,,,
,593,408,,,サクソン部族がブリテン南部を攻撃,,,イギリス,,,,
,1812,413,,,テオドシウス帝（２世）の城壁が完成,,,ローマ,,,,
,769,414,,,広開土王碑が建てられる,,,朝鮮半島　東アジア　日本,,,,
,755,420,,,六朝の宋が建国,南北朝時代・倭の五王が宋に使者,,中国　東アジア,,,,
,36,429,,,アフリカ北部にヴァンダル王国,,,ゲルマン,,,,
,574,431,,,エフェソス公会議,ネストリウス派が異端,,キリスト教　宗教,,,,
,1096,431,,,ネストリウス派が異端に,,,キリスト教　宗教,,,,
,37,439,,,北魏,,,中国　東アジア,,,,
,756,439,,,六朝の北魏が華北を統一,南北朝時代,,中国　東アジア,,,,
,775,439,～589,,南北朝時代,北魏の華北統一から隋の統一まで,,中国　東アジア,,,,
,38,443,,,ジュネーブ中心にブルグント王国,,,ゲルマン,,,,
,575,451,,,カルケドン公会議,両性論が正統　単性論が異端,,キリスト教　宗教,,,,
,1813,452,,,フン族がイタリアへ侵入,,,ローマ,,,,
,1814,455,,,ヴァンダル族がローマ市を占拠,,,ローマ,,,,
,39,456,～479,,雄略天皇,,,日本,,,,
,862,471,,,新羅が金氏の世襲になる,朴氏、昔氏,,朝鮮,,,,
,1321,471,,,金錯銘鉄剣,稲荷山鉄剣,,日本,,,,
,40,476,,,西ローマ帝国滅亡,,,ローマ　ゲルマン,,,,
,1815,476,,,西ローマ帝国の滅亡,,オドアケル,ローマ,,,,
,41,478,,,倭王武が南朝に使い,,,日本,中学,,,
,774,478,,,宋の順帝が武を叙正,,,日本　中国　東アジア　朝鮮半島,,,,
,42,486,,,ソワソンでフランクがシアグリウスを破る,,クローヴィス　シアグリアス,ゲルマン　ローマ,,,,
,43,488,,,イタリアに東ゴート王国,,テオドリック大王,ゲルマン,,,,
,44,496,,,クロービス改宗,,,ゲルマン,,,,
,45,500,,,フランク王国がブルグント王国を征服,,,ゲルマン,,,,
,46,500,頃,,ベイドン山の戦い,ブリトン人とサクソン人,,ケルト,,,,
,47,507,,,フランク王国が西ゴートを討つ,,,ゲルマン,,,,
,848,512,,,新羅の智証王が干山島を支配,,智証王（チチュンワン）,朝鮮　東アジア,,,,
,1515,520,,,達磨がインドから中国へ,,,アジア　中国　文化,,,,
,48,529,,,ベネディクトゥス会,,,キリスト教　イタリア,,,,
,49,531,,,フランク王国がチューリンゲン王国を征服,,,ゲルマン,,,,
,50,534,,,ローマ法大全,,ユスティニアヌス帝,ビザンチン,,,,
,1816,534,,,ローマ法大全の成立,,,ローマ,,,,
,814,536,,,朝鮮独自の元号,,新羅の法興王,朝鮮　中国　東アジア,,,,
,51,537,,,カムランの戦い,,アーサー王,ケルト,,,,
,594,537,ごろ,,アーサー王戦死,,,イギリス,,,,
,770,538,,,百済が日本に仏像と経典を献上,,聖明王　欽明天皇,朝鮮半島　東アジア　日本,,,,
,53,550,,,サン・ジェルマン・デ・プレ修道院,,,キリスト教　イタリア,,,,
,54,552,,,第1次トルコ帝国,,,アジア,,,,
,771,562,,,加羅（任那）が滅んで新羅領になる,,,朝鮮半島　東アジア　日本,,,,
,56,568,,,イタリアにランゴバルト王国,,,ゲルマン,,,,
,1490,577,,,王興寺創建　百済,,昌王,東アジア　文化　宗教,,,,
,738,581,～618,,隋,,文帝（楊堅）・煬帝,中国,,,,
,1491,587,,,飛鳥寺建立の発願,,蘇我馬子,東アジア　文化　宗教,,,,
,57,589,,,隋（陳の都建康陥落）,,文帝（楊堅）,中国,,,,
,58,590,,,サン・ドニ修道院,,,宗教　キリスト教,,,,
,872,592,,,推古天皇即位,,,日本,,,,
,1466,592,,,飛鳥に都,,すしゅん天皇,日本,,,,
,772,593,,,聖徳太子が摂政になる,,推古天皇,日本,,,,
,585,597,,,聖オーガスティンのイングランド到着,,,イギリス　宗教　キリスト教,,,,
,595,597,,,聖アウグスティヌスがケント海岸に上陸,,,イギリス,,,,
,919,598,,,文帝が高句麗征討を試み失敗,,,朝鮮　東アジア　中国,,,,
,785,600,,,隋に使者,推古天皇8年、478年の武以来,聖徳太子,日本,,,,
,783,604,,,十七条憲法,,,日本　法律,,,,
,931,605,,,斑鳩宮完成,,,日本,,,,
,773,607,,,遣隋使,,小野妹子,日本,,,,
,873,607,頃,,法隆寺建立,,,日本　宗教　文化,,,,
,780,612,,,隋の煬帝が高句麗に大敗,,,中国　朝鮮　東アジア,,,,
,787,612,,,朝鮮最初の漢詩,,,朝鮮,,,,
,920,612,1月,,煬帝が高句麗征討を試み失敗,,,朝鮮　東アジア　中国,,,,
,921,613,6月,,煬帝が高句麗征討を試み失敗,,,朝鮮　東アジア　中国,,,,
,922,614,2月,,煬帝が高句麗征討を試み形式的な降伏,,,朝鮮　東アジア　中国,,,,
,913,617,5月,,李世民、李淵　太原で挙兵,,,中国　東アジア,,,,
,915,617,5月,,李淵が恭帝から禅譲,,,中国　東アジア,,,,
,914,618,3月,,煬帝が殺される,,,中国　東アジア,,,,
,781,622,,,聖徳太子が死去,,,日本,,,,
,874,622,2月,,聖徳太子が死去,49歳,,日本,,,,
,953,623,,,法隆寺釈迦三尊像,飛鳥仏,鞍作止利,日本　文化　宗教,,,,
,878,625,,,高句麗のエカンが来日,日本三論宗の初伝,,日本　宗教　文化,,,,
,782,626,,,李世民が兄を殺して唐の2代皇帝として即位,,太宗,中国,,,,
,916,626,6月,,玄武門の変,,,中国　東アジア,,,,
,60,628,,,李世民　中国統一,,,中国,,,,
,61,630,,,唐の大宗に天可汗,,,中国,,,,
,789,630,,,第1回遣唐使,,,日本　中国,,,,
,917,637,,,貞観律令,,,中国　東アジア,,,,
,62,638,,,ウマルがエルサレム入城,第２代カリフ,,中東,,,,
,926,641,,,百済の義慈王即位,百済最後の王／海東の曾子,,朝鮮　東アジア,,,,
,918,642,,,高句麗で政変　建武王が殺される,唐の冊封秩序の崩れ,,朝鮮　東アジア　中国,,,,
,927,642,,,百済が新羅西部に大挙侵入,,,朝鮮　東アジア,,,,
,63,645,,,大化の改新,,,日本,中学,,,
,923,645,,,李世民の第1次高句麗遠征,,,朝鮮　東アジア　中国,,,,
,1824,646,,,宇治橋断碑,,,文化　書　日本,,,,
,924,647,,,李世民の第2次高句麗遠征,,,朝鮮　東アジア　中国,,,,
,925,648,,,李世民の第3次高句麗遠征,,,朝鮮　東アジア　中国,,,,
,912,649,,,太宗李世民死去,,,中国　東アジア,,,,
,815,650,,,朝鮮が唐の元号に戻す,,,朝鮮　中国　東アジア,,,,
,879,653,,,道昭が唐へ,法相宗　玄奘につく,,日本　宗教　文化,,,,
,1843,656,,,オスマーン暗殺,,,イスラム,,,,
,790,660,,,百済が滅亡（唐と新羅に攻められ）,,,日本　朝鮮　中国　東アジア,,,,
,1844,661,,,アリー暗殺,,,イスラム,,,,
,1709,663,,,白村江の戦い,唐・新羅vs百済・日本,,日本　朝鮮　中国　東アジア,,,,
,65,668,,,近江令,,天智天皇,日本,,,,
,660,668,,,新羅が高句麗を滅ぼす,,,朝鮮半島　アジア,,,,
,786,668,,,日本の漢詩の濫觴,天智天皇の即位式,,日本,,,,
,791,668,,,高句麗が滅亡（唐と新羅）,,,日本　朝鮮　中国　東アジア,,,,
,66,670,,,庚午年籍,,天智天皇,日本,,,,
,658,676,,,新羅が朝鮮半島を統一,,,朝鮮半島　アジア,,,,
,1846,680,,,カルバラーの殉教,,,イスラム,,,,
,1858,680,,,チュニジアにカイロワーン建設,,,イスラム,,,,
,67,682,,,第2次トルコ帝国,,,アジア,,,,
,1847,683,～692,,第二次内乱期,,,イスラム,,,,
,954,685,,,旧山田寺　薬師如来像,仏頭のみ興福寺に現存　初唐様式,,日本　文化　宗教,,,,
,1848,685,,,ムフタールの反乱,,,イスラム,,,,
,1149,689,,,飛鳥浄御原令,公称としての「日本」,,日本,,,,
,68,690,,,庚寅年籍,浄御原令,,日本,,,,
,1230,690,,,持統天皇即位,,,日本,,,,
,69,692,,,岩のドーム完成,,,中東　イスラム,,,,
,955,694,,,藤原京遷都,,,日本,,,,
,653,696,,,年分度者制度,試験合格者だけが正式な僧侶,持統天皇10年,日本　宗教,,,,
,903,700,,,初の仏教式の火葬,,道昭,日本　宗教,,,,
,1825,700,,,那須野国造碑,唐の年号,,文化　書　日本,,,,
,70,701,,,大宝律令,,,日本,中学,,,
,905,703,,,持統天皇の火葬,前年の崩御,,日本　宗教,,,,
,1857,705,,,クタイバが中央アジア遠征開始,中央アジアのイスラム化,,イスラム,,,,
,799,708,,,和同開珎,,,日本,,,,
,1080,708,,,秩父から和銅が献上,続日本紀,,日本,,,,
,1159,708,,,銅鉱を発見,和同開珎へ,,日本,,,,
,71,710,,,平城京,,,日本,中学,,,
,740,710,,,睿帝が皇帝に,,,中国,,,,
,1460,711,,,トレドがイスラム支配下に,,,ヨーロッパ,,,,
,1859,711,,,ムスリムの大西洋到達,,,イスラム,,,,
,800,712,,,古事記,,太安万侶,日本,,,,
,792,713,,,全国の国名表記を好字2文字に,,,日本,,,,
,1158,713,,,大きな銅鐸が見つかる,続日本紀　使い方分からず,,日本,,,,
,842,720,,,日本書紀,,,日本　文化,,,,
,72,726,,,聖像禁止令,皇帝教皇制確立,レオン３世,ビザンチン,,,,
,1519,731,,,行基による狭山池改修,,,日本　文化,,,,
,73,732,,,トゥール・ポワティエの戦い,ウマイヤ朝,カール･マルテル,ゲルマン　イスラム,,,,
,1860,732,,,ツール・ポワティエの戦,,,イスラム,,,,
,956,734,,,阿修羅像,天平仏,,日本　文化　宗教,,,,
,876,738,頃から,,国分寺が建立される,,,日本　宗教　文化,,,,
,957,741,,天平13,国分寺建立の詔,,聖武天皇,日本　文化　宗教,,,,
,958,743,,,るしゃなぶつ造立の詔,,聖武天皇,日本　文化　宗教,,,,
,74,745,,,ウイグル帝国,,,中央アジア,,,,
,877,749,,,東大寺の大仏開眼供養,,,日本　宗教　文化,,,,
,1083,749,,,陸奥国守の百済王敬福が黄金を献上,続日本紀,,日本,,,,
,1156,749,,,宮城県涌谷で金,,,日本,,,,
,75,751,,,カロリング朝を開く,,ピピン3世（小ピピン）,ゲルマン,,,,
,76,751,,,タラス河畔の戦い,唐とアッバース朝,,イスラム　アジア　中国,,,,
,805,751,,,「懐風藻」,,,日本　文化,,,,
,1849,751,,,タラス河の戦い,,,イスラム,,,,
,802,752,,,奈良大仏完成,,,日本　文化　宗教,,,,
,654,753,,,鑑真が日本へ,中唐様式の仏像　木造,,日本　宗教　仏教,,,,
,803,753,,,第十次遣唐使が帰国の途に（鑑真を伴って）,,鑑真　吉備真備,日本　中国,,,,
,741,755,～763,,安史の乱,,,中国,,,,
,596,757,,,オッファの防壁建設,,,イギリス,,,,
,806,759,以降,,「万葉集」,,,日本　文化,,,,
,1148,769,,,宇佐八幡神託事件,,和気清麻呂　弓削道鏡　称徳天皇,日本,,,,
,910,771,,,渤海の使者が秋田城へ,,,日本,,,,
,880,781,,,桓武天皇即位,,,日本,,,,
,77,782,,,フェーアデンの血の沐浴,,,ゲルマン,,,,
,784,783,or788,,最古の訓点,「華厳刊定記」巻五,,日本,,,,
,875,784,,,長岡京,,,日本,,,,
,1885,787,,,サムイェー僧院,,シャーンタラクシタ,文化　宗教,,,,
,909,789,,,巣伏の戦い,,,日本,,,,
,902,792,,,葬儀の豪奢を禁じるお触れ,,,日本　宗教,,,,
,597,793,,,ヴァイキングがイングランド北部の修道院に初来襲,,,イギリス,,,,
,78,794,,,平安京,,,日本,中学,,,
,881,794,,,サムイェー建立（チベット）,初の本格的仏教寺院,,宗教,,,,
,860,797,,,「三教指帰」,,空海,日本　宗教,,,,
,79,800,,,カール戴冠,,カール1世　レオ3世,ゲルマン　皇帝　キリスト教　宗教,,,,
,908,802,,,アテルイ投降,,,日本,,,,
,861,804,,,空海が遣唐使船で唐へ,,,日本　宗教,,,,
,636,805,,,最澄が茶の種を日本へ持って帰る,,,日本　文化　食,,,,
,637,806,,,空海が茶の種を日本へ持って帰る,,,日本　文化　食,,,,
,1627,807,,,上賀茂神社と下鴨神社に庄一位,,,日本　文化　宗教,,,,
,959,812,,,嵯峨天皇の花見,,,日本　文化,,,,
,1887,812,,,嵯峨天皇の花宴,,,,,,,
,1153,814,,,「凌雲集」,,,日本　文化,,,,
,1310,815,,,「日本後記」,嵯峨天皇に永忠が茶を奉る,,日本　文化　食,,,,
,80,817,,,帝国整序令,,ルードヴィヒ1世（敬虔帝）,ゲルマン,,,,
,1155,818,,,唐風の詔,,嵯峨天皇,日本,,,,
,1343,820,,,修道院ビール第1号,スイス　ザンクトガレン修道院,,文化　食　飲料　ヨーロッパ,,,,
,1424,823,,,空海が東寺を賜る,,,日本　宗教,,,,
,1826,825,,,益田池碑銘,,空海,文化　書　日本,,,,
,1154,827,,,「経国集」,,,日本　文化,,,,
,882,835,,,空海入定,,,日本　宗教,,,,
,81,842,,,シュトラースブルクの誓約,,ルートヴィッヒ敬虔帝　シャルル,ゲルマン,,,,
,82,843,,,ヴェルダン条約,,,ゲルマン,,,,
,83,845,,,会昌の法難,,,中国,,,,
,84,858,,,藤原良房が摂政になる,摂関政治の始まり,,日本,中学,,,
,1615,859,,,岩清水に八幡神が勧請,,,日本　文化　宗教,,,,
,1266,862,,,宣明歴,,,日本,,,,
,1480,866,,,応天門の変,大伴氏没落,藤原良房,日本,,,,
,1626,868,,,ふだらく渡海,,,日本　文化　宗教,,,,
,85,870,,,メールセン条約,,,ゲルマン,,,,
,1845,874,,,イマーム系列が途絶える,,,イスラム,,,,
,742,875,～884,,黄巣の乱,,,中国　東アジア,,,,
,1919,877,,,キエルジー勅令,,西フランク王シャルル2世,ヨーロッパ,,,,
,87,887,,,藤原基経が関白になる,,,日本,中学,,,
,929,892,～936,,朝鮮半島の後三国時代,,,朝鮮　東アジア,,,,
,816,901,,,菅原道真が大宰府,,,日本,,,,
,1503,903,,,菅原道真死去,,,日本,,,,
,1625,907,,,宇多上皇の熊野御幸,,,日本　文化　宗教,,,,
,88,911,,,コンンラートがドイツ王に選出,,ゲルマン,ゲルマン,,,,
,89,911,,,ノルマン人の一部にセーヌ河口定住を認める,,,ゲルマン　フランク　フランス,,,,
,90,916,,,キタイ帝国,遼,,中国　アジア,,,,
,1617,921,,,筥崎宮の造立,,,日本　文化　宗教,,,,
,1827,928,,,屏風土代,,小野道風,文化　書　日本,,,,
,91,929,,,王位の継承についての王令,,ハインリッヒ1世,ゲルマン,,,,
,92,935,,,平将門の乱,,,日本,中学,,,
,657,935,,,高麗が朝鮮半島を統一,高麗は918～,,朝鮮半島　アジア,,,,
,93,936,,,燕雲十六州の割譲,キタイ,,中国　アジア,,,,
,1618,947,,,北野天満宮創建,,,日本　文化　宗教,,,,
,1619,949,,,大坂天満宮創建,,,日本　文化　宗教,,,,
,1850,949,,,シーア派のブワイフ朝がバクダード入城,,,イスラム,,,,
,1645,951,,,醍醐寺の五重塔,,,日本　文化　宗教,,,,
,94,955,,,レヒフェルトの戦い,,オットー1世,ゲルマン　ドイツ,,,,
,801,960,,,宋,,,中国,,,,
,1537,960,,,天徳内裏歌合,,,日本,,,,
,95,962,,,オットー1世戴冠,,教皇ヨハネス12世,ゲルマン　ドイツ　皇帝,,,,
,1828,969,,,詩懐紙,,藤原佐理　すけまさ,文化　書　日本,,,,
,1616,979,,,天皇の岩清水行幸,,,日本　文化　宗教,,,,
,1978,980,,,キエフ公がギリシャ正教の洗礼,,,ロシア,,,,
,96,982,,,「至高なるローマ人の皇帝」,,オットー2世,ゲルマン　ドイツ,,,,
,97,982,,,カラブリアの戦い,,オットー2世,ゲルマン　ドイツ,,,,
,98,987,,,ユーグ･カペーが王に,カペー朝,,フランス,,,,
,1624,989,,,一条天皇の春日大社行幸,,,日本　文化　宗教,,,,
,99,991,,,モルドンの戦い,,,イギリス,,,,
,100,1000,,,グネーゼンに大司教座,ポーランド教会をローマと直結,,ドイツ　キリスト教,,,,
,101,1006,,,SN1006,,,科学　宇宙　天文,,,,
,102,1007,,,ケレイト王のキリスト教改宗,,,アジア　キリスト教　宗教,,,,
,103,1007,,,バイエルンに大司教座,,,ドイツ　キリスト教,,,,
,104,1011,,,グランに大司教座,ハンガリーのキリスト教化,,ドイツ　キリスト教,,,,
,105,1011,,,ローマ貴族がオットー3世に反乱,「全てのドイツ人」と表現,,ドイツ,,,,
,106,1013,～1042,,クヌーズ,デンマーク人のイングランド王,,イギリス,,,,
,107,1014,,,ハインリッヒ2世がローマで戴冠,,,ドイツ,,,,
,108,1016,,,藤原道長が摂政になる,,,日本,中学,,,
,1829,1018,,,白氏詩巻,和様漢字の完成,藤原行成,文化　書　日本,,,,
,898,1043,,,レディ・ゴディバ,コンベントリー,,イギリス　ヨーロッパ　文化　食,,,,
,109,1051,,,前九年の役,,,日本,中学,,,
,883,1052,,,仏教の暦で末法の時代に入る,,,宗教,,,,
,942,1052,,,日本が末法に入る,,,日本　宗教,,,,
