Group,Title,Detail,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,URL,Image URL,Image Credit,Type,Color
ソフト/アプリ,Google Chrome 公開,,2008,9,2,,,,,,,,,,,
ソフト/アプリ,Instagram 公開,,2010,10,6,,,,,,,,,,,
ソフト/アプリ,LINE 公開,,2011,6,23,,,,,,,,,,,
ソフト/アプリ,メルカリ 公開,,2013,7,,,,,,,,,,,,
クラウド,Amazon Web Services (S3) 開始,,2006,3,14,,,,,,,,,,,
クラウド,Amazon Web Services (EC2) 開始,,2006,8,25,,,,,,,,,,,
クラウド,AWS Tokyo Region 開始,,2011,3,2,,,,,,,,,,,
クラウド,Amazon DynamoDB 開始,,2012,1,18,,,,,,,,,,,
クラウド,Amazon Redshift 開始,,2012,11,28,,,,,,,,,,,
クラウド,AWS Lambda 開始,,2014,11,13,,,,,,,,,,,
クラウド,Google App Engine 開始,,2008,4,7,,,,,,,,,,,
クラウド,Google Cloud Storage 開始,,2010,5,,,,,,,,,,,,
クラウド,Google BigQuery 開始,,2012,5,,,,,,,,,,,,
クラウド,Google Compute Engine 開始,,2013,12,,,,,,,,,,,,
クラウド,Azure 開始（これより前は試用期間）,,2010,1,1,,,,,,,,,,,
クラウド,Windows Azure Active Directory,,2013,2,4,,,,,,,,,,,
クラウド,Heroku 創業,,2007,,,,,,,,,,,,,
言語,JDK 1.0,,1996,1,23,,,,,,,,,,,
言語,JDK 1.1,,1997,2,19,,,,,,,,,,,
言語,J2SE 1.2,,1998,12,8,,,,,,,,,,,
言語,J2SE 1.3,,2000,5,8,,,,,,,,,,,
言語,J2SE 1.4,,2002,2,6,,,,,,,,,,,
言語,J2SE 5.0,,2004,9,30,,,,,,,,,,,
言語,Java SE 6,,2006,12,11,,,,,,,,,,,
言語,Java SE 7,,2011,7,28,,,,,,,,,,,
言語,Java SE 8,,2014,3,18,,,,,,,,,,,
Webフレームワーク,J2EE,,1999,,,,,,,,,,,,,
Webフレームワーク,Struts (1.X),,2001,,,,,,,,,,,,,
Webフレームワーク,Seasar2,,2004,3,,,,,,,,,,,,
Webフレームワーク,Spring,,2004,3,,,,,,,,,,,,
Webフレームワーク,Rails,,2004,7,,,,,,,,,,,,
Webフレームワーク,Sinatra,,2007,,,,,,,,,,,,,
Webフレームワーク,CakePHP,,2005,5,,,,,,,,,,,,
Webフレームワーク,Symfony,,2005,10,,,,,,,,,,,,
Webフレームワーク,CodeIgniter,,2006,2,,,,,,,,,,,,
Webフレームワーク,Laravel,,2011,6,,,,,,,,,,,,
Webフレームワーク,Django,,2005,7,,,,,,,,,,,,
Webフレームワーク,Flask,,2010,4,,,,,,,,,,,,
フロントエンド,Shockwave Flash,,1996,,,,,,,,,,,,,
フロントエンド,prototype.js,,2005,2,18,,,,,,,,,,,
フロントエンド,jQuery,,2006,8,26,,,,,,,,,,,
フロントエンド,BackboneJS,,2010,10,,,,,,,,,,,,
フロントエンド,AngularJS,,2009,,,,,,,,,,,,,
フロントエンド,react,,2013,,,,,,,,,,,,,
