Group,Group 2,Title,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Detail,Display Date,URL,Image URL,Image Credit,Type,Color
イベント,-,リニア新幹線 (名古屋 - 大阪),2037,,,,,,,,,,,,,,
イベント,-,大阪万博,2025,5,3,,2025,11,3,,,,,,,,
イベント,-,消費税10%に引き上げ,2019,10,1,,,,,,,,,,,,
イベント,-,香港一国二制度終了,2047,,,,,,,,,,,,,,
イベント,-,衆議院任期満了日,2021,10,21,,,,,,,,,,,,
イベント,-,参議院半数任期満了日,2022,7,25,,,,,,,,,,,,
イベント,-,参議院半数任期満了日,2025,7,28,,,,,,,,,,,,
歴代首相,-,伊藤博文（第1次）,1885,12,22,,1888,04,30,,,,,,,,
歴代首相,-,黒田清隆（第1次）,1888,4,20,,1889,10,25,,,,,,,,
歴代首相,-,山県有朋（第1次）,1889,12,24,,1891,05,06,,,,,,,,
歴代首相,-,松方正義（第1次）,1891,5,6,,1892,08,08,,,,,,,,
歴代首相,-,伊藤博文（第2次）,1892,8,8,,1896,08,31,,,,,,,,
歴代首相,-,松方正義（第2次）,1896,9,18,,1898,01,12,,,,,,,,
歴代首相,-,伊藤博文（第3次）,1898,1,12,,1898,06,30,,,,,,,,
歴代首相,-,大隈重信（第1次）,1898,6,30,,1898,11,08,,,,,,,,
歴代首相,-,山県有朋（第2次）,1898,11,8,,1900,10,19,,,,,,,,
歴代首相,-,伊藤博文（第4次）,1900,10,19,,1901,05,10,,,,,,,,
歴代首相,-,桂太郎（第1次）,1901,6,2,,1906,01,07,,,,,,,,
歴代首相,-,西園寺公望（第1次）,1906,1,7,,1908,07,14,,,,,,,,
歴代首相,-,桂太郎（第2次）,1908,7,14,,1911,08,30,,,,,,,,
歴代首相,-,西園寺公望（第2次）,1911,8,30,,1912,12,21,,,,,,,,
歴代首相,-,桂太郎（第3次）,1912,12,21,,1913,02,20,,,,,,,,
歴代首相,-,山本権兵衛（第1次）,1913,2,20,,1914,04,16,,,,,,,,
歴代首相,-,大隈重信（第2次）,1914,4,16,,1916,10,09,,,,,,,,
歴代首相,-,寺内正毅,1916,10,9,,1918,09,29,,,,,,,,
歴代首相,-,原敬,1918,9,29,,1921,11,04,,,,,,,,
歴代首相,-,高橋是清,1921,11,13,,1922,06,12,,,,,,,,
歴代首相,-,加藤友三郎,1922,6,12,,1923,08,24,,,,,,,,
歴代首相,-,山本権兵衛（第2次）,1923,9,2,,1924,01,07,,,,,,,,
歴代首相,-,清浦奎吾,1924,1,7,,1924,06,11,,,,,,,,
歴代首相,-,加藤高明,1924,6,11,,1926,01,28,,,,,,,,
歴代首相,-,若槻礼次郎（第1次）,1926,1,30,,1924,04,20,,,,,,,,
歴代首相,-,田中義一,1924,4,20,,1929,07,02,,,,,,,,
歴代首相,-,浜口雄幸,1929,7,2,,1931,04,14,,,,,,,,
歴代首相,-,若槻礼次郎（第2次）,1931,4,14,,1931,12,13,,,,,,,,
歴代首相,-,犬養毅,1931,12,13,,1932,05,16,,,,,,,,
歴代首相,-,斎藤実,1932,5,26,,1934,07,08,,,,,,,,
歴代首相,-,岡田啓介,1934,7,8,,1936,03,09,,,,,,,,
歴代首相,-,広田弘毅,1936,3,9,,1937,02,02,,,,,,,,
歴代首相,-,林銑十郎,1937,2,2,,1937,06,04,,,,,,,,
歴代首相,-,近衛文麿（第1次）,1937,6,4,,1939,01,05,,,,,,,,
歴代首相,-,平沼騏一郎,1939,1,5,,1939,08,30,,,,,,,,
歴代首相,-,阿部信行,1939,8,30,,1940,01,16,,,,,,,,
歴代首相,-,米内光政,1940,1,16,,1940,07,22,,,,,,,,
歴代首相,-,近衛文麿（第2次）,1940,7,22,,1941,07,18,,,,,,,,
歴代首相,-,近衛文麿（第3次）,1941,7,18,,1941,10,18,,,,,,,,
歴代首相,-,東條英機,1941,10,18,,1944,07,22,,,,,,,,
歴代首相,-,小磯国昭,1944,7,22,,1945,04,07,,,,,,,,
歴代首相,-,鈴木貫太郎,1945,4,7,,1945,08,17,,,,,,,,
歴代首相,-,東久邇宮稔彦,1945,8,17,,1945,10,09,,,,,,,,
歴代首相,-,幣原喜重郎,1945,10,9,,1946,05,22,,,,,,,,
歴代首相,-,吉田茂（第1次）,1946,5,22,,1947,05,24,,,,,,,,
歴代首相,-,片山哲,1947,5,22,,1948,03,10,,,,,,,,
歴代首相,-,芦田均,1948,3,10,,1948,10,05,,,,,,,,
歴代首相,-,吉田茂（第2次）,1948,10,15,,1949,02,16,,,,,,,,
歴代首相,-,吉田茂（第3次）,1949,2,16,,1952,10,30,,,,,,,,
歴代首相,-,吉田茂（第4次）,1952,10,30,,1953,05,21,,,,,,,,
歴代首相,-,吉田茂（第5次）,1953,5,21,,1954,12,10,,,,,,,,
歴代首相,-,鳩山一郎（第1次）,1954,12,10,,1955,03,19,,,,,,,,
歴代首相,-,鳩山一郎（第2次）,1955,3,19,,1955,11,22,,,,,,,,
歴代首相,-,鳩山一郎（第3次）,1955,11,22,,1956,12,23,,,,,,,,
歴代首相,-,石橋湛山,1956,12,23,,1957,02,25,,,,,,,,
歴代首相,-,岸信介（第1次）,1957,2,25,,1958,06,12,,,,,,,,
歴代首相,-,岸信介（第2次）,1958,6,12,,1960,07,19,,,,,,,,
歴代首相,-,池田勇人（第1次）,1960,7,19,,1960,12,08,,,,,,,,
歴代首相,-,池田勇人（第2次）,1960,12,8,,1963,12,09,,,,,,,,
歴代首相,-,池田勇人（第3次）,1963,12,9,,1964,11,09,,,,,,,,
歴代首相,-,佐藤栄作（第1次）,1964,11,9,,1967,02,17,,,,,,,,
歴代首相,-,佐藤栄作（第2次）,1967,2,17,,1970,01,14,,,,,,,,
歴代首相,-,佐藤栄作（第3次）,1970,1,14,,1972,07,07,,,,,,,,
歴代首相,-,田中角栄（第1次）,1972,7,7,,1972,12,22,,,,,,,,
歴代首相,-,田中角栄（第2次）,1972,12,22,,1974,12,09,,,,,,,,
歴代首相,-,三木武夫,1974,12,9,,1976,12,24,,,,,,,,
歴代首相,-,福田赳夫,1976,12,24,,1978,12,07,,,,,,,,
歴代首相,-,大平正芳（第1次）,1978,12,7,,1979,11,09,,,,,,,,
歴代首相,-,大平正芳（第2次）,1979,11,9,,1980,06,12,,,,,,,,
歴代首相,-,鈴木善幸,1980,7,17,,1982,11,27,,,,,,,,
歴代首相,-,中曽根康弘（第1次）,1982,11,27,,1983,12,27,,,,,,,,
歴代首相,-,中曽根康弘（第2次）,1983,12,27,,1986,07,22,,,,,,,,
歴代首相,-,中曽根康弘（第3次）,1986,7,22,,1987,11,06,,,,,,,,
歴代首相,-,竹下登,1987,11,6,,1989,06,03,,,,,,,,
歴代首相,-,宇野宗佑,1989,6,3,,1989,08,10,,,,,,,,
歴代首相,-,海部俊樹（第1次）,1989,8,10,,1990,02,28,,,,,,,,
歴代首相,-,海部俊樹（第2次）,1990,2,28,,1991,11,05,,,,,,,,
歴代首相,-,宮澤喜一,1991,11,5,,1993,08,09,,,,,,,,
歴代首相,-,細川護煕,1993,8,9,,1994,04,28,,,,,,,,
歴代首相,-,羽田孜,1994,4,28,,1994,06,30,,,,,,,,
歴代首相,-,村山富市,1994,6,30,,1996,01,11,,,,,,,,
歴代首相,-,橋本龍太郎（第1次）,1996,1,11,,1996,11,07,,,,,,,,
歴代首相,-,橋本龍太郎（第2次）,1996,11,7,,1998,07,30,,,,,,,,
歴代首相,-,小渕恵三,1998,7,30,,2000,04,05,,,,,,,,
歴代首相,-,森喜朗（第1次）,2000,4,5,,2000,07,04,,,,,,,,
歴代首相,-,森喜朗（第2次）,2000,7,4,,2001,04,26,,,,,,,,
歴代首相,-,小泉純一郎（第1次）,2001,4,26,,2003,11,19,,,,,,,,
歴代首相,-,小泉純一郎（第2次）,2003,11,19,,2005,09,21,,,,,,,,
歴代首相,-,小泉純一郎（第3次）,2005,9,21,,2006,09,26,,,,,,,,
歴代首相,-,安倍晋三（第1次）,2006,9,26,,2007,09,26,,,,,,,,
歴代首相,-,福田康夫,2007,9,26,,2008,09,24,,,,,,,,
歴代首相,-,麻生太郎,2008,9,24,,2009,09,16,,,,,,,,
歴代首相,-,鳩山由紀夫,2009,9,16,,2010,06,08,,,,,,,,
歴代首相,-,菅直人,2010,6,8,,2011,09,02,,,,,,,,
歴代首相,-,野田佳彦,2011,9,2,,2012,12,26,,,,,,,,
歴代首相,-,安倍晋三（第2次）,2012,12,26,,now,,,,,,,,,,
アメリカ大統領,-,ドナルド・トランプ,2017,1,20,,2021,1,20,,,,,,,,
アメリカ大統領,-,バラク・オバマ,2009,1,20,,2017,1,20,,,,,,,,
アメリカ大統領,-,ジョージ・W・ブッシュ,2001,1,20,,2009,1,20,,,,,,,,
アメリカ大統領,-,ビル・クリントン,1993,1,20,,2001,1,20,,,,,,,,
アメリカ大統領,-,ジョージ・H・W・ブッシュ,1989,1,20,,1993,1,20,,,,,,,,
アメリカ大統領,-,ロナルド・レーガン,1981,1,20,,1989,1,20,,,,,,,,
アメリカ大統領,-,ジミー・カーター,1977,1,20,,1981,1,20,,,,,,,,
アメリカ大統領,-,ジェラルド・R・フォード,1974,8,9,,1977,1,20,,,,,,,,
アメリカ大統領,-,リチャード・ニクソン,1969,1,20,,1974,8,9,,,,,,,,
アメリカ大統領,-,リンドン・ジョンソン,1963,11,22,,1969,1,20,,,,,,,,
アメリカ大統領,-,ジョン・F・ケネディ,1961,1,20,,1963,11,22,,,,,,,,
アメリカ大統領,-,ドワイト・D・アイゼンハワー,1953,1,20,,1961,1,20,,,,,,,,
アメリカ大統領,-,ハリー・S・トルーマン,1945,4,12,,1953,1,20,,,,,,,,
アメリカ大統領,-,フランクリン・ルーズベルト,1933,3,4,,1945,4,12,,,,,,,,
アメリカ大統領,-,ハーバート・フーヴァー,1929,3,4,,1933,3,4,,,,,,,,
アメリカ大統領,-,カルビン・クーリッジ,1923,8,2,,1929,3,4,,,,,,,,
アメリカ大統領,-,ウォレン・ハーディング,1921,3,4,,1923,8,2,,,,,,,,
アメリカ大統領,-,ウッドロウ・ウィルソン,1913,3,4,,1921,3,4,,,,,,,,
アメリカ大統領,-,ウィリアム・タフト,1909,3,4,,1913,3,4,,,,,,,,
アメリカ大統領,-,セオドア・ルーズベルト,1901,9,14,,1909,3,4,,,,,,,,
アメリカ大統領,-,ウィリアム・マッキンリー,1987,3,4,,1901,9,14,,,,,,,,
アメリカ大統領,-,グロバー・クリーブランド,1893,3,4,,1897,3,4,,,,,,,,
アメリカ大統領,-,ベンジャミン・ハリソン,1889,3,4,,1893,3,4,,,,,,,,
アメリカ大統領,-,グロバー・クリーブランド,1885,3,4,,1889,3,4,,,,,,,,
アメリカ大統領,-,チェスター・A・アーサー,1881,9,19,,1885,3,4,,,,,,,,
アメリカ大統領,-,ジェームズ・ガーフィールド,1881,3,4,,1881,9,19,,,,,,,,
アメリカ大統領,-,ラザフォード・ヘイズ,1877,3,4,,1881,3,4,,,,,,,,
アメリカ大統領,-,ユリシーズ・グラント,1869,3,4,,1877,3,4,,,,,,,,
アメリカ大統領,-,アンドリュー・ジョンソン,1865,4,15,,1869,3,4,,,,,,,,
アメリカ大統領,-,エイブラハム・リンカーン,1861,3,4,,1865,4,15,,,,,,,,
アメリカ大統領,-,ジェームズ・ブキャナン,1857,3,4,,1861,3,4,,,,,,,,
アメリカ大統領,-,フランクリン・ピアース,1853,3,4,,1861,3,4,,,,,,,,
アメリカ大統領,-,ミラード・フィルモア,1850,7,9,,1853,3,4,,,,,,,,
アメリカ大統領,-,座カリー・テイラー,1849,3,4,,1850,7,9,,,,,,,,
アメリカ大統領,-,ジェームズ・ポーク,1845,3,4,,1849,3,4,,,,,,,,
アメリカ大統領,-,ジョン・タイラー,1841,4,4,,1845,3,4,,,,,,,,
アメリカ大統領,-,ウィリアム・ハリソン,1841,3,4,,1841,4,4,,,,,,,,
アメリカ大統領,-,マーティン・ヴァン・ビューレン,1837,3,4,,1841,3,4,,,,,,,,
アメリカ大統領,-,アンドリュー・ジャクソン,1829,3,4,,1837,3,4,,,,,,,,
アメリカ大統領,-,ジョン・クィンシー・アダムズ,1825,3,4,,1829,3,4,,,,,,,,
アメリカ大統領,-,ジェームズ・モンロー,1817,3,4,,1825,3,4,,,,,,,,
アメリカ大統領,-,ジェームズ・マディソン,1809,3,4,,1817,3,4,,,,,,,,
アメリカ大統領,-,トーマス・ジェファーソン,1801,3,4,,1809,3,4,,,,,,,,
アメリカ大統領,-,ジョン・アダムズ,1797,3,4,,1801,3,4,,,,,,,,
アメリカ大統領,-,ジョージ・ワシントン,1789,4,30,,1797,3,4,,,,,,,,
歴史,-,卑弥呼が魏に使いを送り、親魏倭王の号を賜る                                  「魏志」倭人伝,239,,,,,,,,,,,,,,
歴史,-,"倭国が高句麗と戦う
　　　　　　　　　　「好太王（広開土王）碑文」",391,,,,,,,,,,,,,,
歴史,-,"倭王武、宋に上表文
　　　　　　　　　　　　　　　　　「宋書」倭国伝",478,,,,,,,,,,,,,,
歴史,-,仏教伝来(552説もあります）,538,,,,,,,,,,,,,,
歴史,-,蘇我馬子が物部守屋を殺害,587,,,,,,,,,,,,,,
歴史,-,隋建国,589,,,,,,,,,,,,,,
歴史,-,蘇我馬子が崇峻天皇を殺害,592,,,,,,,,,,,,,,
歴史,-,推古天皇が即位,592,,,,,,,,,,,,,,
歴史,-,聖徳太子、推古天皇の摂政に就任,593,,,,,,,,,,,,,,
歴史,-,冠位１２階の制定,603,,,,,,,,,,,,,,
歴史,-,１７条の憲法制定,604,,,,,,,,,,,,,,
歴史,-,"遣隋使派遣（小野妹子）
法隆寺を建立 ",607,,,,,,,,,,,,,,
歴史,-,唐建国,618,,,,,,,,,,,,,,
歴史,-,遣唐使を派遣（犬上御田鍬ら）,630,,,,,,,,,,,,,,
歴史,-,大化の改新,645,,,,,,,,,,,,,,
歴史,-,白村江の戦い,663,,,,,,,,,,,,,,
歴史,-,大津京遷都,667,,,,,,,,,,,,,,
歴史,-,天智天皇の即位,668,,,,,,,,,,,,,,
歴史,-,壬申の乱（○大海人皇子　×大友皇子）,672,,,,,,,,,,,,,,
歴史,-,大海人皇子→天武天皇即位,673,,,,,,,,,,,,,,
歴史,-,富文銭の鋳造（天武天皇）,683,,,,,,,,,,,,,,
歴史,-,藤原京遷都（持統天皇）,694,,,,,,,,,,,,,,
歴史,-,大宝律令制定（文武天皇）,701,,,,,,,,,,,,,,
歴史,-,和同開珎の鋳造（元明天皇）,708,,,,,,,,,,,,,,
歴史,-,平城京遷都（元明天皇）,710,,,,,,,,,,,,,,
歴史,-,古事記編纂（元明天皇）,712,,,,,,,,,,,,,,
歴史,-,日本書紀編纂（元正天皇）,720,,,,,,,,,,,,,,
歴史,-,国分寺・国分尼寺建立の詔(聖武天皇),741,,,,,,,,,,,,,,
歴史,-,墾田永年私財法の制定（聖武天皇）,743,,,,,,,,,,,,,,
歴史,-,大仏造立の詔（聖武天皇）,743,,,,,,,,,,,,,,
歴史,-,鑑真来日、律宗を伝える          （吉備真備同行）,754,,,,,,,,,,,,,,
歴史,-,聖武上皇死去、遺品を東大寺に納める（正倉院）,756,,,,,,,,,,,,,,
歴史,-,このころ万葉集編纂（大伴家持）,８世紀,,,,,,,,,,,,,,
歴史,-,"長岡京遷都（桓武天皇） 　
造営責任者：藤原種継",784,,,,,,,,,,,,,,
歴史,-,平安京遷都（桓武天皇）,794,,,,,,,,,,,,,,
歴史,-,坂上田村麻呂、征夷大将軍に就任,797,,,,,,,,,,,,,,
歴史,-,最澄・空海が唐に渡る,804,,,,,,,,,,,,,,
歴史,-,最澄帰国（天台宗をはじめる）         　　　　　　　→比叡山・延暦寺,805,,,,,,,,,,,,,,
歴史,-,空海帰国（真言宗をはじめる）　　　　　　　         →高野山・金剛峰寺→東寺（教王護国寺）,806,,,,,,,,,,,,,,
歴史,-,藤原良房　摂政就任,858,,,,,,,,,,,,,,
歴史,-,藤原基経　関白就任,884,,,,,,,,,,,,,,
歴史,-,菅原道真  遣唐使の中止を進言    （宇多天皇）,894,,,,,,,,,,,,,,
歴史,-,菅原道真、大宰府に左遷                     ＊東風吹かばにほひおこせよ梅の花主なしとて春を忘るな,901,,,,,,,,,,,,,,
歴史,-,＊菅原道真の死後、異変が続く→北野天満宮（京都）建立,,,,,,,,,,,,,,,
歴史,-,このころ竹取物語ができる,１０世紀,,,,,,,,,,,,,,
歴史,-,古今和歌集編纂（紀貫之・醍醐天皇）　　　→土佐日記,905,,,,,,,,,,,,,,
歴史,-,平将門の乱（承平・天慶の乱）,935,,,,,,,,,,,,,,
歴史,-,藤原純友の乱（承平・天慶の乱）,939,,,,,,,,,,,,,,
歴史,-,宋建国,960,,,,,,,,,,,,,,
歴史,-,尾張国の国司の藤原元命が郡司・百姓らに訴えられる          ＊尾張国郡司百姓等下文,988,,,,,,,,,,,,,,
歴史,-,このころ「枕草子（清少納言）」   「源氏物語（紫式部）」ができる,１１世紀,,,,,,,,,,,,,,
歴史,-,藤原道長、摂政就任                           ＊この世をばわが世とぞ思う望月の　欠けたることもなしと思へば,1016,,,,,,,,,,,,,,
歴史,-,藤原頼通、摂政就任                          ＊平等院鳳凰堂（京都府・宇治市）,1017,,,,,,,,,,,,,,
歴史,-,前九年の役,1051,,,,,,,,,,,,,,
歴史,-,白河上皇  院政をはじめる,1086,,,,,,,,,,,,,,
歴史,-,藤原清衡　中尊寺金色堂建立,1124,,,,,,,,,,,,,,
歴史,-,保元の乱（○平清盛　○源義朝）,1156,,,,,,,,,,,,,,
歴史,-,平治の乱（○平清盛　×源義朝）,1159,,,,,,,,,,,,,,
歴史,-,"太政大臣に就任
大輪田泊修築（日宋貿易）",1167,,,,,,,,,,,,,,
歴史,-,源頼朝の挙兵,1180,,,,,,,,,,,,,,
歴史,-,石橋山の戦い,1180,,,,,,,,,,,,,,
歴史,-,富士川の戦い,1180,,,,,,,,,,,,,,
歴史,-,平清盛死去,1181,,,,,,,,,,,,,,
歴史,-,倶利伽羅峠の戦い,1183,,,,,,,,,,,,,,
歴史,-,一ノ谷の戦い,1184,,,,,,,,,,,,,,
歴史,-,屋島の戦い・壇ノ浦の戦い（平氏滅亡）,1185,,,,,,,,,,,,,,
歴史,-,頼朝、全国に守護・地頭を設置,1185,,,,,,,,,,,,,,
歴史,-,源頼朝、征夷大将軍に就任　　　　   　　　　（鎌倉幕府の成立）,1192,,,,,,,,,,,,,,
歴史,-,源実朝  将軍就任,1203,,,,,,,,,,,,,,
歴史,-,北条時政  政執権就任,1203,,,,,,,,,,,,,,
歴史,-,新古今和歌集編纂（藤原定家・後鳥羽上皇）,1205,,,,,,,,,,,,,,
歴史,-,フビライハン、モンゴル帝国建国,1206,,,,,,,,,,,,,,
歴史,-,源実朝、公暁に殺される　　　　　　　　　　　 北条義時公暁を殺す。源氏正統断絶！,1219,,,,,,,,,,,,,,
歴史,-,承久の乱(北条義時・政子)六波羅探題を置く　　後鳥羽上皇、隠岐に流される,1221,,,,,,,,,,,,,,
歴史,-,御成敗式目（貞永式目）制定       （北条泰時）,1232,,,,,,,,,,,,,,
歴史,-,チンギスハン　元建国,1271,,,,,,,,,,,,,,
歴史,-,文永の役（時宗）,1274,,,,,,,,,,,,,,
歴史,-,弘安の役（時宗）,1281,,,,,,,,,,,,,,
歴史,-,永仁の徳政令,1297,,,,,,,,,,,,,,
歴史,-,後醍醐天皇即位,1318,,,,,,,,,,,,,,
歴史,-,正中の変　　　　　　　　　　　　（後醍醐天皇　倒幕計画失敗）,1324,,,,,,,,,,,,,,
歴史,-,元弘の変（後醍醐天皇　倒幕計画失敗　   　その後（1332）隠岐に流される）,1331,,,,,,,,,,,,,,
歴史,-,鎌倉幕府滅亡,1333,,,,,,,,,,,,,,
歴史,-,正長の土一揆,1428,,,,,,,,,,,,,,
歴史,-,琉球王朝成立　　　　　　　　　　　　　　　　　中山　尚巴志（しょうはし）が統一,1429,,,,,,,,,,,,,,
歴史,-,応仁の乱がはじまる（～1477）,1467,,,,,,,,,,,,,,
歴史,-,山城の国一揆,1485,,,,,,,,,,,,,,
歴史,-,加賀の一向一揆,1488,,,,,,,,,,,,,,
歴史,-,足利義政（慈照寺）銀閣造営　　　　　　　　＊東山文化,1489,,,,,,,,,,,,,,
歴史,-,鉄砲伝来,1543,,,,,,,,,,,,,,
歴史,-,キリスト教伝来,1549,,,,,,,,,,,,,,
歴史,-,川中島の戦い　　　　　　　　　　　　　　　　　（上杉謙信×武田信玄：１回目）,1553,,,,,,,,,,,,,,
歴史,-,桶狭間の戦い（今川義元を破る）,1560,,,,,,,,,,,,,,
歴史,-,足利義昭を奉じて入京,1568,,,,,,,,,,,,,,
歴史,-,石山合戦がはじまる（～1580）,1570,,,,,,,,,,,,,,
歴史,-,比叡山焼打ち,1571,,,,,,,,,,,,,,
歴史,-,義昭追放→室町幕府の滅亡,1573,,,,,,,,,,,,,,
歴史,-,長篠の戦い(家康と組み武田勝頼を破る),1575,,,,,,,,,,,,,,
歴史,-,安土城築城（翌年　安土で楽市）,1576,,,,,,,,,,,,,,
歴史,-,石山合戦が終わる（蓮如と和解）,1580,,,,,,,,,,,,,,
歴史,-,天正少年遣欧使節が長崎を出航,1582,,,,,,,,,,,,,,
歴史,-,本能寺の変　　　　　　　　　　　　　　　　　　（明智光秀が攻める　信長自害）,1582,,,,,,,,,,,,,,
歴史,-,山崎の戦い（明智光秀を破る）,1582,,,,,,,,,,,,,,
歴史,-,太閤検地,1582,,,,,,,,,,,,,,
歴史,-,賤ヶ岳の戦い（柴田勝家を破る）,1583,,,,,,,,,,,,,,
歴史,-,大阪城築城（石山本願寺跡）,1583,,,,,,,,,,,,,,
歴史,-,小牧・長久手の戦い              （徳川家康・織田信雄と和睦）,1584,,,,,,,,,,,,,,
歴史,-,関白就任,1585,,,,,,,,,,,,,,
歴史,-,四国平定（長宗我部元親を破る）,1585,,,,,,,,,,,,,,
歴史,-,太政大臣就任（豊臣姓を賜る）,1586,,,,,,,,,,,,,,
歴史,-,九州平定（島津義久を破る）,1587,,,,,,,,,,,,,,
歴史,-,バテレン追放令を出す,1587,,,,,,,,,,,,,,
歴史,-,刀狩令を出す,1588,,,,,,,,,,,,,,
歴史,-,小田原攻め（北条氏を滅ぼす）             奥州平定（伊達政宗が服従）　全国統一,1590,,,,,,,,,,,,,,
歴史,-,文永の役　　　　　　　　　　　　　朱印船を明に派遣,1592,,,,,,,,,,,,,,
歴史,-,伏見城を築城,1594,,,,,,,,,,,,,,
歴史,-,慶長の役,1597,,,,,,,,,,,,,,
歴史,-,豊臣秀吉死去,1598,,,,,,,,,,,,,,
歴史,-,リーフデ号豊後に漂着,1600,,,,,,,,,,,,,,
歴史,-,関が原の戦い,1600,,,,,,,,,,,,,,
歴史,-,徳川家康 征夷大将軍に就任,1603,,,,,,,,,,,,,,
歴史,-,朱印船貿易,1604,,,,1635,,,,,,,,,,
歴史,-,徳川秀忠 征夷大将軍に就任,1605,,,,,,,,,,,,,,
歴史,-,キリスト教禁教令（直轄領）,1612,,,,,,,,,,,,,,
歴史,-,キリスト教禁教令（全国）,1613,,,,,,,,,,,,,,
歴史,-,方光寺鐘銘事件,1614,,,,,,,,,,,,,,
歴史,-,大阪　冬の陣,1614,,,,,,,,,,,,,,
歴史,-,大阪　夏の陣,1615,,,,,,,,,,,,,,
歴史,-,武家諸法度制定                               禁中並公家諸法度制定,1615,,,,,,,,,,,,,,
歴史,-,徳川家康　死去,1616,,,,,,,,,,,,,,
歴史,-,スペイン船来航禁止,1624,,,,,,,,,,,,,,
歴史,-,奉書船以外の日本船の海外渡航禁止・在外５年以上の日本人帰国禁止,1633,,,,,,,,,,,,,,
歴史,-,日本人の海外渡航・帰国禁止,1635,,,,,,,,,,,,,,
歴史,-,武家諸法度制定（参勤交代制度化）,1635,,,,,,,,,,,,,,
歴史,-,島原の乱,1637,,,,,,,,,,,,,,
歴史,-,ポルトガル船来航禁止,1639,,,,,,,,,,,,,,
歴史,-,オランダ商館を出島に移す,1641,,,,,,,,,,,,,,
歴史,-,清建国,1636,,,,,,,,,,,,,,
歴史,-,生類憐みの令（１回目）,1685,,,,,,,,,,,,,,
歴史,-,享保の改革（吉宗、八代将軍就任）,1716,,,,,,,,,,,,,,
歴史,-,漢訳洋書の輸入を緩和,1720,,,,,,,,,,,,,,
歴史,-,目安箱の設置,1721,,,,,,,,,,,,,,
歴史,-,享保の大飢饉,1732,,,,,,,,,,,,,,
歴史,-,アヘン戦争,1840,,,,,,,,,,,,,,
歴史,-,南京条約,1842,,,,,,,,,,,,,,
歴史,-,ペリー来港,1853,,,,,,,,,,,,,,
歴史,-,日米和親条約,1854,,,,,,,,,,,,,,
歴史,-,アロー号事件,1856,,,,,,,,,,,,,,
歴史,-,タウンゼント・ハリス　日本領事着任,1856,,,,,,,,,,,,,,
歴史,-,日米修好通商条約,1858,,,,,,,,,,,,,,
歴史,-,安政の大獄がはじまる,1858,,,,,,,,,,,,,,
歴史,-,北京条約,1860,,,,,,,,,,,,,,
歴史,-,桜田門外の変,1860,,,,,,,,,,,,,,
歴史,-,坂下門外の変,1862,,,,,,,,,,,,,,
歴史,-,生麦事件,1862,,,,,,,,,,,,,,
歴史,-,薩英戦争,1863,,,,,,,,,,,,,,
歴史,-,下関事件,1863,,,,,,,,,,,,,,
