Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title
戦争,1642,,,,1649,,,,,イギリス革命(ピューリタン革命)
戦争,1642,,,,,,,,,王党派と議会派の内戦
戦争,1645,,,,,,,,,ネーズビーの戦い(王党派 vs 議会派)※議会派の勝利
戦争,1652,,,,1654,,,,,イギリス=オランダ戦争(イギリス優勢に終わる)
戦争,1688,,,,1689,,,,,名誉革命(流血を伴わない政変)
戦争,1701,,,,1713,,,,,スペイン継承戦争(フランス vs オーストリア)※オーストリアを支援して北アメリカを獲得
戦争,1740,,,,1748,,,,,オーストリア継承戦争(プロイセン vs オーストリア)※オーストリアを支援
戦争,1754,,,,1763,,,,,フレンチ・インディアン戦争(イギリス vs フランス)
戦争,1756,,,,1763,,,,,7年戦争(プロイセン vs オーストリア)※イギリスがプロイセンを支援、フランス・ロシアがオーストリアを支援
戦争,1757,,,,,,,,,プラッシーの戦い(英国領インドの基礎)
戦争,1767,,,,1799,,,,,マイソール戦争(イギリス vs インド)
戦争,1775,,,,,,,,,レキシントン・コンコードの戦い(アメリカ独立の武力衝突)
戦争,1775,,,,,,,,,マラーター戦争(イギリス vs インド)
戦争,1777,,,,,,,,,サラトガの戦い(アメリカ独立)
戦争,1781,,,,,,,,,ヨークタウンの戦い(アメリカ独立)
戦争,1812,,,,,,,,,米英戦争
戦争,1840,,,,1842,,,,,アヘン戦争(イギリス vs 清)
戦争,1845,,,,,,,,,シク戦争(イギリス vs インド)
戦争,1857,,,,,,,,,セポイ(シパーヒー)の反乱(イギリス vs インド)
条約,1420,,,,,,,,,トロワ条約(ヘンリ5世のフランス王位継承権を定める)
条約,1763,,,,,,,,,パリ条約(フレンチ・インディアン戦争)※カナダ・ミシシッピ以東のルイジアナ・フロリダ・西インド諸島の一部・セネガルの獲得
条約,1783,,,,,,,,,パリ条約(ヨークタウンの戦い)※アメリカ合衆国の独立を承認
条約,1814,,,,,,,,,ウィーン会議※マルタ島、セイロン島、ケープ植民地の獲得
時代,1401,,,,1700,,,,,大航海時代
時代,1815,,,,,,,,,パクス=ブリタニカ(経済的繁栄と圧倒的な海軍力)
時代,1750,,,,1850,,,,,産業革命
時代,1750,,,,1800,,,,,三角貿易を開始
時代,1850,,,,1875,,,,,世界の工場
できごと,-600,,,,,,,,,アルプス以北のヨーロッパはケルト人が定住
できごと,1215,,,,,,,,,大憲章(マグナカルタ)※立憲政治の基礎
できごと,1208,,,,1265,,,,,(生)シモン=ド=モンフォールの反乱
できごと,1265,,,,,,,,,国政協議※イギリス議会の起源
できごと,1320,,,,1384,,,,,ウィクリフが教会を批判、聖書を英訳
できごと,1328,,,,,,,,,カペー朝(フランス)が断絶し、ヴァロア朝が成立。
できごと,1381,,,,,,,,,ワットタイラーの乱(農奴制の廃止を要求する農民一揆)
できごと,1445,,,,,,,,,活版印刷術の発明(グーテンベルク)
できごと,1502,,,,,,,,,アメリゴ=ヴェスプッチによる南アメリカ探検(新大陸であることが明らかになる)
できごと,1520,,,,,,,,,ヘンリ8世とフランソワ1世(フランス王)の会見@フランス北部
できごと,1530,,,,,,,,,宗教改革
できごと,1534,,,,,,,,,国王至上法(首長法)発布/英国国教会の成立(ローマ教会からの決別)
できごと,1577,,,,,,,,,ネーデルラントとの同盟
できごと,1581,,,,,,,,,ネーデルラント(オランダ)連邦共和国がスペインから独立※イギリスは独立を支援
できごと,1585,,,,,,,,,オランダ独立戦争に援軍を送る
できごと,1599,,,,1658,,,,,(生)クロムウェル
できごと,1600,,,,,,,,,イギリス東インド会社設立
できごと,1620,,,,,,,,,メイフラワー号でピューリタンの一団がアメリカに渡り、ニューイングランド植民地の基礎をつくる
できごと,1623,,,,,,,,,アンボイナ事件(インドネシアのアンボイナ島でオランダ人がイギリス商館員を殺害した事件)
できごと,1628,,,,,,,,,権利の請願が議会で可決
できごと,1649,,,,,,,,,チャールズ1世の処刑
できごと,1651,,,,,,,,,航海法(輸入品の輸送を英国籍または原産国籍船に限定)を制定
できごと,1689,,,,,,,,,権利の章典
できごと,1694,,,,,,,,,イングランド銀行創設
できごと,1707,,,,,,,,,イギリス(イングランド)とスコットランドが合同して大ブリテン王国が成立
できごと,1733,,,,,,,,,とび杼の発明(ジョン=ケイ)
できごと,1764,,,,,,,,,多軸紡績機の発明(ハーグリーヴス)
できごと,1765,,,,,,,,,「代表なくして課税なし」(本国議会に植民地の代表がなく植民地に課税する権限がないという主張)
できごと,1769,,,,,,,,,水力紡績機の発明(アークライト)
できごと,1769,,,,,,,,,蒸気機関の発明(ワット)
できごと,1773,,,,,,,,,ボストン茶会事件(植民地への茶の販売権を東インド会社に独占させたことに対する抗議事件)
できごと,1776,7,4,,,,,,,アメリカ独立宣言＠フィラデルフィア
できごと,1778,,,,,,,,,アメリカがフランスと同盟
できごと,1779,,,,,,,,,アメリカがスペインと同盟
できごと,1780,,,,,,,,,アメリカがオランダと同盟
できごと,1779,,,,,,,,,ミュール紡績機の発明(クロンプトン)
できごと,1785,,,,,,,,,力織機の発明(カートライト)
できごと,1807,,,,,,,,,蒸気船の試作(米フルトン)
できごと,1810,,,,,,,,,ラダイト運動
できごと,1858,,,,1877,,,,,英国領インド
できごと,1830,,,,,,,,,世界初の旅客鉄道(マンチェスター=リヴァプール間)
