Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Datail,URL,Image URL,Image Credit,Type,Color
出来事,2009,3,2,,,,,,,クラスメートからの告げ口,イソップと仲良くなったナワーブへ、クラスメートが「あいつはゲイだ、気をつけろ」と告げ口をしてくる。ナワーブは相手を叱りつけて一蹴する,,,,,
出来事,2010,3,15,,,,,,,帰り道での事故,2人で外出中、帰り道で事故に遭う。ナワーブはイソップを庇って怪我をする。ナワーブが入院する,,,,,
出来事,2010,3,17,,,,,,,入院中の告知,ナワーブは自分が負った怪我が陸上選手としては致命的なものであると知る,,,,,
出来事,2010,3,20,,,,,,,イソップがナワーブの見舞いに行こうとする,イソップはナワーブの入院する病院へと見舞いに行くが、どうしてもドアを開けることが出来ない。逡巡した末に、ドアの外に見舞いの花束と謝罪の手紙を置いて立ち去る,,,,,
出来事,2017,6,9,,,,,,,ナワーブがイソップの個展開催を知る,ナワーブが、取り巻きの1人が手にしていた広告でイソップの個展開催と現在を知る,,,,,
出来事,2017,8,30,,,,,,,ナワーブが身体を壊す,ナワーブが身体を壊す。自殺を考えるようになる,,,,,
出来事,2018,1,12,,,,,,,再会,ナワーブとイソップが再会。ナワーブがイソップを強姦する（R18）,,,,,
出来事,2018,2,1,,,,,,,一緒に暮らし始める,ナワーブとイソップが一緒に暮らし始める,,,,,
出来事,2018,3,1,,,,,,,暗雲（1）,ナワーブが、次第にイソップに対して酷い我が儘や要求をするようになる。イソップは無理をしてでも応え続けようとする（R18?）,,,,,
出来事,2018,4,3,,2018,4,3,,,暗雲（2）,暗雲（1）からの前提による（R18？）,,,,,
出来事,2018,6,14,,2018,6,15,,,暗雲（3）,暗雲（1）からの前提による（R18？）,,,,,
出来事,2020,1,15,,,,,,,心中の提案,イソップはナワーブからの提案に驚くが「…あなたが心からそう望むなら」と答えてしまう,,,,,
出来事,2020,5,12,,,,,,,2人で家を出て海へ向かう,ナワーブが自宅から持ち出したのは、過去のイソップからの謝罪を綴った手紙だけだった,,,,,
出来事,2020,5,13,,2020,5,14,5：00,,廃屋での一夜,初めて、両思い前提でのセックスをする（R18）,,,,,
出来事,2020,5,14,23：30,2020,5,14,23：30,,心中,,,,,,
第1話「（仮）ナワーブの高校生活」,2007,4,1,,2008,3,25,,,ナワーブの高校生活について,勉強における成績はさほどではないが、スポーツにおいては万能で活躍している。数々の輝かしい記録を打ち立て、男女共に人気がある。,,,,,
第2話：「（仮）イソップ転入」,2008,4,7,,,,,,,イソップの転入について,口下手で、決して愛想があるとはいえない自己紹介。,,,,,
第3話「（仮）遠巻きにされるイソップ」,2008,4,8,,2008,4,22,,,クラスメートとイソップの馴染めなさ,イソップは基本的にクラスメートとほとんど口を利かない。美術部に入り、美しいといえば美しいが不気味で陰鬱な雰囲気の人形の絵ばかりを描く。,,,,,
第4話「（仮）いじめに遭うイソップ」,2008,4,22,,2008,5,22,,,一部のクラスメートからの、イソップへのいじめ,クラスでは「暗い」「陰気だ」「何を考えているか解らない」といった噂や風評が広がり、次第に疎まれ、いじめられるようになる。黙って耐えている。,,,,,
第5話「（仮）ナワーブ、イソップに近づく」,2008,5,7,,2008,6,1,,,イソップへのいじめに気づいたナワーブが、なるべくイソップと共にいようと立ち振る舞う,イソップは、人気者のナワーブが自分とコミュニケーションしようとしているので最初は「自分なんかとどうして」と驚く。しかし、もともとナワーブのことは嫌いではなく、むしろ自分とは違う面を眩しく思い、憧れもあった。口下手な自分を蔑むでもなく接してくれるナワーブに、少しずつ慣れていく。ナワーブの友人、という評価が定まるにつれてイソップへのいじめは沈静化する。,,,,,
第6話「（仮）ナワーブ、イソップと仲良くなる」,2008,6,14,,,,,,,イソップが好むというホラー映画の上映。ナワーブは「2人で一緒に観に行こう」と誘う,怪異に逃げ惑う登場人物たちに、ナワーブは拳を握りしめながら「何やってんだよ、そこにあるスキーのストックは立派に武器になるだろうが！戦えよ！！」などと口走ったりしている。イソップはそんなナワーブを見ながら、あなたらしいですね、と笑った。,,,,,
第7話「（仮）告げ口」,2009,1,21,,,,,,,ナワーブへの告げ口,"『あんななよなよした陰気な奴と一緒にいて何が楽しいんだ？』
『ナワーブ、イソップの奴はゲイだ。お前をそういう意味で特別視しているからいつもくっついてるんだ。気をつけないといつか襲われるぞ』
ナワーブは激昂して彼らを叱りつける。",,,,,
第8話「（仮）繁華街にて」,2010,3,13,,,,,,,ナワーブとイソップの外出,今度はイソップがナワーブの趣味に付き合って繁華街へ買い物に出た。その帰り道。急発進してきた車にぶつかりそうになったイソップを、ナワーブが咄嗟に庇う。イソップは擦り傷だけで無事だったが、ナワーブは怪我を負い入院する。,,,,,
第9話「（仮）入院」,2010,3,13,,2010,3,15,,,ナワーブの入院,ナワーブは怪我での入院なので自由に身動き出来ずに退屈している。少しして、自分が陸上選手としては致命的な怪我を負ったことを告知される。,,,,,
第10話「（仮）見舞い（1）」,2010,,,,,,,,,イソップが、ナワーブの入院先へ見舞いに行こうとする,イソップがナワーブの病室へ向かっていると、廊下から話し声がする。先にナワーブの見舞いへ訪れていた数人のクラスメートがいたらしい。イソップは彼らと顔を合わせたくなかったため、咄嗟に物陰へ隠れる。,,,,,
第11話「（仮）見舞い（2）」,2010,,,,,,,,,,「そういや、お前、第一志望の美大受験はどうだったんだよ」「…合格しました」「良かったじゃないか。おめでとう」「ナワーブさんは…？　推薦の話があるって」「俺？　俺は就職するよ」「え？」「少し前に、医者から、陸上を続けるのは無理だって言われてんだ」「……ごめんなさい。僕のせいで」「お前のせいじゃねえよ」その後、イソップは再び病院へ訪れ、謝罪の手紙を扉の前に置いて立ち去る。,,,,,
第12話「（仮）卒業間際」,2010,,,,,,,,,回復したナワーブが登校してくる,卒業式も近い。ナワーブはイソップに対して、以前のように打ち解けた話はしなくなった。イソップは、ある日、ナワーブへ言う。「ナワーブさん、…これまで僕のために良くしてくれてありがとう。義務感で僕を守ろうとしなくても大丈夫です。もうすぐ卒業式ですから」そのうち、イソップは、ナワーブが怪我を負った一因が自分にあるのは周囲に広まっていない、と気づく。,,,,,
第13話「（仮）それぞれの進路」,2010,,,,,,,,,ナワーブは就職、イソップは美大へ進学,イソップが人形を作るようになる（根底に深い傷を負ったナワーブのイメージがある）,,,,,
第14話「（仮）その後」,2011,,,,,,,,,ナワーブが、酒やギャンブルや女遊びにうつつを抜かすようになる,ナワーブは、自分の夢や将来が断ち切られた虚しさを紛らわせるため、刹那的な遊蕩に耽るようになっていく。やがて、周囲に集う人間を思いのままに操るようになり、傲慢な王者のように暮らすようになる。,,,,,
第15話「（仮）イソップの個展」,2017,,,,,,,,,,ナワーブが、取り巻きが手にしていた広告でイソップの個展開催と美術界での評価を知る。「なんだ、あいつ………まだ生きてたのか。ご立派になりやがって」広告に載っている人形の作品は、どことなくナワーブに似ていた。,,,,,
第16話「（仮）ナワーブの病」,2017,,,,,,,,,,ナワーブがこれまでの不摂生から体調を崩す。周囲にいた取り巻きが少しずつ遠のいていく。次第に自殺を考えるようになる。,,,,,
第17話「（仮）再会」,2018,1,12,,,,,,,,イソップがナワーブを探し当てて訪ねる。ナワーブは憎しみからイソップを強姦する（R18）しかし、イソップはそれでもナワーブを責めずにすべてを受け止めて優しくしようとする。強姦を終えた後、イソップは震えながら本心を吐露する。「あの時にいじめっ子たちがあなたに告げ口していたことは本当です。…僕は、ずっと、あなたが好きだった。恋い焦がれていた。黙って、隠し通していれば…友人としてずっとあなたの側にいられると思っていた」,,,,,
第18話「（仮）同棲」,2018,2,1,,,,,,,,イソップはナワーブに言う。「今の僕があるのは、あなたが僕を守ってくれたからだ。僕はあなたに救われていました。だから。誰が去っていったとしても。何があっても…。今、あなたが困難に陥っているなら。僕は。僕だけはあなたの側にいます」,,,,,
第19話「（仮）暗雲（1）」,2018,3,1,,,,,,,,初めのうちこそ幸せに暮らしていたが、次第にナワーブはイソップに対して酷い我が儘や要求をするようになる。イソップは無理をしてでも応え続けようとする（R18?）,,,,,
第20話「（仮）暗雲（2）」,2018,4,3,,,,,,,,暗雲（1）からの前提による（R18？）,,,,,
第21話「（仮）暗雲（3）」,2018,6,14,,,,,,,,暗雲（1）からの前提による（R18？）,,,,,
第22話「（仮）提案」,2020,1,15,,,,,,,,何でもないようにナワーブが言う。「なあ、イソップ。お前。俺が死にたいって言ったら一緒に死んでくれんの？」（イソップを試す気持ちが半分、本気が半分）イソップは驚くが「…あなたが心からそう望むなら」と答えてしまう。,,,,,
第23話「（仮）海へ」,2020,5,12,,,,,,,,月日が経つが、イソップは1月の不穏な会話を覚えていた。ナワーブが心配だったが、何でもないように数ヶ月が過ぎる。ある時、ナワーブから「海行くか」と誘われて（今の季節には珍しい、と思いつつも）喜ぶが、当日の出発前にナワーブが手にしているのが1通の手紙だけ、というのを見て意図を察する。しかし何も言わずに相手と連れ立って車に乗る。海に着くと人はまばら。2人は言葉少なく海を眺めている。やがて日が暮れるがナワーブは帰ろうとしない。イソップは時間が過ぎていくままにナワーブの傍らにいる。,,,,,
第24話「（仮）廃屋にて」,2020,5,13,20：30,2020,5,14,,,,"やがて夜になり、ナワーブは近くの廃屋へ入り込む。イソップが後を追うと不意に壁に追い詰められて噛みつくようなキスをされる（R18）ナワーブがイソップを抱いている時、イソップは幸せそうにしているが、不意にどこか糸が切れたように泣き出して「ごめんなさい、…ごめんなさい、ナワーブさん」と謝罪の言葉を口にする。ナワーブは「もういいって」と宥めてやる。それでもイソップは壊れたように「好きです」「愛してます」と繰り返す。ナワーブは「うん、知ってる」と返す。イソップはそう言われるととても嬉しそうに笑う。
2人がその時にいる場所が廃屋ではなく、向かう先が海へ沈むことでなければ、単にとてつもなく甘くて幸せいっぱいに見えそうな2人。その後、2人で心中を果たす。",,,,,
