Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,Image URL,Image Credit,Type,Color
Live,1994,6,3,,1994,6,28,,"6/3,6/28",JT SUPER SOUND'94 PRE CONCERT,"6/3@福岡都久志会館
6/28@札幌ペニーレーン24",,,point,
Live,1994,7,17,,1994,7,30,,7/17-7/30,JAGUAR HARD PAIN ENCORE TOUR'94～つわものどもの熱帯夜～,"7/17@東京日比谷野外音楽堂
7/21@大阪厚生年金会館中ホール
7/22@名古屋ダイアモンドホール
7/30@東京渋谷公会堂

",,,box,
Live,1994,8,9,,1994,8,30,,"8/9,8/30",L.S.B,"8/9@福岡海ノ中道海浜公園　野外劇場
8/30@大阪大阪城ホール",,,point,
Live,1994,8,21,,,,,,8/21,R＆Rオリンピック’94＠仙台スポーツランドSUGO SP広場,,,,,
Live,1994,8,28,,,,,,8/28,BSヤングバトル’94中国ブロック大会＠広島県立総合体育館サブアリーナ,,,,,
Live,1994,9,25,,,,,,9/25,FM802 STOP AIDS EDUCATION LEADER CAMPAIGN LIVE FLASH＠大阪心斎橋アメリカ村三角公園,,,,,
Live,1994,10,23,,1994,11,19,,"10/23,10/30,11/3,11/5,11/19",SATURDAY NIGHT R&R SHOW'94 BRITISH HALOWEEN PARTY,"10/23@福岡九州国際大学　体育館
10/30@東京日清パワーステーション
11/3@東京早稲田大学　本部キャンパス15号館401教室
11/5@東京駒沢大学　本部記念講堂
11/19@東京明治薬科大学　田無校　体育館",,,point,
Live,1994,11,8,,1994,12,27,,11/8-12/27,JAGUAR HARD PAIN ENCORE TOUR'94“I Shall Return!”,"11/8@広島NEOPOLIS HALL
11/9@福岡都久志会館
11/13@新潟文化村O-DO
11/15@仙台市民会館小ホール
12/11＠札幌ペニーレーン24
12/13@青森ラビナホール
12/16@宇都宮市文化会館小ホール
12/17@東京渋谷公会堂
12/23@大阪サンケイホール
12/24@愛知県勤労会館
12/26@東京中野サンプラザ
12/27@東京中野サンプラザ",,,box,
Live,1994,12,29,,,,,,12/29,L.S.D.'94@日本武道館,,,,,
Live,1995,3,19,,,,,,3/19,PETTICOAT LANE ONLY LIVE@渋谷ON AIR EAST,,,,,
Live,1995,3,21,,1995,4,11,,3/21-4/11,TOUR'95“LOVE COMMUNICATION”,"3/21@大阪厚生年金会館大ホール
3/22@広島南区民文化センター
3/23@福岡電気ホール
3/25@長崎ncc&スタジオ
3/28@石川県教育会館
3/29@新潟フェイズ
3/31@仙台市青年文化センター
4/3@愛知県勤労会館
4/6＠青森市民文化ホール
4/7@札幌ファクトリーホール
4/11@日本武道館





",,,box,
Live,1995,4,9,,,,,,4/9,POSITION@川崎クラブチッタ,,,,,
Live,1995,4,29,,,,,,4/29,"RONSON,PLAY DON'T WORRY IN HEAVEN@東京中野サンプラザホール",,,,,
Live,1995,4,30,,,,,,4/30,LOVE ROCKS“THE FINAL WAVE”@愛知豊田市白浜公園特設ステージ,,,,,
Live,1995,7,23,,,,,,7/23,MEET THE WORLD BEAT'95@大阪万博記念公園もみじ川芝生広場,,,,,
Live,1995,7,26,,,,,,7/26,LIVE CLAPPER'95-SWEET KISS-@仙台サンプラザホール,,,,,
Live,1995,7,30,,,,,,7/30,蒜山ロックフェスティバル’95@岡山蒜山高原三木ヶ原　野外特設ステージ,,,,,
Live,1995,8,6,,,,,,8/6,NEW KIDS ON THE ROCKS@名古屋城深井丸広場,,,,,
Live,1995,8,12,,,,,,8/12,POP HILL'95＠石川県森林公園　野外特設ステージ,,,,,
Live,1995,8,13,,,,,,8/13,EXCITING SUMMER IN WAJIKI'95@徳島大塚製薬ワジキ工場内　野外ステージ,,,,,
Live,1995,8,20,,,,,,8/20,彩の国　秩父ミューズコンサート’95 NACK5 GO-ROCK@埼玉秩父ミューズパーク,,,,,
Live,1995,8,27,,,,,,8/27,音楽処Z倶楽部＠岩手水沢市文化会館Zホール,,,,,
Live,1995,8,15,,1995,9,1,,8/15-9/1,TOUR'95 SUMMER SPECIAL“真夏の暴走”,"8/15@山梨富士急ハイランド コニファーフォレスト
8/31@大阪厚生年金会館大ホール
9/1@大阪厚生年金会館大ホール",,,box,
Live,1995,9,10,,,,,,9/10,NHK BS ヤングバトル’95＠愛知小牧市市民会館,,,,,
Live,1995,9,15,,1995,11,11,,"9/15,9/23,10/14,10/29,11/2,11/3,11/4,11/10,11/11",“FM RIDERS”Rolling 5 Yearh!～アドレナリン大放出LIVE!～,"9/15@長崎公会堂
9/23@北海道薬科大学　桂青館
10/14@栃木自治医科大学　体育館
10/29@埼玉跡見学園女子大学
11/2@早稲田大学　本部キャンパス構内10号館　109教室
11/3＠神奈川大学　大講堂　横浜キャンパス
11/4@千葉明海大学　浦安キャンパス
11/10@群馬県立女子大学　大学講堂
11/11@東京工芸大学　厚木キャンパス",,,point,
Live,1995,11,24,,1995,12,29,,11/24-12/29,"TOUR'95""FOR SEASON""","11/24@茨木結城市民文化センター
11/28@新潟テルサ
11/30@金沢市文化ホール
12/2@秋田県児童会館
12/4@仙台市民会館大ホール
12/5@郡山市民文化センター中ホール
12/6@岩手教育会館
12/8＠福岡市民会館
12/11@長崎市公会堂
12/12@熊本県立劇場演劇ホール
12/14@広島アステールプラザホール
12/15@愛媛県民文化会館サブホール
12/17@大阪城ホール
12/20@札幌市民会館
12/23@名古屋市民会館
12/24@長野県県民文化会館中ホール
12/28@日本武道館
12/29@日本武道館",,,box,
Live,1995,12,31,,,,,,12/31,LIVE Di:GA Special@渋谷公会堂,,,,,
Live,1996,1,12,,1996,1,28,,1/12-1/28,TOUR'96“FOR SEASON”,"1/12@日本武道館
1/18＠静岡市民文化会館中ホール
1/20＠名古屋市民会館
1/22＠仙台市民会館大ホール
1/25＠岡山市民会館
1/28＠神戸国際会館ハーバーランドプラザホール",,,box,
Live,1996,1,15,,,,,,1/15,「吉井和哉のオールナイトニッポン」プレゼンツ THE YELLOW MONKEY～震災復興コンサートin北淡町～＠北淡町立豊島小学校体育館,,,,,
Live,1996,1,23,,,,,,1/23,"THE STREET SLIDERS Vs,@東京日清パワーステーション",,,,,
Live,1996,4,21,,,,,,4/21,SATURDAY NIGHT R&R SHOW'96“LIVE Y SPECIAL”@東京日清パワーステーション,,,,,
Live,1996,4,30,,,,,,4/30,"RONSON,PLAY DON'T WORRY IN HEAVEN@川崎クラブチッタ",,,,,
Live,1996,5,17,,1996,7,30,,5/17-7/30,TOUR'96 FOR SEASON“野性の証明”,"5/17＠埼玉戸田市文化会館
5/19@鹿児島県市民文化ホール第一
5/20@宮崎市民会館
5/21@熊本市民会館
5/23@長崎市公会堂
5/25@山口スターピアくだまつ
5/26@神奈川県民ホール
5/27@千葉市川市文化会館
5/29@神戸国際会館ハーバーランドプラザホール
5/31@三重四日市市文化会館
6/1@岐阜長良川国際会議場
6/3@滋賀守山市民ホール
6/4@京都会館第一ホール
6/6@群馬県民会館
6/7@新潟県民会館
6/9@石川厚生年金会館
6/11@栃木宇都宮市文化会館
6/12@福島郡山市民文化センター
6/15@福岡サンパレス
6/18@山形県県民会館
6/19@秋田県民会館
6/21@岩手県民会館
6/23@北海道旭川市民文化会館
6/24@北海道厚生年金会館
6/26@仙台サンプラザホール
6/28@青森市文化会館
7/1@東京北とぴあ さくらホール
7/2@大宮ソニックシティ
7/4@高松市民会館
7/5@松山市民会館
7/7@高知県民文化ホール
7/8@徳島市文化センター
7/10@広島郵便貯金ホール
7/11@岡山市民会館
7/13@八王子市民会館
7/17@名古屋国際会議場センチュリーホール
7/18@名古屋国際会議場センチュリーホール7/20@NHKホール
7/21@NHKホール
7/24@大阪厚生年金会館
7/25@大阪厚生年金会館
7/27@長野県県民文化会館
7/30@静岡市民文化会館",,,box,
Live,1996,12,28,,,,,,12/28,メカラ ウロコ 7@日本武道館,,,,,
Live,1997,2,21,,1997,5,13,,2/21-5/13,ARENA TOUR'97“FIX THE SICKS”,"2/21@長野松本市総合体育館
2/27@日本武道館
2/28@日本武道館
3/11@広島サンプラザホール
3/14@香川高松市総合体育館
3/19@仙台市体育館
3/20@仙台市体育館
3/25@新潟産業センター
3/29@福岡国際センター
3/30@福岡国際センター
4/2@鹿児島アリーナ
4/10@北海道月寒グリーンドーム
4/16@岩手盛岡市アイスアリーナ
4/19@静岡浜松アリーナ
5/2@名古屋市総合体育館レインボーホール
5/3@名古屋市総合体育館レインボーホール
5/7@横浜アリーナ
5/8@横浜アリーナ
5/12@大阪城ホール
5/13@大阪城ホール",,,box,
Live,1997,7,26,,,,,,7/26,FUJI ROCK FESTIVAL'97@山梨富士天神山スキー場,,,,,
Live,1997,8,9,,1997,8,12,,"8/9,8/10,8/12",THE MICK RONSON MEMORIAL Ⅱ,"8/9@HULL ARENA, KINGSTON PARK, HULL
8/10@QUEENS GARDENS, HULL
8/12@LONDON ASTORIA",,,,
Live,1997,8,23,,1987,9,23,,8/23-9/23,TOUR'97〜紫の炎〜,"8/23@宮城国営みちのく杜の湖畔公園 湖畔のひろば
8/30@福岡マリノア
9/7@埼玉西武球場
9/14@兵庫阪急西宮スタジアム
9/23@愛知ポートメッセ名古屋",,,box,
Live,1998,3,27,,,,,,3/27,PUNCH DRUNKARD TOUR“あしたのショー”@東京赤坂BLITZ,,,,,
Live,1998,4,3,,1999,3,10,,4/3-3/10,PUNCH DRUNKARD TOUR 98/99,"4/3@埼玉戸田市文化会館
4/5@福島郡山市民文化センター
4/6@山形県県民会館
4/8@秋田県民会館
4/10@青森市文化会館
4/11@青森市文化会館
4/13@岩手県民会館
4/14@岩手県民会館
4/17@北海道函館市民会館
4/19@北海道室蘭市文化センター
4/21@北海道厚生年金会館
4/22@北海道厚生年金会館
4/24@北海道北見市民会館
4/25@北海道釧路市民文化会館
4/28@宮城仙台サンプラザ
4/29@宮城仙台サンプラザ
5/1@神奈川県民ホール
5/2@神奈川県民ホール
5/4@栃木宇都宮市文化会館
5/6@富山市芸術文化ホール
5/8@新潟県民会館
5/9@新潟県民会館
5/11@石川厚生年金会館
5/12@福井フェニックス・プラザ
5/14@千葉県文化会館
5/15@茨城県立県民文化センター
5/18@群馬県民会館
5/26@埼玉大宮ソニックシティ
5/28@山梨県立県民文化ホール
5/29@長野県県民文化会館
6/2@大分文化会館
6/4@福岡サンパレス
6/5@福岡サンパレス
6/7@長崎市公会堂
6/9@熊本市民会館
6/10@宮崎市民文化ホール
6/11@佐賀市文化会館
6/13@鹿児島市民文化ホール
6/14@鹿児島市民文化ホール
6/17@沖縄コンベンションセンター 劇場
6/18@沖縄コンベンションセンター 劇場
6/24@京都会館第一ホール
6/25@滋賀守山市民ホール
6/29@静岡富士市文化会館ロゼシアター
6/30@三重四日市市文化会館
7/2@和歌山県民文化会館
7/3@奈良県文化会館国際ホール
7/5@岐阜長良川国際会議場
7/7@愛知豊橋勤労福祉会館
7/8@静岡市民文化会館
7/10@フェスティバルホール
7/13@神戸国際会館 ハーバーランドプラザ
7/14@神戸国際会館 ハーバーランドプラザ
9/1@広島厚生年金会館
9/2@広島厚生年金会館
9/4@島根県民会館
9/5@鳥取県民文化会館
9/7@徳山市文化会館
9/9@香川県県民ホール
9/10@香川県県民ホール
9/12@鳴門市文化会館
9/14@高知県立県民文化ホール
9/15@愛媛県県民文化会館
9/18@大阪フェスティバルホール
9/19@大阪フェスティバルホール
9/23@東京NHKホール
9/24@東京NHKホール
9/26@東京NHKホール
9/27@東京NHKホール
10/1@名古屋国際会議場 センチュリーホール
10/2@名古屋国際会議場 センチュリーホール
10/6@岡山市民会館
10/23@静岡浜松アリーナ
10/24@静岡浜松アリーナ
10/29@北海道真駒内屋内競技場
10/30@北海道真駒内屋内競技場
11/3@岩手産業文化センター
11/4@岩手産業文化センター
11/7@山形市総合スポーツセンター
11/8@山形市総合スポーツセンター
11/12@石川県産業展示館 4号館
11/13@石川県産業展示館 4号館
11/20@長野市若里多目的スポーツアリーナ
11/21@長野市若里多目的スポーツアリーナ
11/24@新潟市産業振興センター
11/25@新潟市産業振興センター
12/26@日本武道館
12/27@日本武道館
→
1/9@群馬グリーンドーム前橋
1/10@群馬グリーンドーム前橋
1/13@宮城グランディ21県総合体育館
1/14@宮城グランディ21県総合体育館
1/20@名古屋市総合体育館 レインボーホール
1/21@名古屋市総合体育館 レインボーホール
1/23@名古屋市総合体育館 レインボーホール
1/29@マリンメッセ福岡
1/30@マリンメッセ福岡
2/2@大阪城ホール
2/3@大阪城ホール
2/5@大阪城ホール
2/6@大阪城ホール
2/9@徳島アスティ徳島
2/14@広島県立総合体育館 グリーンアリーナ
2/17@マリンメッセ福岡
2/18@マリンメッセ福岡
2/22@鹿児島アリーナ
2/23@鹿児島アリーナ
2/27@沖縄コンベンションセンター 展示棟
2/28@沖縄コンベンションセンター 展示棟
3/6@横浜アリーナ
3/7@横浜アリーナ
3/9@横浜アリーナ
3/10@横浜アリーナ",,,box,
Live,1998,7,18,,1998,7,20,,"7/18,7/20",THE YELLOW MONKEY UK TOUR,"7/18@NOTTINGHAM ROCK CITY (THE RIG),NOTTINGHAM
7/20@LONDON ASTORIA ,LONDON",,,box,
Live,1998,12,28,,,,,,12/28,メカラ ウロコ 9@日本武道館,,,,,
Live,1999,12,28,,,,,,12/28,メカラ ウロコ 10@日本武道館,,,,,
Live,1999,12,29,,,,,,12/29,Petticoat Laner de 公演@日本武道館,,,,,
Live,2000,4,8,,2000,5,15,,4/8-5/15,SPRING TOUR,"4/8@名古屋市総合体育館レインボーホール
4/9@名古屋市総合体育館レインボーホール
4/15@大阪城ホール
4/16@大阪城ホール
4/19@マリンメッセ福岡
4/20@マリンメッセ福岡
4/28@北海道月寒グリーンドーム
4/29@北海道月寒グリーンドーム
5/9@横浜アリーナ
5/10@横浜アリーナ
5/15@日本大学文理学部(ゲリラライブ)",,,box,
Live,2000,8,6,,,,,,8/6,KIT POP HILL 2000@石川県森林公園 緑化の広場,,,,,
Live,2000,8,13,,,,,,8/13,ROCK IN JAPAN FESTIVAL 2000@茨城県国営ひたち海浜公園,,,,,
Live,2001,1,4,,2001,1,8,,"1/4,1/8",メカラ ウロコ 8,"1/4@大阪ドーム
1/8@東京ドーム",,,point,
Live,2004,12,10,,2004,12,26,,12/10-12/26,Petticoat Lane PRESENTS THE EXHIBITION AND VIDEO FESTIVAL OF THE YELLOW MONKEY メカラ ウロコ 15,"12/10@岩手県民会館
12/11＠仙台サンプラザホール
12/13＠札幌市民会館
12/15＠広島アステールプラザ大ホール
12/16＠福岡サンパレス
12/18＠新潟県民会館大ホール
12/20＠愛媛松山市民会館
12/21＠大阪厚生年金会館大ホール
12/22＠愛知県勤労会館
12/26＠東京ドーム",,,,
Live,2016,5,11,,2016,9,11,,5/11-9/11,THE YELLOW MONKEY SUPER JAPAN TOUR 2016,"5/11@東京国立代々木競技場第一体育館
5/12@東京国立代々木競技場第一体育館
5/28@長野ビッグハット
5/29@長野ビッグハット
6/11@広島グリーンアリーナ
6/12@広島グリーンアリーナ
6/18@宮城セキスイハイムスーパーアリーナ
6/19@宮城セキスイハイムスーパーアリーナ
6/28@愛知日本ガイシホール
6/29@愛知日本ガイシホール
7/5@大阪城ホール
7/6@大阪城ホール
7/9@さいたまスーパーアリーナ
7/10@さいたまスーパーアリーナ


",,,,
Live,,,,,,,,,,,,,,,
Live,,,,,,,,,,,,,,,
Live,,,,,,,,,,,,,,,
Live,,,,,,,,,,,,,,,
Live,,,,,,,,,,,,,,,
Live,,,,,,,,,,,,,,,
Live,,,,,,,,,,,,,,,
Live,,,,,,,,,,,,,,,
Live,,,,,,,,,,,,,,,
Live,,,,,,,,,,,,,,,
Live,,,,,,,,,,,,,,,
Live,,,,,,,,,,,,,,,
Live,,,,,,,,,,,,,,,
Live,,,,,,,,,,,,,,,
Live,,,,,,,,,,,,,,,
Live,,,,,,,,,,,,,,,
Live,,,,,,,,,,,,,,,
Live,,,,,,,,,,,,,,,
Live,,,,,,,,,,,,,,,
Live,,,,,,,,,,,,,,,
Live,,,,,,,,,,,,,,,
Live,,,,,,,,,,,,,,,
Live,,,,,,,,,,,,,,,
Live,,,,,,,,,,,,,,,
Live,,,,,,,,,,,,,,,
Live,,,,,,,,,,,,,,,
Live,,,,,,,,,,,,,,,
Live,,,,,,,,,,,,,,,
Live,,,,,,,,,,,,,,,
Live,,,,,,,,,,,,,,,
Live,,,,,,,,,,,,,,,
Live,,,,,,,,,,,,,,,
Live,,,,,,,,,,,,,,,
Live,,,,,,,,,,,,,,,
Live,,,,,,,,,,,,,,,
Live,,,,,,,,,,,,,,,
Live,,,,,,,,,,,,,,,
