Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,Url,Image URL,(未実装) Image Credit,Type,Color
1921-1950,1948,,,,now,,,,,Mads Vinding,Denmark,,,,,
1951-1985,1951,,,,1987,,,,,Jaco Pastorius,FL,,,,,
1951-1985,1951,,,,now,,,,,Stanley Clarke,Philly,,,,,
1951-1985,1951,,,,now,,,,,Alphonso Johnson,Philly,,,,,
1951-1985,1951,,,,2008,,,,,Dennis Irwin,AL,,,,,
1951-1985,1952,,,,now,,,,,John Clayton,CA,,,,,
1951-1985,1952,,,,now,,,,,William Parker,NY,,,,,
1951-1985,1952,,,,now,,,,,Mark Dresser,CA,,,,,
1951-1985,1953,,,,now,,,,,Marc Johnson,NE,,,,,
1951-1985,1955,,,,now,,,,,Nat Reeves,VA,,,,,
1951-1985,1955,,,,now,,,,,Jay Anderson,CA,,,,,
1951-1985,1955,,,,now,,,,,Santi Debriano,Panama,,,,,
1951-1985,1956,,,,now,,,,,Ralph Armstrong,Detroit,,,,,
1951-1985,1957,,,,now,,,,,Mike Boone,Philly,,,,,
1951-1985,1958,,,,now,,,,,Kiyoshi Kitagawa,Japan,,,,,
1951-1985,1958,,,,now,,,,,Gerald Cannon,WI,,,,,
1951-1985,1959,,,,now,,,,,John Patitucci,NY,,,,,
1951-1985,1959,,,,now,,,,,Marcus Miller,NY,,,,,
1951-1985,1959,,,,now,,,,,Drew Gress,NY,,,,,
1951-1985,1960,,,,now,,,,,Steve Baily,SC,,,,,
1951-1985,1960,,,,2016,,,,,Victor Baily,Philly,,,,,
1951-1985,1960,,,,now,,,,,Lonnie Plaxico,Chicago,,,,,
1951-1985,1961,,,,now,,,,,Kenny Davis,UK,,,,,
1951-1985,1962,,,,now,,,,,Ugonna Okegwo,UK,,,,,
1951-1985,1962,,,,now,,,,,Ben Wolfe,MD,,,,,
1951-1985,1963,,,,now,,,,,Scott Colley,CA,,,,,
1951-1985,1963,,,,now,,,,,Reginald Veal,Chicago,,,,,
1951-1985,1964,,,,now,,,,,Victor Wotten,ID,,,,,
1951-1985,1964,,,,now,,,,,Robert Hurst,Detroit,,,,,
1951-1985,1964,,,,now,,,,,Peter Washington,CA,,,,,
1951-1985,1966,,,,now,,,,,James Gebus,VA,,,,,
1951-1985,1966,,,,now,,,,,Larry Grenadier,CA,,,,,
1951-1985,1967,,,,now,,,,,Boris Kozlov,Russia,,,,,
1951-1985,1967,,,,now,,,,,Charnett Moffett,NY,,,,,
1951-1985,1968,,,,now,,,,,Rodney Whitaker,Detroit,,,,,
1951-1985,1970,,,,now,,,,,Avishai Cohen,Isreal,,,,,
1951-1985,1970,,,,now,,,,,Joe Martin,Kansas City,,,,,
1951-1985,1970,,,,now,,,,,Chris Thomas,St. Louis,,,,,
1951-1985,1970,,,,2013,,,,,Dwayne Burno,PA,,,,,
1951-1985,1970,,,,now,,,,,Hans Glawischning,Austria,,,,,
1951-1985,1970,,,,now,,,,,Ben Street,?,,,,,
1951-1985,1971,,,,now,,,,,Omer Avital,Israel,,,,,
1951-1985,1972,,,,now,,,,,Christian McBride,Philly,,,,,
1951-1985,1972,,,,now,,,,,John Hebert,New Orleans,,,,,
1951-1985,1973,,,,now,,,,,Eivind Opsvik,Norway,,,,,
1951-1985,1974,,,,now,,,,,Matt Penman,New Zealand,,,,,
1951-1985,1974,,,,now,,,,,Reuben Rogers,VA,,,,,
1951-1985,1975,,,,now,,,,,Matt Clothsy,Austria,,,,,
1951-1985,1975,,,,now,,,,,Orland Le Fleming,OK,,,,,
1951-1985,1979,,,,now,,,,,Derrick Hodge,PA,,,,,
1951-1985,1979,,,,now,,,,,Carlos Henriquez,NY,,,,,
1951-1985,1980,,,,now,,,,,Miles Mosley,CA,,,,,
1951-1985,1981,,,,now,,,,,Thomas Morgan,CA,,,,,
1951-1985,1981,,,,now,,,,,Dezron Douglas,CT,,,,,
1951-1985,1982,,,,now,,,,,Harish Raghavan,IL,,,,,
1951-1985,1983,,,,now,,,,,Matt Brewer,OK,,,,,
1951-1985,1983,,,,now,,,,,Luques Curtis,CT,,,,,
1951-1985,1984,,,,now,,,,,Esperanza Spalding ,OR,,,,,
1951-1985,1984,,,,now,,,,,Ben Williams,D.C,,,,,
1951-1985,1984,,,,now,,,,,Joe Sanders,WI,,,,,
1951-1985,1984,,,,now,,,,,Linda Oh,Malaysia,,,,,
1951-1985,1985,,,,now,,,,,Corcoran Holt,D.C,,,,,
