Group,Year,Month,Day,End Year,End Month,End Day,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
歴史・時事,1991,,,,,,,ソビエト連邦崩壊,,,,,,
歴史・時事,1990,,,,,,,ドイツ東西統一,,,,,,
歴史・時事,1985,,,,,,,マイクロソフト 初リリース,,,,,,
歴史・時事,1979,,,1989,,,,サッチャー政権,,,,,,
歴史・時事,1978,,,,,,,日中平和友好条約,,,,,,
歴史・時事,1973,,,,,,,第一次石油危機,,,,,,
防災,1959,,,,,,,伊勢湾台風,,,,,,
歴史・時事,1956,,,,,,,日ソ共同宣言,,,,,,
歴史・時事,1951,,,,,,,日米安全保障条約,,,,,,
歴史・時事,1946,,,,,,,日本国憲法,,,,,,
歴史・時事,1945,,,1955,,,,戦後復興期,,,,,,
歴史・時事,1945,,,,,,,国連 発足,,,,,,
歴史・時事,1945,,,1989,,,,冷戦,,,,,,
歴史・時事,1939,,,1945,,,,第二次世界大戦,,,,,,
歴史・時事,1944,,,1945,,,,東京大空襲,,,,,,
歴史・時事,1939,,,,,,,真珠湾攻撃,,,,,,
歴史・時事,1940,,,,,,,日独伊三国同盟,,,,,,
歴史・時事,1936,,,,,,,二・二六事件,,,,,,
歴史・時事,1932,,,1945,,,,満州国,,,,,,
歴史・時事,1932,,,,,,,五・一五事件,,,,,,
歴史・時事,1920,,,,,,,ナチス,,,,,,
歴史・時事,1918,,,1922,,,,シベリア出兵,,,,,,
歴史・時事,1914,,,1918,,,,第一次世界大戦,,,,,,
歴史・時事,1910,,,1929,,,,大正デモクラシー,,,,,,
歴史・時事,1906,,,1945,,,,南満州鉄道株式会社,,,,,,
歴史・時事,1902,,,,,,,日英同盟,,,,,,
歴史・時事,1904,,,1905,,,,日露戦争,,,,,,
歴史・時事,1895,,,,,,,日清戦争,,,,,,
歴史・時事,1895,,,,,,,下関条約,,,,,,
歴史・時事,1881,,,,,,,国会開設,,,,,,
歴史・時事,1877,,,,,,,西南戦争,,,,,,
歴史・時事,1873,,,,,,,第一銀行(第一国立銀行),,,,,,
歴史・時事,1872,,,,,,,富岡製糸場 操業開始,,,,,,
歴史・時事,1854,,,,,,,日米和親条約,,,,,,
歴史・時事,1876,,,,,,,日朝修好条規,,,,,,
国土計画,1996,,,2009,,,,郵政民営化,,,,,,
国土計画,2011,,,,,,,総合特区制度,,,,,,
国土計画,2016,,,,,,,第二次国土形成計画,,,,,,
国土計画,2009,,,,,,,広域地方計画,,,,,,
国土計画,2005,,,,,,,国土形成計画,,,,,,
国土計画,1998,,,,,,,21世紀の国土のグランドデザイン,,,,,,
国土計画,1987,,,,,,,第四次全国総合開発計画,,,,,,
国土計画,1977,,,,,,,第三次全国総合開発計画,,,,,,
国土計画,1976,,,,,,,国土利用計画,,,,,,
国土計画,1962,,,,,,,全国総合開発計画,,,,,,
国土計画,1971,,,,,,,日本列島改造計画論,,,,,,
国土計画,1969,,,,,,,新全国総合開発計画,,,,,,
国土計画,1950,,,,,,,国土総合開発法,,,,,,
防災,2012,,,,,,,福島復興再生特別措置法,,,,,,
防災,2011,,,,,,,東日本大震災,,,,,,
防災,2005,,,,,,,中越沖地震,,,,,,
防災,2004,,,,,,,中越地震,,,,,,
防災,1995,,,,,,,阪神・淡路大震災,,,,,,
防災,1960,,,,,,,チリ大地震,,,,,,
防災,1923,,,,,,,関東大震災,,,,,,
防災,1923,,,,,,,災害復興特別都市計画法,,,,,,
防災,1961,,,,,,,災害対策基本法,,,,,,
防災,1959,,,,,,,伊勢湾台風,,,,,,
防災,1948,,,,,,,福井地震,,,,,,
防災,1964,,,,,,,新潟地震,,,,,,
防災,1968,,,,,,,十勝沖地震,,,,,,
防災,1978,,,,,,,宮城沖地震,,,,,,
文化・スポーツ,1975,,,,,,,文化財保護法改正,,,,,,
文化・スポーツ,1964,,,,,,,東京オリンピック,,,,,,
文化・スポーツ,1981,,,,,,,神戸ポートアイランド博覧会（港湾開発）,,,,,,
文化・スポーツ,1985,,,,,,,国際科学技術博覧会（つくば）,,,,,,
文化・スポーツ,2005,,,,,,,愛知万博,,,,,,
文化・スポーツ,1798,,,,,,,パリで最初の博覧会,,,,,,
文化・スポーツ,1970,,,,,,,大阪万博,,,,,,
文化・スポーツ,1867,,,,,,,パリ万国博覧会,,,,,,
環境,2001,,,,,,,林業キホン法 → 森林・林業基本法,,,,,,
環境,1973,,,,,,,都市緑地保全法,,,,,,
環境,1997,,,,,,,京都議定書,,,,,,
環境,1964,,,,,,,第2水俣病（にいがた）,,,,,,
環境,1964,,,,,,,林業基本法,,,,,,
環境,1993,,,,,,,環境基本法,,,,,,
環境,1848,,,,,,,公衆衛生法,,,,,,
環境,1956,,,,,,,都市公園法,,,,,,
環境,2000,,,,,,,九州・沖縄サミット,,,,,,
環境,1868,,,,,,,明治御法度書,,,,,,
環境,1967,,,,,,,公害対策基本法,,,,,,
環境,1992,,,,,,,UNCED 地球サミットリオ宣言,,,,,,
環境,2009,,,,,,,太陽光発電売電制度開始,,,,,,
環境,1872,,,,,,,世界最初の国立公園 アメリカが選定（イエローストーン）,,,,,,
環境,1974,,,,,,,生産緑地法,,,,,,
環境,1992,,,,,,,気候変動枠組条約,,,,,,
環境,1980,,,,,,,ラムサール条約,,,,,,
環境,1872,,,,,,,新宿御苑設置,,,,,,
環境,1983,,,,,,,HOPE計画,,,,,,
環境,1997,,,,,,,環境影響計画法,,,,,,
環境,1903,,,,,,,日比谷公園,,,,,,
環境,1987,,,,,,,総合保養地域整備法（リゾート法）,,,,,,
環境,2009,,,,,,,北浜テラス,,,,,,
環境,1910,,,1970,,,,イタイイタイ病,,,,,,
環境,1972,,,,,,,国連人間環境会議（ストックホルム会議）,,,,,,
環境,2001,,,,,,,有馬富士公園開設,,,,,,
環境,1968,,,,,,,大気汚染防止法,,,,,,
環境,1994,,,,,,,気候変動枠組条約,,,,,,
環境,2015,,,,,,,パリ協定,,,,,,
環境,2017,,,,,,,都市公園法改正,,,,,,
経済,1974,,,,,,,大規模小売店舗法,,,,,,
経済,2001,,,,,,,省庁再編,,,,,,
経済,1989,,,,,,,消費税導入,,,,,,
経済,1947,,,,,,,関税及び貿易に関する一せ船協定（GATT協定）,,,,,,
経済,2008,,,,,,,リーマンショック,,,,,,
経済,1930,,,1939,,,,ニューデール政策,,,,,,
経済,1930,,,,,,,金本位制,,,,,,
経済,1985,,,,,,,プラダ合意,,,,,,
経済,1949,,,,,,,シャウプ勧告,,,,,,
経済,1973,,,1986,,,,安定成長期,,,,,,
経済,1980,,,,,,,BID＠NewYorkブライアントパーク,,,,,,
経済,1964,,,,,,,工業整備特別地域促進法,,,,,,
経済,1994,,,,,,,GATT改正,,,,,,
経済,2016,,,,,,,伊勢志摩サミット,,,,,,
経済,1953,,,,,,,離島振興法,,,,,,
経済,2000,,,,,,,大規模小売店舗立地法,,,,,,
経済,1962,,,,,,,新産業都市建設促進法,,,,,,
経済,1968,,,,,,,「コモンズの悲劇」,,,,,,
経済,1929,,,,,,,書和恐慌,,,,,,
経済,2014,,,,,,,消費税法,,,,,,
経済,1974,,,,,,,大規模小売店舗法（大店法）,,,,,,
経済,1960,,,,,,,国民所得倍増計画,,,,,,
経済,2006,,,,,,,市場化テスト法,,,,,,
経済,1999,,,,,,,地方分離一括法（改正）,,,,,,
経済,1955,,,1973,,,,高度成長期,,,,,,
経済,2002,,,2006,,,,三位一体の改革,,,,,,
経済,2005,,,,,,,平成の大合併,,,,,,
経済,2016,,,,,,,働き方改革,,,,,,
経済,1949,,,,,,,東京証券取引所,,,,,,
経済,1990,,,now,,,,MICE,,,,,,
経済,1993,,,,,,,バブル崩壊,,,,,,
経済,1980,,,,,,,財政再建元年,,,,,,
経済,2016,,,,,,,TPP離脱（アメリカ）,,,,,,
その他,1930,,,1939,,,,リゼシズム,,,,,,
その他,2001,,,,,,,情報公開法,,,,,,
その他,1972,,,,,,,「ラスベガス」ポストモダンの提唱,,,,,,
その他,1942,,,,,,,ゆりかごから墓場まで,,,,,,
その他,1922,,,1943,,,,ファシズム（ドイツ）,,,,,,
その他,1986,,,,,,,民活法,,,,,,
その他,2001,,,,,,,「定年ゴジラ」,,,,,,
その他,1960,,,1972,,,,四日市ぜんそく,,,,,,
その他,2014,,,,,,,ミレニアル世代（’81～’96年生まれ）,,,,,,
その他,1973,,,,,,,休日・祝日が定められる,,,,,,
その他,1919,,,,,,,ヴェルサイユ条約（パリ講和会議）,,,,,,
その他,1938,,,,,,,国家総動員法,,,,,,
その他,1996,,,,,,,マティ生まれる,,,,,,
その他,1994,,,,,,,フードマイレージ,,,,,,
その他,2000,,,2004,,,,都市研誕生,,,,,,
その他,2013,,,,,,,Hallet Cae School (Aya Watanabe),,,,,,
その他,1945,,,,,,,ポツダム宣言,,,,,,
その他,1872,,,,,,,学制発布,,,,,,
その他,1985,,,,,,,電電公社→NTT,,,,,,
その他,2005,,,,,,,人口減少,,,,,,
都市デザイン,1962,,,,,,,千里ニュータウン,,,,,,
都市デザイン,1971,,,,,,,多摩ニュータウン,,,,,,
都市デザイン,2003,,,,,,,指定管理者制度,,,,,,
都市デザイン,1943,,,,,,,東京防空空地および空地帯計画,,,,,,
都市デザイン,1968,,,,,,,高蔵寺ニュータウン,,,,,,
都市デザイン,1981,,,,,,,三田ニュータウン,,,,,,
都市デザイン,1998,,,,,,,SPC法,,,,,,
都市デザイン,1981,,,,,,,人工島ポートアイランド,,,,,,
都市デザイン,1988,,,,,,,六甲アイランド街開き,,,,,,
都市デザイン,1998,,,,,,,中心市街地活性化法,,,,,,
都市デザイン,1999,,,,,,,PFI法,,,,,,
都市デザイン,1990,,,1999,,,,テーマパーク型の都市開発,,,,,,
都市デザイン,2001,,,,,,,都市再生本部,,,,,,
都市デザイン,1998,,,,,,,TMO（Town Management Organization）,,,,,,
都市デザイン,2006,,,,,,,まちづくり三法改正,,,,,,
都市デザイン,2015,,,,,,,大阪城公園パークマネジメント運営実施,,,,,,
都市デザイン,2003,,,,,,,地域再生法,,,,,,
都市デザイン,2004,,,2010,,,,まちづくり交付金,,,,,,
都市デザイン,2002,,,,,,,都市再生特別措置法,,,,,,
都市デザイン,2015,,,,,,,URBAN PICNIC（神戸）,,,,,,
都市デザイン,2011,,,,,,,リノベーションスクール開始,,,,,,
都市デザイン,2012,,,,,,,コンセッション方式,,,,,,
都市デザイン,1998,,,,,,,NPO法,,,,,,
都市デザイン,2015,,,,,,,てんしばオープン,,,,,,
都市デザイン,2002,,,,,,,構造改革特別区域法,,,,,,
都市デザイン,1980,,,,,,,農住組合法,,,,,,
住宅,1955,,,,,,,日本住宅公団を設立,,,,,,
住宅,1960,,,,,,,住宅地区改良法,,,,,,
住宅,1990,,,,,,,住宅基本計画,,,,,,
住宅,1991,,,,,,,借地法・借家法改正➝定期借地制度,,,,,,
住宅,1851,,,,,,,住民法（シャフツベリー法）,,,,,,
住宅,1919,,,,,,,市街地建築物法,,,,,,
住宅,1919,,,,,,,公営住宅建設開始,,,,,,
住宅,1955,,,,,,,日本住宅公団,,,,,,
住宅,1950,,,,,,,住宅金融公庫法,,,,,,
住宅,1927,,,,,,,不良住宅地区改正法,,,,,,
住宅,1941,,,,,,,住宅営団法,,,,,,
住宅,1960,,,,,,,住宅地区改良法,,,,,,
住宅,1954,,,,,,,宅地造成融資,,,,,,
住宅,1966,,,,,,,住宅建設計画法,,,,,,
住宅,1921,,,,,,,住宅組合法,,,,,,
住宅,1921,,,,,,,借地法,,,,,,
住宅,1921,,,,,,,借家法,,,,,,
住宅,1950,,,,,,,住宅金融公庫,,,,,,
住宅,1963,,,,,,,新住宅市街地開発法,,,,,,
住宅,2004,,,,,,,住宅市街地総合整備法事業,,,,,,
住宅,1951,,,,,,,公営住宅法,,,,,,
住宅,1954,,,,,,,基礎主要構造部貸付制度,,,,,,
住宅,1995,,,now,,,,コレクティブハウジング,,,,,,
住宅,1992,,,,,,,誘導容積制度,,,,,,
住宅,1995,,,,,,,不動産特定共同事業法,,,,,,
住宅,2017,,,,,,,住宅宿泊事業法,,,,,,
住宅,1993,,,,,,,特定優良賃貸住宅法,,,,,,
観光,1872,,,,,,,赤坂離宮設置,,,,,,
観光,1872,,,,,,,神社仏閣女人入り可能に。,,,,,,
観光,1887,,,,,,,帝国ホテル創立,,,,,,
観光,1949,,,,,,,通訳案内士法,,,,,,
観光,1949,,,,,,,国際観光ホテル整備法,,,,,,
観光,1952,,,,,,,旅行業法,,,,,,
観光,1963,,,,,,,旧観光基本法,,,,,,
観光,1973,,,,,,,観光施設財団低当法,,,,,,
観光,1983,,,,,,,東京ディズニーリゾート開園,,,,,,
観光,2002,,,,,,,独立行政法人国際観光振興機構法,,,,,,
観光,2002,,,,,,,沖縄振興特別措置法,,,,,,
観光,2005,,,2013,,,,「魅力ある日本のおみやげコンテスト」,,,,,,
観光,2006,,,,,,,観光立国推進基本法,,,,,,
観光,2007,,,,,,,エコツーリズム推進法,,,,,,
観光,2008,,,,,,,観光庁発足,,,,,,
観光,2008,,,,,,,観光圏整備法,,,,,,
観光,2010,,,,,,,観光ＩＣＴ化促進プログラム,,,,,,
観光,2012,,,,,,,観光立国推進基本計画,,,,,,
観光,2013,,,,,,,観光立国推進閣僚会議,,,,,,
観光,2016,,,,,,,「明日の日本を支える観光策定ビジョン構想会議」,,,,,,
観光,2018,,,,,,,2020オリンピック・パラリンピックに向けたインバウンド観光促進のためのオールジャパンの対外発信強化,,,,,,
建築史・建築物,1872,,,,,,,東京国立博物館創設,,,,,,
建築史・建築物,1909,,,,,,,東宮御所として迎賓館赤坂離宮創立,,,,,,
建築史・建築物,1931,,,,,,,サヴォア邸,,,,,,
建築史・建築物,1936,,,,,,,国会議事堂竣工,,,,,,
建築史・建築物,1950,,,,,,,建築基準法,,,,,,
建築史・建築物,1952,,,,,,,東京国立近代美術館,,,,,,
建築史・建築物,1956,,,,,,,プルーイット・アイゴー,,,,,,
建築史・建築物,1957,,,,,,,中高層耐火建築物融資制度,,,,,,
建築史・建築物,1958,,,,,,,東京タワー創立,,,,,,
建築史・建築物,1994,,,2006,,,,ハートビル法,,,,,,
建築史・建築物,2005,,,,,,,ユニバーサルデザイン政策大綱,,,,,,
建築史・建築物,2005,,,,,,,京都迎賓館創立,,,,,,
建築史・建築物,2005,,,,,,,ヒューザー事件姉歯耐震偽装,,,,,,
建築史・建築物,2006,,,,,,,バリアフリー法,,,,,,
建築史・建築物,2012,,,,,,,東京スカイツリー開業,,,,,,
建築史・建築物,2013,,,,,,,グランフロント大阪(ＢＩＤ大阪版),,,,,,
建築史・建築物,2013,,,,,,,建材マイレージ・ウッドマイレージ,,,,,,
建築史・建築物,2014,,,,,,,阿倍野ハルカス,,,,,,
景観,1910,,,now,,,,都市景観の用語・概念が日本にもたらされる,,,,,,
景観,1911,,,,,,,広告物取締法,,,,,,
景観,1925,,,,,,,Landscraft(独),,,,,,
景観,1935,,,,,,,『風土』和辻哲郎,,,,,,
景観,1939,,,,,,,東京緑地計画,,,,,,
景観,1972,,,,,,,京都市市街地景観条例,,,,,,
景観,1975,,,,,,,伝統的建造物群の選定開始,,,,,,
景観,1975,,,,,,,伝統的建造物群保存地区制度の創設,,,,,,
景観,1981,,,,,,,「うるおいのあるまちづくりのための基本的考え方」,,,,,,
景観,1982,,,,,,,神戸市都市景観形成基本計画,,,,,,
景観,1984,,,,,,,シンボルロード整備事業,,,,,,
景観,1987,,,,,,,都市景観形成モデル都市制度,,,,,,
景観,1990,,,,,,,うるおい・緑・景観モデルまちづくり,,,,,,
景観,1993,,,,,,,街なみ環境整備事業,,,,,,
景観,2003,,,,,,,美しい国造り政策大綱,,,,,,
景観,2004,,,,,,,都市緑地法,,,,,,
景観,2004,,,,,,,景観法創設「景観緑三法」,,,,,,
景観,2005,,,,,,,景観緑三法,,,,,,
景観,2005,,,,,,,景観法施行,,,,,,
景観,2008,,,,,,,歴史まちづくり法,,,,,,
景観,2009,,,,,,,水都大阪,,,,,,
交通,1942,,,,,,,関門トンネル,,,,,,
交通,1956,,,,,,,日本道路公団,,,,,,
交通,1958,,,,,,,国道2号線開通,,,,,,
交通,1962,,,,,,,首都高速道路開通,,,,,,
交通,1964,,,,,,,東海道新幹線開業,,,,,,
交通,1966,,,,,,,東京高速道路開通,,,,,,
交通,1967,,,,,,,パーソントリップ調査,,,,,,
交通,1972,,,,,,,都市モノレールの整備の促進に関する法律,,,,,,
交通,1975,,,,,,,新関門トンネル,,,,,,
交通,1979,,,2006,,,,しまなみ海道,,,,,,
交通,1987,,,,,,,国鉄→ＪＲ,,,,,,
交通,1988,,,,,,,青函トンネル,,,,,,
交通,1988,,,,,,,瀬戸大橋開通,,,,,,
交通,1998,,,,,,,明石海峡大橋,,,,,,
交通,1999,,,,,,,国土交通省設置法,,,,,,
交通,2000,,,2006,,,,交通バリアフリー法,,,,,,
交通,2001,,,,,,,国土交通省誕生,,,,,,
交通,2006,,,,,,,富山ライトレール開通,,,,,,
交通,2016,,,,,,,北陸新幹線運転開始,,,,,,
