Group,Title,Year,Month,Day,Time,Detail,last,End Year,End Month,End Day,End Time,Display Date,URL,Image URL,Image Credit,Type,Head
SFC,ドラゴンクエストI・II,1993,12,18,,保持,end,,,,,,,,,,
SFC,がんばれゴエモン2 奇天烈将軍マッギネス,1993,12,22,,,end,,,,,,,,,,
SFC,ファイアーエムブレム 紋章の謎,1994,1,21,,,,,,,,,,,,,
SFC,マッスルボマー THE BODY EXPLOSION,1994,3,10,,,,,,,,,,,,,
SFC,きんぎょ注意報!とびだせ!ゲーム学園,1994,3,18,,,end,,,,,,,,,,
SFC,スーパーメトロイド,1994,3,19,,,,,,,,,,,,,
SFC,剣勇伝説YAIBA,1994,3,25,,,end,,,,,,,,,,
SFC,スーパーロボット大戦EX,1994,3,25,,保持,end,,,,,,,,,,
SFC,ファイナルファンタジーVI,1994,4,2,,,,,,,,,,,,,
SFC,新・熱血硬派くにおたちの挽歌,1994,4,29,,,,,,,,,,,,,
SFC,SDガンダムGX,1994,5,27,,保持,end,,,,,,,,,,
SFC,スーパーフォーメーションサッカー94 ワールドカップエディション,1994,6,17,,保持,end,,,,,,,,,,
SFC,スーパーストリートファイターII The New Challengers,1994,6,25,,保持,end,,,,,,,,,,
SFC,餓狼伝説SPECIAL,1994,7,29,,,,,,,,,,,,,
SFC,カービィボウル,1994,9,21,,,end,,,,,,,,,,
SFC,ドラゴンボールZ 超武闘伝3,1994,9,29,,,end,,,,,,,,,,
SFC,U.F.O.仮面ヤキソバン ケトラーの黒い陰謀,1994,10,14,,,,,,,,,,,,,
SFC,真・女神転生if...,1994,10,28,,,,,,,,,,,,,
SFC,ミリティア,1994,11,18,,,,,,,,,,,,,
SFC,極上パロディウス,1994,11,25,,,,,,,,,,,,,
SFC,スーパードンキーコング,1994,11,26,,,end,,,,,,,,,,
PS,リッジレーサー,1994,12,3,,,,,,,,,,,,,
SFC,スーパー桃太郎電鉄III,1994,12,9,,,end,,,,,,,,,,
SFC,ワンダープロジェクトJ 機械の少年ピーノ,1994,12,9,,,,,,,,,,,,,
SFC,キャプテン翼V 覇者の称号カンピオーネ,1994,12,9,,,end,,,,,,,,,,
NGCD,真SAMURAI SPIRITS 覇王丸地獄変,1994,12,15,,,,,,,,,,,,,
SFC,がんばれゴエモン3 獅子重禄兵衛のからくり卍固め,1994,12,16,,,end,,,,,,,,,,
SFC,ロックマンX2,1994,12,16,,,end,,,,,,,,,,
SFC,蒼き伝説シュート!,1994,12,16,,,end,,,,,,,,,,
SFC,覇王大系リューナイト ロードオブパラディン,1994,12,22,,,,,,,,,,,,,
SFC,幽☆遊☆白書 特別篇,1994,12,22,,保持,end,,,,,,,,,,
SFC,海腹川背,1994,12,23,,,,,,,,,,,,,
SFC,機動武闘伝Gガンダム,1994,12,27,,,end,,,,,,,,,,
PS,闘神伝,1995,1,1,,,end,,,,,,,,,,
PS,雷電プロジェクト,1995,1,27,,,,,,,,,,,,,
SS,パンツァードラグーン,1995,3,10,,,,,,,,,,,,,
SFC,クロノ・トリガー,1995,3,11,,,end,,,,,,,,,,
SFC,第4次スーパーロボット大戦,1995,3,17,,保持,end,,,,,,,,,,
SFC,幽☆遊☆白書FINAL 魔界最強列伝,1995,3,24,,,,,,,,,,,,,
SFC,RPGツクール SUPER DANTE,1995,3,31,,,,,,,,,,,,,
PS,鉄拳,1995,3,31,,,,,,,,,,,,,
SFC,スーパーボンバーマン3,1995,4,28,,,,,,,,,,,,,
NGCD,餓狼伝説3 〜遥かなる闘い〜,1995,4,28,,,,,,,,,,,,,
SFC,す〜ぱ〜なぞぷよ ルルーのルー,1995,5,26,,保持,,,,,,,,,,,
PS,機動戦士ガンダム,1995,6,23,,保持,end,,,,,,,,,,
GB,第2次スーパーロボット大戦G,1995,6,30,,,,,,,,,,,,,
PS,エースコンバット,1995,6,30,,,,,,,,,,,,,
PS,アークザラッド,1995,6,30,,,,,,,,,,,,,
SS,バーチャファイターリミックス,1995,7,14,,,,,,,,,,,,,
PS,実況パワフルプロ野球'95開幕版,1995,7,14,,,,,,,,,,,,,
PS,Jリーグ 実況ウイニングイレブン,1995,7,21,,,,,,,,,,,,,
SFC,スーパーマリオ ヨッシーアイランド,1995,8,5,,,,,,,,,,,,,
PS,ストリートファイター リアルバトル オン フィルム,1995,8,11,,,,,,,,,,,,,
SFC,バトルロボット烈伝,1995,9,11,,保持,end,,,,,,,,,,
SFC,聖剣伝説3,1995,9,30,,,,,,,,,,,,,
SFC,タクティクスオウガ,1995,10,6,,,,,,,,,,,,,
PS,ときめきメモリアル〜forever with you〜,1995,10,13,,,,,,,,,,,,,
SFC,天地創造,1995,10,20,,,end,,,,,,,,,,
SFC,パネルでポン,1995,10,27,,,,,,,,,,,,,
SFC,ロマンシング サ・ガ3,1995,11,11,,,,,,,,,,,,,
SFC,スーパードンキーコング2 ディクシー&ディディー,1995,11,21,,,end,,,,,,,,,,
PS,ナムコミュージアム VOL.1,1995,11,22,,,,,,,,,,,,,
SFC,ロックマンX3,1995,12,1,,,,,,,,,,,,,
SS,バーチャファイター2,1995,12,1,,,,,,,,,,,,,
SFC,スーパー桃太郎電鉄DX,1995,12,8,,保持,end,,,,,,,,,,
SFC,す〜ぱ〜ぷよぷよ通,1995,12,8,,,end,,,,,,,,,,
SFC,ドラゴンクエストVI 幻の大地,1995,12,9,,,end,,,,,,,,,,
SFC,テイルズ オブ ファンタジア,1995,12,15,,,,,,,,,,,,,
PS,幻想水滸伝,1995,12,15,,,,,,,,,,,,,
SFC,SDガンダムGNEXT,1995,12,22,,,end,,,,,,,,,,
SFC,がんばれゴエモン きらきら道中〜僕がダンサーになった理由〜,1995,12,22,,,,,,,,,,,,,
SS,機動戦士ガンダム,1995,12,22,,,,,,,,,,,,,
PS,ストリートファイターZERO,1995,12,22,,,end,,,,,,,,,,
PS,闘神伝2,1995,12,29,,,,,,,,,,,,,
PS,第4次スーパーロボット大戦S,1996,1,26,,,,,,,,,,,,,
SS,ヴァンパイアハンター ,1996,2,23,,,,,,,,,,,,,
SFC,実況パワフルプロ野球3,1996,2,29,,,,,,,,,,,,,
SFC,ダービースタリオン96,1996,3,15,,,,,,,,,,,,,
PS,ワールドサッカー ウイニングイレブン,1996,3,15,,,end,,,,,,,,,,
SFC,星のカービィ スーパーデラックス,1996,3,21,,保持,end,,,,,,,,,,
SFC,スーパーロボット大戦外伝 魔装機神 THE LORD OF ELEMENTAL,1996,3,22,,,end,,,,,,,,,,
PS,天地を喰らう2 赤壁の戦い,1996,3,22,,保持,end,,,,,,,,,,
PS,バイオハザード,1996,3,22,,,,,,,,,,,,,
PS,チョロQ,1996,3,22,,,,,,,,,,,,,
PS,機動戦士ガンダムVer.2,1996,3,29,,,end,,,,,,,,,,
PS,あすか120%スペシャルBURNING Fest,1996,3,29,,,,,,,,,,,,,
PS,ロックマンX3,1996,4,26,,,,,,,,,,,,,
PS,キャプテン翼J ゲットインザトゥモロゥ,1996,5,3,,,,,,,,,,,,,
PS,ドラゴンボールZ 偉大なるドラゴンボール伝説,1996,5,31,,,end,,,,,,,,,,
N64,スーパーマリオ64,1996,6,23,,,,,,,,,,,,,
PS,ザ・キング・オブ・ファイターズ'95,1996,6,28,,,end,,,,,,,,,,
PS,ハイパーオリンピック イン アトランタ,1996,6,28,,,,,,,,,,,,,
SS,NiGHTS（ナイツ）,1996,7,5,,,,,,,,,,,,,
PS,ポポロクロイス物語,1996,7,12,,,,,,,,,,,,,
SS,サターンボンバーマン,1996,7,19,,,,,,,,,,,,,
PS,トバルNo.1,1996,8,2,,,,,,,,,,,,,
SS,デスクリムゾン,1996,8,9,,,,,,,,,,,,,
PS,ストリートファイターZERO2,1996,8,9,,,end,,,,,,,,,,
SS,ファイティングバイパーズ ,1996,8,30,,,,,,,,,,,,,
PS,スマッシュコート,1996,9,6,,保持,end,,,,,,,,,,
SS,機動戦士ガンダム外伝I 戦慄のブルー,1996,9,20,,,end,,,,,,,,,,
PS,女神異聞録ペルソナ,1996,9,20,,,,,,,,,,,,,
N64,ウェーブレース64,1996,9,27,,,,,,,,,,,,,
SS,サクラ大戦,1996,9,27,,,,,,,,,,,,,
PS,サイキックフォース,1996,10,4,,,end,,,,,,,,,,
PS,スターグラディエイター,1996,10,25,,保持,end,,,,,,,,,,
PS,アークザラッドII,1996,11,1,,,,,,,,,,,,,
PS,ぷよぷよ通 決定盤,1996,11,15,,,,,,,,,,,,,
SS,電脳戦機バーチャロン,1996,11,29,,,,,,,,,,,,,
PS,るろうに剣心 -明治剣客浪漫譚- 維新激闘編,1996,11,29,,,,,,,,,,,,,
SFC,ドラゴンクエストIII そして伝説へ…,1996,12,6,,保持,end,,,,,,,,,,
SS,機動戦士ガンダム外伝II 蒼を受け継ぐ者 ,1996,12,6,,,end,,,,,,,,,,
PS,パラッパラッパー,1996,12,6,,,,,,,,,,,,,
PS,クロックタワー2,1996,12,13,,,,,,,,,,,,,
N64,マリオカート64,1996,12,14,,,,,,,,,,,,,
SFC,ミニ四駆 シャイニングスコーピオン レッツ＆ゴー!!,1996,12,20,,保持,,,,,,,,,,,
PS,ソウルエッジ,1996,12,20,,,,,,,,,,,,,
PS,ワイルドアームズ,1996,12,20,,,,,,,,,,,,,
PS,新スーパーロボット大戦,1996,12,27,,保持,,,,,,,,,,,
PS,リアルバウト餓狼伝説,1997,1,10,,,,,,,,,,,,,
PS,レイストーム,1997,1,10,,,,,,,,,,,,,
SS,ダイナマイト刑事,1997,1,24,,,end,,,,,,,,,,
PS,プリンセスメーカー 夢みる妖精,1997,1,24,,,,,,,,,,,,,
PS,I.Q インテリジェントキューブ,1997,1,31,,,,,,,,,,,,,
PS,ファイナルファンタジーVII,1997,1,31,,保持,end,,,,,,,,,,
SS,ぷよぷよSUN,1997,2,14,,,end,,,,,,,,,,
PS,チョロQ2,1997,2,21,,,,,,,,,,,,,
PS,海腹川背・旬,1997,2,28,,,,,,,,,,,,,
N64,実況パワフルプロ野球4,1997,3,13,,,,,,,,,,,,,
PS,SDガンダム GCENTURY,1997,3,20,,,,,,,,,,,,,
PS,悪魔城ドラキュラX 月下の夜想曲,1997,3,20,,,,,,,,,,,,,
SS,サイバーボッツ,1997,3,28,,,,,,,,,,,,,
SS,メタルスラッグ,1997,4,4,,,end,,,,,,,,,,
PS,アランドラ,1997,4,11,,,,,,,,,,,,,
PS,トバル2,1997,4,25,,,,,,,,,,,,,
N64,スターフォックス64,1997,4,27,,,,,,,,,,,,,
SS,機動戦艦ナデシコ〜やっぱり最後は「愛が勝つ」?〜,1997,5,2,,,,,,,,,,,,,
PS,マリーのアトリエ ザールブルグの錬金術士,1997,5,23,,,,,,,,,,,,,
PS,エースコンバット2,1997,5,30,,,,,,,,,,,,,
PS,ファイナルファンタジータクティクス,1997,6,20,,,end,,,,,,,,,,
PS,ガンダム・ザ・バトルマスター,1997,6,20,,保持,end,,,,,,,,,,
N64,ゆけゆけ!!トラブルメーカーズ,1997,6,27,,,,,,,,,,,,,
PS,ザ・キング・オブ・ファイターズ'96,1997,7,4,,,end,,,,,,,,,,
PS,アーマードコア,1997,7,10,,,,,,,,,,,,,
PS,サガ フロンティア,1997,7,11,,,,,,,,,,,,,
PS,みんなのGOLF,1997,7,17,,,,,,,,,,,,,
PS,雷弩機兵ガイブレイブ,1997,7,17,,,,,,,,,,,,,
PS,モンスターファーム,1997,7,24,,,,,,,,,,,,,
SS,スレイヤーズろいやる,1997,7,25,,,end,,,,,,,,,,
PS,スペースインベーダー,1997,7,31,,,,,,,,,,,,,
SS,ラングリッサー IV,1997,8,1,,,,,,,,,,,,,
N64,ゴールデンアイ 007,1997,8,23,,,,,,,,,,,,,
PS,ブレス オブ ファイアIII,1997,9,11,,,,,,,,,,,,,
N64,爆ボンバーマン,1997,9,26,,,end,,,,,,,,,,
SS,デッド オア アライブ,1997,10,9,,,,,,,,,,,,,
PS,スペクトラルフォース,1997,10,9,,保持,end,,,,,,,,,,
PS,カルコロ!おちものシューティング,1997,11,6,,,,,,,,,,,,,
SS,X-MEN VS. STREET FIGHTER,1997,11,27,,,end,,,,,,,,,,
PS,ぷよぷよSUN 決定盤,1997,11,27,,,,,,,,,,,,,
PS,RPGツクール3,1997,11,27,,,,,,,,,,,,,
GB,メダロット カブトバージョン,1997,11,28,,,,,,,,,,,,,
SS,プリンセスクラウン,1997,12,11,,,,,,,,,,,,,
PS,風のクロノア door to phantomile,1997,12,11,,,,,,,,,,,,,
PS,ロックマンDASH 鋼の冒険心,1997,12,12,,,,,,,,,,,,,
PS,るろうに剣心 -明治剣客浪漫譚- 十勇士陰謀編,1997,12,18,,保持,end,,,,,,,,,,
PS,グランツーリスモ,1997,12,23,,,end,,,,,,,,,,
PS,テイルズ オブ デスティニー,1997,12,23,,,end,,,,,,,,,,
PS,サムライスピリッツ天草降臨スペシャル,1997,12,25,,,end,,,,,,,,,,
PS,大運動会オルタナティヴ,1998,1,15,,,,,,,,,,,,,
PS,バストアムーブ,1998,1,29,,,,,,,,,,,,,
PS,ゼノギアス,1998,2,11,,,,,,,,,,,,,
PS,チョロQ3,1998,2,19,,,,,,,,,,,,,
SS,Piaキャロットへようこそ!!,1998,3,12,,,,,,,,,,,,,
PS,デッド オア アライブ,1998,3,12,,,,,,,,,,,,,
PS,ガンダム・ザ・バトルマスター2,1998,3,12,,保持,end,,,,,,,,,,
PS,ブシドーブレード弐,1998,3,12,,,,,,,,,,,,,
SS,新世紀エヴァンゲリオン 鋼鉄のガールフレンド,1998,3,26,,,,,,,,,,,,,
PS,悠久幻想曲 2nd Album,1998,3,26,,,,,,,,,,,,,
PS,パラサイト・イヴ,1998,3,29,,,end,,,,,,,,,,
SS,サクラ大戦2 〜君、死にたもうことなかれ〜,1998,4,4,,,,,,,,,,,,,
SS,ヴァンパイアセイヴァー,1998,4,16,,,end,,,,,,,,,,
PS,テイルコンチェルト,1998,4,16,,,end,,,,,,,,,,
PS,ワールドサッカー実況ウイニングイレブン3 ワールドカップ フランス'98,1998,5,28,,,,,,,,,,,,,
PS,ポケットファイター,1998,6,11,,,,,,,,,,,,,
PS,XI,1998,6,18,,,,,,,,,,,,,
PS,ダブルキャスト,1998,6,25,,,end,,,,,,,,,,
PS,季節を抱きしめて,1998,7,23,,,end,,,,,,,,,,
PS,実況パワフルプロ野球'98開幕版,1998,7,23,,保持,,,,,,,,,,,
PS,影牢 〜刻命館 真章〜,1998,7,23,,,,,,,,,,,,,
PS,スターオーシャン セカンドストーリー,1998,7,30,,保持,end,,,,,,,,,,
PS,私立ジャスティス学園 LEGION OF HEROES,1998,7,30,,,,,,,,,,,,,
PS,メタルギアソリッド,1998,9,3,,保持,end,,,,,,,,,,
PS,御神楽少女探偵団,1998,9,17,,,,,,,,,,,,,
SS,機動戦艦ナデシコ The blank of 3years,1998,9,23,,,,,,,,,,,,,
PS,デストレーガ ,1998,9,23,,,,,,,,,,,,,
PS,いただきストリート ゴージャスキング,1998,9,23,,,,,,,,,,,,,
PS,ビートマニア,1998,10,1,,,,,,,,,,,,,
PS,スペクトラルフォース2,1998,10,15,,保持,end,,,,,,,,,,
SS,マーヴル・スーパーヒーローズ VS. ストリートファイター,1998,10,22,,,end,,,,,,,,,,
PS,レガイア伝説,1998,10,29,,,,,,,,,,,,,
PS,ドカポン!怒りの鉄剣,1998,11,5,,,,,,,,,,,,,
PS,スマッシュコート2,1998,11,12,,,,,,,,,,,,,
N64,バンジョーとカズーイの大冒険,1998,12,6,,,end,,,,,,,,,,
PS,機動戦士ガンダム 逆襲のシャア,1998,12,17,,保持,end,,,,,,,,,,
PS,マール王国の人形姫,1998,12,17,,,,,,,,,,,,,
PS,サウザンドアームズ,1998,12,17,,,,,,,,,,,,,
PS,新世代ロボット戦記ブレイブサーガ,1998,12,17,,保持,end,,,,,,,,,,
PS,クラッシュ・バンディクー3 ブッとび!世界一周,1998,12,17,,,,,,,,,,,,,
PS,エアガイツ,1998,12,17,,,,,,,,,,,,,
PS,テイルズ オブ ファンタジア,1998,12,23,,,end,,,,,,,,,,
PS,ストリートファイターZERO3,1998,12,23,,保持,end,,,,,,,,,,
N64,ニンテンドウオールスター!大乱闘スマッシュブラザーズ,1999,1,21,,,,,,,,,,,,,
PS,ブラッディロア2,1999,1,28,,,,,,,,,,,,,
PS,ファイナルファンタジーVIII,1999,2,11,,,,,,,,,,,,,
DC,パワーストーン,1999,2,25,,,,,,,,,,,,,
PS,ポップンミュージック,1999,2,25,,,,,,,,,,,,,
WS,GUNPEY,1999,3,4,,,,,,,,,,,,,
PS,火魅子伝 〜恋解〜,1999,3,11,,,,,,,,,,,,,
DC,ぷよぷよ〜ん,1999,3,14,,保持,end,,,,,,,,,,
DC,北へ。 White Illumination,1999,3,18,,,,,,,,,,,,,
PS,ウンジャマ・ラミー,1999,3,18,,,,,,,,,,,,,
PS,チョコボレーシング 〜幻界へのロード〜,1999,3,18,,,,,,,,,,,,,
N64,ポケモンスナップ,1999,3,21,,,,,,,,,,,,,
DC,ザ・ハウス・オブ・ザ・デッド2,1999,3,25,,,,,,,,,,,,,
PS,To Heart,1999,3,25,,,end,,,,,,,,,,
PS,輝く季節へ,1999,4,1,,,,,,,,,,,,,
PS,Dance Dance Revolution,1999,4,10,,,,,,,,,,,,,
PS,コットン・オリジナル,1999,4,28,,,,,,,,,,,,,
PS,カルドセプト エキスパンション,1999,5,1,,,,,,,,,,,,,
DC,ダイナマイト刑事2,1999,5,27,,,,,,,,,,,,,
PS,スーパーロボット大戦コンプリートボックス,1999,6,10,,保持,end,,,,,,,,,,
PS,俺の屍を越えてゆけ,1999,6,17,,,,,,,,,,,,,
PS,パカパカパッション,1999,6,24,,,,,,,,,,,,,
PS,私立ジャスティス学園熱血青春日記2,1999,6,24,,,end,,,,,,,,,,
PS,ペルソナ2 罪,1999,6,24,,,,,,,,,,,,,
PS,ディノクライシス,1999,7,1,,,,,,,,,,,,,
PS,スレイヤーズ ろいやる2,1999,7,1,,,,,,,,,,,,,
PS,ギターフリークス,1999,7,29,,,,,,,,,,,,,
DC,ソウルキャリバー,1999,8,5,,,,,,,,,,,,,
PS,リアルロボット戦線,1999,8,12,,保持,end,,,,,,,,,,
DC,機動戦艦ナデシコ NADESICO THE MISSION,1999,8,26,,,,,,,,,,,,,
