Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL
出来事,1945,8,20,,,,,,,灯火管制解除 信書及び電信･電話の検閲即時停止を指令,,,
出来事,1945,8,23,,,,,,,陸軍復員開始,,,
出来事,1945,8,26,,,,,,,大東亜省・軍需省・農商省を廃止 商工省・農林省を設置,,,
出来事,1945,8,,,,,,,,終戦連絡事務局を設置,,,
出来事,1945,8,30,,,,,,,マッカーサー、厚木に降り立つ,,,
出来事,1945,9,1,,,,,,,臨時議会開会,,,
出来事,1945,9,2,,,,,,,ミズーリ艦上で降伏文書調印,,,
出来事,1945,9,,,,,,,,GHQ、陸海軍解体・軍需工場停止を命令,,,
出来事,1945,9,8,,,,,,,マッカーサー、東京へ,,,
出来事,1945,9,10,,,,,,,マッカーサー、日本管理方針声明,,,
出来事,1945,9,11,,,,,,,主だった戦犯逮捕,,,
出来事,1945,9,14,,,,,,,大日本政治会解散,,,
出来事,1945,9,20,,,,,,,ポツダム宣言に伴う緊急勅令公布,,,
出来事,1945,9,21,,,,,,,"GHQ,ブレス・コード指令発表",,,
出来事,1945,9,22,,,,,,,米国政府、降伏後の対日方針発表,,,
出来事,1945,9,24,,,,,,,GHQ、賃金統制維持・物資の公正配給・輸出入許可制を指令,,,
出来事,1945,9,27,,,,,,,天皇、マッカーサーを訪問,,,
出来事,1945,9,29,,,,,,,言論に関する戦時取り締まり法規を撤廃,,,
出来事,1945,9,30,,,,,,,大日本産業報国会解散,,,
出来事,1945,10,4,,,,,,,GHQ指令、治安維持法・国防保安法廃止 政治犯即時釈放・特高警察廃止・天皇制批判の自由を指令,,,
出来事,1945,10,5,,,,,,,東久邇宮稔彦内閣総辞職,,,
出来事,1945,10,7,,,,,,,全日本開拓者連盟設立,,,
出来事,1945,10,9,,,,,,,幣原喜重郎内閣成立,,,
出来事,1945,10,10,,,,,,,政治犯出所 徳田球一・志賀義雄が「人民に訴う」声明,,,
出来事,1945,10,11,,,,,,,GHQ、男女同権・労働組合結成奨励・教育の自由主義化・専制政治からの脱却・経済の民主化の5大改革を指令,,,
出来事,1945,10,15,,,,,,,治安維持法・思想犯保護観察法廃止,,,
出来事,1945,10,,,,,,,,参謀本部・軍令部廃止,,,
出来事,1945,10,25,,,,,,,GHQ、日本の外交機能の全面停止・全外交機関の引渡しを指令,,,
出来事,1945,10,,,,,,,,内閣に憲法問題調査会を設置,,,
出来事,1945,10,27,,,,,,,三井･三菱・住友･安田の4大財閥解体決まる,,,
出来事,1945,10,31,,,,,,,GHQ、軍国主義者の即時追放を指令,,,
出来事,1945,11,2,,,,,,,日本社会党結党 書記長：片山哲,,,
出来事,1945,11,,,,,,,,"GHQ,財閥資産凍結・解体を指令",,,
出来事,1945,11,5,,,,,,,戦災復興院設置,,,
出来事,1945,11,9,,,,,,,中国にて国共内戦始まる,,,
出来事,1945,11,,,,,,,,日本自由党結党 総裁：鳩山一郎,,,
出来事,1945,11,16,,,,,,,日本進歩党結党 総裁：町田忠治,,,
出来事,1945,11,18,,,,,,,"GHQ,民間航空を全面的に禁止",,,
出来事,1945,11,22,,,,,,,近衛文麿、天皇に憲法改正案捧呈,,,
出来事,1945,11,24,,,,,,,治安警察法廃止,,,
出来事,1945,11,25,,,,,,,"GHQ,戦時補償の封鎖・公債発行許可制・戦時利得税・財産税の創設を指令 軍人恩給等停止の指令",,,
出来事,1945,11,26,,,,,,,閣議で石灰生産緊急対策を決定,,,
出来事,1945,11,29,,,,,,,臨時議会開会,,,
出来事,1945,12,1,,,,,,,陸海軍省廃止 第1・第2復員省を設置,,,
出来事,1945,12,,,,,,,,日本共産党第4回大会を開く,,,
出来事,1945,12,2,,,,,,,GHQ、元帥梨本宮ら戦犯に逮捕命令,,,
出来事,1945,12,6,,,,,,,"GHQ,近衛文麿・木戸幸一に逮捕命令",,,
出来事,1945,12,7,,,,,,,マニラの戦犯裁判で山下元大将らに死刑判決,,,
出来事,1945,12,8,,,,,,,松本国務相、天皇統治権不変など憲法改正4原則を発表,,,
出来事,1945,12,9,,,,,,,"GHQ,農地改革を指令",,,
出来事,1945,12,15,,,,,,,GHQ 国家と神道の分離を指令,,,
出来事,1945,12,16,,,,,,,GHQ、予算の編成・実行および修正の許可制を指令,,,
出来事,1945,12,,,,,,,,近衛文麿自殺,,,
出来事,1945,12,17,,,,,,,婦人参政の新選挙法成立,,,
出来事,1945,12,18,,,,,,,日本協同党結成 党首：三木武夫,,,
出来事,1945,12,,,,,,,,衆院解散,,,
出来事,1945,12,21,,,,,,,"GHQ,日本民主化に関する基本的指令は一段落したと発表",,,
出来事,1945,12,22,,,,,,,労働組合法公布,,,
出来事,1945,12,27,,,,,,,憲法研究会が「憲法草案要綱」を発表,,,
出来事,1945,12,28,,,,,,,農地調整法中改正法律公布,,,
出来事,1945,12,31,,,,,,,GHQ、修身・日本歴史および地理教化中止を指令,,,
出来事,1945,11,,,,,,,,三菱本社定款を改正　傘下企業の管理統括を破棄,,,
出来事,1945,11,6,,,,,,,非公式に傘下企業の統轄を維持する方針を策定,,,
出来事,1946,4,1,,1947,3,31,,,事業報告より,"丸ノ内診療所
昭和21年1月株式会社三菱本社附属医局を本会に継承と同時に三菱本館は接収せられ爾来狭隘なる仮説場所に引き移り診療作業一時停頓せしが昭和33年3月12日丸ノ内三ノ一〇仲五号館の設備成り茲に引移り「丸ノ内診療所」を開設し事業は正常の状態に復し今後の発展を期待せらる
",,
出来事,1946,4,1,,1947,3,31,,,事業報告より,"農園一部を農薬応用試験地に提供
農園
食糧増産会員健康増進の為め昭和19年以来開設せし農園三か所の内巣鴨署在の分約四千坪は時勢の要求に応じて全部を庭球野球其他陸上運動場に還元、小石川区所在の分は廃止し千歳農場約12.000坪は全部直営農園として引続き食料増産に努力せり
",,
出来事,1946,4,1,,1947,3,31,,,事業報告より,"役員
理事
平井澄…元三菱地所株式会社社長
野田大造…元三菱商事株式会社総務部次長
武藤秀三…元株式会社三菱本社総務部副長
樋口實…三菱地所株式会社常務取締役
岡野保次郎…三菱重工業株式会社常務取締役
竹内俊一…三菱石油株式会社常務取締役
久埜昇…三菱製鋼株式会社常務取締役
高杉晋一…三菱電機株式会社々長
監事
佐藤純一…三菱信託株式会社常務取締役
評議員
平井澄…元三菱地所株式会社社長
野田大造…元三菱商事株式会社総務部次長
武藤秀三…元株式会社三菱本社総務部副長
樋口實…三菱地所株式会社常務取締役
鈴木春之助…株式会社三菱本社清算人
佐藤純一…三菱信託株式会社常務取締役
岡野保次郎…三菱重工業株式会社常務取締役
竹内俊一…三菱石油株式会社常務取締役
久埜昇…三菱製鋼株式会社常務取締役
",,
出来事,1946,5,29,,,,,,,議事録,"厚生寮舎計上方針に係る件
各社経理の現況に鑑み養和会に於ても出来得る限り経費を節減すると共に多少なりとも収入の途を講じもっいて各社分担金の軽減を図る要あり就ては養和会経営の厚生寮使用料金を総統増額のこととしたき諮りたる処全員之を承認せり

一、連合軍最高司令部の指令に基き財閥の解体は着々しんこうしつゝある此際養和会が以前従来の如く事業を運営して三菱全社員の精神的団結を図るは財閥解体の精神に悖るが如き印象を与ふる處あるを以て茲一、二年間は専ら隠忍自重時節の到来まで生き延びることに努め養和会が表面に立ちて活発に各種事業を行ふことを差控ふること(米国人の日本人観、財閥観は漸次是正されつつあるを以て一二年辛抱せば養和会が再び華々しき活動を要請せらるる時機到来すへし)
一、養和会の事業としては病院、艇庫、運動場、農場等各社にて単独に行ひ得わる施設をなすも各種催し(例へばハイキング、音楽会等)は養和会に於て主催することなく各社に任すこと
(中略)
一、「三菱養和会」の名称を適当に(例へば「養和会」)と改称すること
一、幹事会を和やかなものとする為め今後はなるべく会食をしながら相談出来る様取計ハレタキコト
",,
出来事,1946,6,28,,,,,,,議事録,"吉田幹事　養和会は当分の間出来るだけ諸事業より後退するを可(判読不能)すべし、何等事業を営まずとも幹事会、委員会の類を継続して開催せば各社間の人的連繫を保ち得る故それだけにても養和会存続の意義ありと考ふ
寺尾幹事　病院の如き福利厚生施設を営むことは必要なるも其他ノ事業は直営とせず各社に任せ養和会は其の施設を各社に利用
中尾常任理事　養和会経費は各社の寄附に依存し居るを以て現下の如き苦難時代には経費節約の為め事業を差控ゆる要あり、現に養和会に於て営む事業はなるべき費用を要せざるものを選び且多少なりとも収入を得る途を講じつつあり
北原幹事　今後定期的寄附金を拠出する場合には予め当局に申請して認可を受くる要あることなりたるを以て養和会経費を各社寄附金を以て賄ふことは困難となるやも知れず、就いては施設の賃貸其他の方法を以て養和会自活の途を講ずる要なきや
中尾常任理事　養和会経費の拠出は寄附の形式を採らず厚生資金を拠出として処理せば差支えなきものと思ふ、養和会自活の方法に就きては考究中なり
寺尾幹事　養和会自活の手段としては施設の賃貸、農園収穫物の販売等になすと共にへき地所在寮舎の施設は之を分系会社に移譲して経費の説弁を図るべし
大阪等大都会地にありて各社共通に用し得る施設の経営に重点を置き利用者より適当の使用料を徴収して養和会収入の一助となす方針なり
内田幹事　財閥解体に依り三菱系事業が資本的並技術的に提携し得ざるに至りたるも各社々員が人的に連携を保つは何等民主々義に反するものにあらず養和会は益々其活動を活発にし各社々員の人的コンビネーションを維持増進する要あり就ては養和会が自治の途を講ずる■結構なるも各社も亦進んで養和会経費を分担さるる様希望す
村上幹事　養和会は専ら施設の完成に力め斯が利用は各社に任すべし
平井理事長　養和会施設の運営方針に就きては各施設毎に具体案を作ることとすべし
中尾常任理事　各社に於て文化、体育事業を行ふことは歓迎すべし(判読不能)各社の営む事業と重複せざる様留意すべし(以上方針なり)
村上幹事　各社単独に行ふを有利とする事業もあれど各社連合して行ふ要ある事業もあるに付養和会はかかる事業を行はれ度
内田幹事　養和会の現理事は各社重役を以て構成せられ居るが右は解体問題を惹起する処れあるに付養和会組織を変更しては如何
中尾常任理事　組織変更のことに就ては既に寄附行為改正立案に着手し居るも一面に於てその手続の為め却て刺激する懸念もあるに付慎重に研究の要あり、尚今後は養和会の性格を純然たる文化団体とし単に三菱内部丈のものとせずその事業の一部を公開することも一案かと思ふ
抜き書き者註：これが戦後の基本方針といえるだろうか
",,
出来事,1946,1,1,,,,,,,天皇人間宣言,,,
出来事,1946,1,4,,,,,,,"GHQ,軍国主義者の公職追放・超国家主義団体の解散を指令",,,
出来事,1946,1,15,,,,,,,山川均、人民戦線結成を提唱,,,
出来事,1946,1,17,,,,,,,労働組合総同盟準備会開催 会名は日本労働組合総同盟 会長：松岡駒吉,,,
出来事,1946,1,22,,,,,,,マッカーサー、極東軍事法廷の開設を命令,,,
出来事,1946,1,24,,,,,,,臨時軍事費の即時打ち切りの指令,,,
出来事,1946,1,,,,,,,,"GHQ,公娼制度廃止を命令",,,
出来事,1946,1,31,,,,,,,"GHQ,ソ連及び中国、日本進駐不参加を発表",,,
出来事,1946,2,1,,,,,,,内務・司法・商工・厚生4相、労働争議取締りの共同声明,,,
出来事,1946,2,,,,,,,,第1次農地改革実施,,,
出来事,1946,2,3,,,,,,,マッカーサー、憲法草案作成を民生局に支持,,,
出来事,1946,2,7,,,,,,,石炭・肥料の生産増強対策を発表,,,
出来事,1946,2,9,,,,,,,日本農民組合結成,,,
出来事,1946,2,,,,,,,,日本新聞通信放送労働組合結成,,,
出来事,1946,2,13,,,,,,,"GHQ,日本政府に対し「マッカーサー憲法草案」を公布",,,
出来事,1946,2,15,,,,,,,インフレ急迫,,,
出来事,1946,2,17,,,,,,,金融緊急措置令施行 預貯金封鎖,,,
出来事,1946,2,,,,,,,,食糧緊急措置令公布施行,,,
出来事,1946,2,20,,,,,,,日本自由党総裁鳩山一郎が反共国民戦線結成を提唱,,,
出来事,1946,2,23,,,,,,,反占領軍的団体禁止令,,,
出来事,1946,2,28,,,,,,,公職追放令公布施行,,,
出来事,1946,3,1,,,,,,,労働組合法施行,,,
出来事,1946,3,,,,,,,,"GHQ,対米輸出以外を禁止",,,
出来事,1946,3,3,,,,,,,物価統制令公布施行 旧円停止・新円切り替え,,,
出来事,1946,3,5,,,,,,,米国第1次教育使節団来日,,,
出来事,1946,3,,,,,,,,いわゆる「鉄のカーテン」演説,,,
出来事,1946,3,6,,,,,,,政府、憲法改正案発表,,,
出来事,1946,3,9,,,,,,,都会地転入抑制緊急措置令公布施行,,,
出来事,1946,3,15,,,,,,,価格等取締規則実施,,,
出来事,1946,3,,,,,,,,国鉄労組連合結成,,,
出来事,1946,3,17,,,,,,,全官公庁職員労組連絡協議会結成,,,
出来事,1946,4,1,,,,,,,国家総動員法および戦時緊急措置法廃止,,,
出来事,1946,4,3,,,,,,,全日本鉄鋼産業労組結成,,,
出来事,1946,4,5,,,,,,,第1次対日理事会,,,
出来事,1946,4,7,,,,,,,米教育使節団報告書発表 教育の地方委譲・9年生義務教育・教科書民主化を勧告,,,
出来事,1946,4,10,,,,,,,新選挙法による衆院選 第一党は日本自由党 第二党は進歩党,,,
出来事,1946,4,,,,,,,,日本炭鉱労組連合会結成,,,
出来事,1946,4,17,,,,,,,政府、新憲法草案全文発表,,,
出来事,1946,4,20,,,,,,,持株会社整理委員会法公布施行 財閥解体の措置始まる,,,
出来事,1946,4,22,,,,,,,幣原内閣総辞職,,,
出来事,1946,4,30,,,,,,,経済同友会創立,,,
出来事,1946,5,1,,,,,,,メーデー復活,,,
出来事,1946,5,3,,,,,,,極東軍事裁判開廷,,,
出来事,1946,5,4,,,,,,,"GHQ,鳩山自由党総裁を追放",,,
出来事,1946,5,13,,,,,,,極東委員会、「日本新憲法採択に関する諸基準」を可決,,,
出来事,1946,5,16,,,,,,,臨時議会召集,,,
出来事,1946,5,19,,,,,,,皇居前で食糧メーデー,,,
出来事,1946,5,20,,,,,,,マッカーサー大衆示威運動に警告,,,
出来事,1946,5,22,,,,,,,第1次吉田内閣成立,,,
出来事,1946,5,24,,,,,,,協同民主党結成,,,
出来事,1946,5,28,,,,,,,閣議で生産管理を否定 労働省設置を決定,,,
出来事,1946,5,,,,,,,,GHQ<肥料増産を指令,,,
出来事,1946,5,31,,,,,,,天皇とマッカーサーの会談,,,
出来事,1946,6,8,,,,,,,"GHQ,日本警察制度改革に対するバレンタイン報告書を発表",,,
出来事,1946,6,13,,,,,,,政府、社会秩序維持・食糧危機突破・生産管理否認に関する声明,,,
出来事,1946,6,15,,,,,,,復員省を廃止して復員庁官制公布施行,,,
出来事,1946,6,20,,,,,,,新憲法審議のための臨時議会開会,,,
出来事,1946,6,29,,,,,,,共産党、「日本人民共和国憲法草案」発表,,,
出来事,1946,7,24,,,,,,,9月14まで継続する、国鉄首切り反対スト,,,
出来事,1946,8,1,,,,,,,日本労働組合総同盟第1回全国大会開催,,,
出来事,1946,8,6,,,,,,,"GHQ,全統制会に解散命令",,,
出来事,1946,8,10,,,,,,,政府、戦時補償打ち切りを発表,,,
出来事,1946,8,,,,,,,,教育刷新委員会公布施行,,,
出来事,1946,8,11,,,,,,,第2次農地改革法案発表,,,
出来事,1946,8,12,,,,,,,経済安定本部・物価庁発足,,,
出来事,1946,8,16,,,,,,,経団連創立,,,
出来事,1946,8,19,,,,,,,全日本産業別労働組合会議(産別会議)結成,,,
出来事,1946,9,1,,,,,,,内務省、復興国土計画要綱発表,,,
出来事,1946,9,10,,,,,,,20日までかかって海員組合整理反対スト,,,
出来事,1946,9,26,,,,,,,全官公労結成,,,
出来事,1946,9,27,,,,,,,労働関係調整法公布,,,
出来事,1946,9,30,,,,,,,三井･三菱・安田が本社解体決定,,,
出来事,1946,10,1,,,,,,,地代家賃統制令施行,,,
出来事,1946,10,5,,,,,,,地方制度調査会官制公布,,,
出来事,1946,10,8,,,,,,,教育勅語捧読廃止,,,
出来事,1946,10,10,,,,,,,全炭スト,,,
出来事,1946,10,12,,,,,,,"GHQ, 日本歴史学科再開に関する覚書公布 20日文部省が「くにのあゆみ」を発表",,,
出来事,1946,10,13,,,,,,,労働関係調整法施行,,,
出来事,1946,10,21,,,,,,,第2次農地改革書法令を公布,,,
出来事,1946,10,25,,,,,,,全日本労働組合会議結成,,,
出来事,1946,10,特定不可,,,,,,,産別会議、10月闘争を展開,,,
出来事,1946,11,3,,,,,,,日本国憲法公布,,,
出来事,1946,11,4,,,,,,,吉田内閣6大政綱声明 憲法普及徹底・教育制度刷新・行政機構、公務員制度並にその運営改革・地方自治の独立・産業経済の再建・労働問題解決の民生安定,,,
出来事,1946,11,20,,,,,,,日本商工会議所発足,,,
出来事,1946,11,21,,,,,,,追放令の範囲拡大 民間にも及ぶ,,,
出来事,1946,11,26,,,,,,,臨時議会開会,,,
出来事,1946,12,2,,,,,,,全官公庁闘争宣言,,,
出来事,1946,12,6,,,,,,,経済復興会議発足,,,
出来事,1946,12,17,,,,,,,生活権確保吉田内閣打倒国民大会、皇居前広場で開催,,,
出来事,1946,12,18,,,,,,,極東委員会、日本労働組合に関する16原則を決定,,,
出来事,1946,12,19,,,,,,,インドシナ戦争始まる,,,
出来事,1946,12,22,,,,,,,電産争議解決 電産型賃金獲得,,,
出来事,1946,12,24,,,,,,,石炭3000万トンの傾斜生産方式による生産再開政策等開始に決定,,,
出来事,1946,12,28,,,,,,,議会開会,,,
出来事,1946,,,,,,,,,会社証券保有制限令,本社役員の傘下企業の役員兼任禁止,,
出来事,1946,7,1,,,,,,,公職追放措置　社長や常務、専務ら公職追放へ,,,
出来事,1946,6,,,,,,,,三菱協議会解散,,,
出来事,1947,4,1,,1948,3,31,,,事業報告より,"財政の基盤と会員を同時に失ひ、自立自営再発足を余儀なくせられ、
制度変革に依って会員は其所属会社の本会脱退の為め、会員たるの資格を失ひたるにつき、一切を白紙に還し、旧会員は元より広く社会全般に対し新しく会員の募集に着手した。期末に於ける会員数は5.766名で猶引続き募集中である。
三菱各社の脱退と評議員の廃止により三菱各社の推薦で就任して居った評議員、理事及監事は昭和二十二年八月十九日を以て全部辞任し、理事の内専任者三名は其社との関係を断つて居残り他は全部辞任したので理事及監事を補欠改選し其面目は一新せられた。
",,
出来事,1947,4,1,,1948,3,31,,,事業報告より,世田谷千歳総合運動場が建設半ばにして、戦時中農園に転換した為め、現在としては巣鴨運動場一か所である。依ってこれに整備の全力を注ぐこととゝし、戦後の戸外運動熱勃興と共に同好者によって場内施設はフルに利用されている。,,
出来事,1947,4,1,,1948,3,31,,,事業報告より,"役員
理事
平井澄…元三菱地所株式会社社長/理事長/手当養和会より支給
野田大造…元三菱商事株式会社総務部次長/常任理事/
武藤秀三…元株式会社三菱本社総務部副長/常任理事/手当養和会より支給
森田互太郎…元三菱商事会社職員
吉野銓一郎…元養和会職員/手当養和会より支給/兼任総務部長
谷口隆壽…元養和会職員/手当養和会より支給/兼任事業部
秋月■五…元養和会職員/手当養和会より支給/兼任千歳農場長
脇田虎之助…元養和会職員/手当養和会より支給/兼任九州支部長
佐藤要人…元養和会医局長/手当養和会より支給/兼任丸ノ内診療所長
監事
河村平之助…元養和会医局長/手当養和会より支給
利根川三郎…元養和会医局長/手当養和会より支給
年表
昭和22年5月7日…三菱本社並分系各社は一世に本会を脱退し、従来の物心両面の関係を切断した。従って財政的援助関係もなくなった。
",,
出来事,1947,2,2,,,,,,,議事録,今後養和会ハ如何ニ進ムベキカ,,
出来事,1947,1,1,,,,,,,吉田首相、念頭の辞放送で労働攻勢を排撃,,,
出来事,1947,1,4,,,,,,,公職追放令改正 財界・言論界・地方公職に拡大,,,
出来事,1947,1,10,,,,,,,日本史鉄労組総連合結成,,,
出来事,1947,1,14,,,,,,,自由・進歩両党懇談会 時局収拾については両党総裁に一任と申し合わせ,,,
出来事,1947,1,16,,,,,,,皇室典範や内閣法公布,,,
出来事,1947,1,17,,,,,,,自由･進歩両党、危機突破の共同声明発表,,,
出来事,1947,1,18,,,,,,,全官公労「2.1ゼネスト」宣言,,,
出来事,1947,1,24,,,,,,,指定生産資材割り当て規則公布施行,,,
出来事,1947,1,28,,,,,,,吉田内閣打倒・危機突破国民大会開催 産別・総同盟両系統参加,,,
出来事,1947,1,31,,,,,,,"GHQ,2.1ゼネスト中止命令",,,
出来事,1947,1,,,,,,,,内閣改造,,,
出来事,1947,2,5,,,,,,,全国石炭復興会議結成大会,,,
出来事,1947,2,6,,,,,,,経済復興会議結成大会,,,
出来事,1947,2,12,,,,,,,ポーレー、対日賠償3原則発表,,,
出来事,1947,2,,,,,,,,日本ペン・クラブ再建,,,
出来事,1947,2,18,,,,,,,米賠償委員ストライク・ボーレーらと別個の賠償基準を発表,,,
出来事,1947,2,24,,,,,,,参議院議員選挙法公布施行,,,
出来事,1947,3,8,,,,,,,国民協同党結成 書記長：三木武夫,,,
出来事,1947,3,10,,,,,,,全国労働組合連絡協議会結成,,,
出来事,1947,3,12,,,,,,,トルーマン・ドクトリン,,,
出来事,1947,3,22,,,,,,,マッカーサー、吉田首相に、賃金・価格の統制、安本の権限強化を要請,,,
出来事,1947,3,31,,,,,,,衆院解散,,,
出来事,1947,3,,,,,,,,民主党結成 最高顧問：幣原喜重郎 旧日本進歩党解散,,,
出来事,1947,3,,,,,,,,第1回農地買収,,,
出来事,1947,4,1,,,,,,,教育基本法・学校教育法実施 6.3制へ,,,
出来事,1947,4,,,,,,,,隣組廃止,,,
出来事,1947,4,5,,,,,,,第1回知事・市区町村長選挙 初の首長公選,,,
出来事,1947,4,7,,,,,,,労働基準法公布,,,
出来事,1947,4,14,,,,,,,独占禁止法公布,,,
出来事,1947,4,20,,,,,,,第1回参議院選挙 第一党は社会党 第二党は自由党,,,
出来事,1947,4,25,,,,,,,衆院選 第一党は社会党 第二党は自由党,,,
出来事,1947,4,30,,,,,,,国会法公布,,,
出来事,1947,5,3,,,,,,,日本国憲法施行,,,
出来事,1947,5,6,,,,,,,第1回国会召集,,,
出来事,1947,5,12,,,,,,,社・自・民・国協4党政党政策協定,,,
出来事,1947,5,15,,,,,,,社会党左派、共産党と絶縁表明,,,
出来事,1947,5,17,,,,,,,蔵相石橋湛山など追放,,,
出来事,1947,5,,,,,,,,参議院無所属議員「緑風会」を結成,,,
出来事,1947,5,19,,,,,,,日経連創立,,,
出来事,1947,5,20,,,,,,,国会召集,,,
出来事,1947,5,,,,,,,,吉田内閣総辞職,,,
出来事,1947,5,24,,,,,,,片山哲内閣成立,,,
出来事,1947,6,5,,,,,,,国鉄労組結成大会,,,
出来事,1947,6,8,,,,,,,日教組結成,,,
出来事,1947,6,11,,,,,,,経済危機突破緊急対策要綱発表,,,
出来事,1947,6,19,,,,,,,農業復興会議発足,,,
出来事,1947,7,1,,,,,,,公正取引委員会発足,,,
出来事,1947,7,3,,,,,,,"GHQ,三井物産・三菱商事の解散を指令",,,
出来事,1947,7,25,,,,,,,全国農民組合結成,,,
出来事,1947,8,10,,,,,,,全官公労組連絡協議会結成,,,
出来事,1947,8,19,,,,,,,自由党、4党政策協定破棄を通告 純野党声明発表,,,
出来事,1947,10,1,,,,,,,臨時国勢調査,,,
出来事,1947,10,23,,,,,,,GHQ労働問題課長、労働組合内における急進主義に警告,,,
出来事,1947,11,4,,,,,,,片山首相、平野農省更迭,,,
出来事,1947,11,19,,,,,,,農業協同組合法公布,,,
出来事,1947,12,7,,,,,,,炭鉱国管法案成立,,,
出来事,1947,12,13,,,,,,,社会党左派、党内野党声明,,,
出来事,1947,12,17,,,,,,,警察法公布 民主化・地方分権,,,
出来事,1947,12,18,,,,,,,過度経済力集中排除法公布施行,,,
出来事,1947,12,20,,,,,,,臨時石炭鉱業管理法公布,,,
出来事,1947,12,22,,,,,,,改正民法公布 家制度廃止,,,
出来事,1947,12,31,,,,,,,内務省解体,,,
出来事,1948,4,1,,1949,3,31,,,事業報告より,会員当初5.766→115団体(8.498名)+個人会員376名,,
