Group,Year,End Year,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
中川浄益（千家十職 金物師）,1766,1833,,六代：浄益,,,,,,
中川浄益（千家十職 金物師）,1796,1859,,七代：浄益,,,,,,
中川浄益（千家十職 金物師）,1830,1877,,八代：浄益,,,,,,
中川浄益（千家十職 金物師）,1849,1911,,九代：浄益,,,,,,
中川浄益（千家十職 金物師）,1880,1940,,十代：浄益,,,,,,
中川浄益（千家十職 金物師）,1920,2008,,十一代：浄益,,,,,,
土田友湖（千家十職 袋師）,1687,1757,,初代・友湖,,,,,,
土田友湖（千家十職 袋師）,1736,1757,,二代・半四郎,,,,,,
土田友湖（千家十職 袋師）,1746,1784,,三代・半四郎,,,,,,
土田友湖（千家十職 袋師）,1719,1801,,四代:鶴寿院貞松,,,,,,
土田友湖（千家十職 袋師）,1778,1825,,五代・半四郎,,,,,,
土田友湖（千家十職 袋師）,1803,1883,,六代・半四郎,,,,,,
土田友湖（千家十職 袋師）,1835,1911,,七代・半四郎,,,,,,
土田友湖（千家十職 袋師）,1861,1911,,八代・半四郎,,,,,,
土田友湖（千家十職 袋師）,1892,1914,,九代・半四郎,,,,,,
土田友湖（千家十職 袋師）,1859,1940,,十代 浄雪院妙要,,,,,,
土田友湖（千家十職 袋師）,1902,1965,,十一代・半四郎,,,,,,
土田友湖（千家十職 袋師）,1939,now,,十二代・半四郎,,,,,,
奥村吉兵衛（千家十職 表具師）,1618,1700,,初代 吉右衛門,,,,,,
奥村吉兵衛（千家十職 表具師）,1633,1719,,二代 吉兵衛,,,,,,
奥村吉兵衛（千家十職 表具師）,1666,1743,,三代 吉兵衛,,,,,,
奥村吉兵衛（千家十職 表具師）,1737,1781,,四代 吉五郎,,,,,,
奥村吉兵衛（千家十職 表具師）,1755,1825,,五代 吉兵衛,,,,,,
奥村吉兵衛（千家十職 表具師）,1780,1848,,六代 吉兵衛,,,,,,
奥村吉兵衛（千家十職 表具師）,1795,1837,,七代 吉次郎,,,,,,
奥村吉兵衛（千家十職 表具師）,1804,1867,,八代 吉兵衛,,,,,,
奥村吉兵衛（千家十職 表具師）,1840,1908,,九代 吉兵衛,,,,,,
奥村吉兵衛（千家十職 表具師）,1869,1944,,十代 吉次郎,,,,,,
奥村吉兵衛（千家十職 表具師）,1901,1987,,十一代 吉兵衛,,,,,,
奥村吉兵衛（千家十職 表具師）,1934,now,,十二代 吉兵衛,,,,,,
飛来一閑（千家十職 一閑張細工師）,1578,1657,,初代 一閑,,,,,,
飛来一閑（千家十職 一閑張細工師）,***,1683,,二代 一閑,,,,,,
飛来一閑（千家十職 一閑張細工師）,***,1715,,三代 一閑,,,,,,
飛来一閑（千家十職 一閑張細工師）,***,1733,,四代 一閑,,,,,,
飛来一閑（千家十職 一閑張細工師）,***,1741,,五代 一閑,,,,,,
飛来一閑（千家十職 一閑張細工師）,***,1746,,六代 一閑,,,,,,
飛来一閑（千家十職 一閑張細工師）,***,1750,,七代 一閑,,,,,,
飛来一閑（千家十職 一閑張細工師）,***,1753,,八代 一閑,,,,,,
飛来一閑（千家十職 一閑張細工師）,***,1788,,九代 一閑,,,,,,
飛来一閑（千家十職 一閑張細工師）,***,1830,,十代 才右衛門一閑,,,,,,
飛来一閑（千家十職 一閑張細工師）,1791,1872,,十一代 才右衛門一閑,,,,,,
飛来一閑（千家十職 一閑張細工師）,1816,1892,,十二代 才右衛門一閑,,,,,,
飛来一閑（千家十職 一閑張細工師）,1859,1913,,十三代 才右衛門一閑,,,,,,
飛来一閑（千家十職 一閑張細工師）,1894,1977,,十四代 才右衛門一閑,,,,,,
飛来一閑（千家十職 一閑張細工師）,1926,1981,,十五代 一閑,,,,,,
飛来一閑（千家十職 一閑張細工師）,1963,now,,十六代 一閑,,,,,,
黒田正玄（千家十職 竹細工・柄杓師）,1578,1653,,初代 正玄,,,,,,
黒田正玄（千家十職 竹細工・柄杓師）,1626,1687,,二代 正玄,,,,,,
黒田正玄（千家十職 竹細工・柄杓師）,1656,1717,,三代 正玄,,,,,,
黒田正玄（千家十職 竹細工・柄杓師）,1692,1731,,四代 正玄,,,,,,
黒田正玄（千家十職 竹細工・柄杓師）,1708,1778,,五代 正玄,,,,,,
黒田正玄（千家十職 竹細工・柄杓師）,1747,1814,,六代 正玄,,,,,,
黒田正玄（千家十職 竹細工・柄杓師）,1768,1820,,七代 正玄,,,,,,
黒田正玄（千家十職 竹細工・柄杓師）,1809,1869,,八代 正玄,,,,,,
黒田正玄（千家十職 竹細工・柄杓師）,1837,1859,,九代 正玄,,,,,,
黒田正玄（千家十職 竹細工・柄杓師）,1825,1900,,十代 正玄,,,,,,
黒田正玄（千家十職 竹細工・柄杓師）,1869,1911,,十一代 正玄,,,,,,
黒田正玄（千家十職 竹細工・柄杓師）,1906,1988,,十二代 正玄,,,,,,
黒田正玄（千家十職 竹細工・柄杓師）,1936,2017,,十三代 正玄,,,,,,
西村（永樂）善五郎（千家十職 土風炉・焼物師）,***,1558,,西村宗禅（初代）,,,,,,
西村（永樂）善五郎（千家十職 土風炉・焼物師）,***,1594,,西村宗善（2代）,,,,,,
西村（永樂）善五郎（千家十職 土風炉・焼物師）,***,1623,,西村宗全（3代）,,,,,,
西村（永樂）善五郎（千家十職 土風炉・焼物師）,***,1654,,西村宗雲（4代）,,,,,,
西村（永樂）善五郎（千家十職 土風炉・焼物師）,***,1697,,西村宗筌（5代）,,,,,,
西村（永樂）善五郎（千家十職 土風炉・焼物師）,***,1741,,西村宗貞（6代）,,,,,,
西村（永樂）善五郎（千家十職 土風炉・焼物師）,***,1744,,西村宗順（7代）,,,,,,
西村（永樂）善五郎（千家十職 土風炉・焼物師）,***,1769,,西村宗圓（8代）,,,,,,
西村（永樂）善五郎（千家十職 土風炉・焼物師）,***,1779,,西村宗巌（9代）,,,,,,
西村（永樂）善五郎（千家十職 土風炉・焼物師）,1770,1841,,永樂了全（10代）,,,,,,
西村（永樂）善五郎（千家十職 土風炉・焼物師）,1795,1855,,永樂保全（11代）,,,,,,
西村（永樂）善五郎（千家十職 土風炉・焼物師）,1822,1896,,永樂和全（12代）,,,,,,
西村（永樂）善五郎（千家十職 土風炉・焼物師）,1834,1876,,永樂回全（13代,,,,,,
西村（永樂）善五郎（千家十職 土風炉・焼物師）,1819,1883,,永樂曲全（13代）,,,,,,
西村（永樂）善五郎（千家十職 土風炉・焼物師）,1852,1909,,永樂得全（14代）,,,,,,
西村（永樂）善五郎（千家十職 土風炉・焼物師）,1852,1927,,永樂妙全-14代の室,,,,,,
西村（永樂）善五郎（千家十職 土風炉・焼物師）,1880,1932,,永樂正全（15代）,,,,,,
西村（永樂）善五郎（千家十職 土風炉・焼物師）,1917,1998,,永樂即全（16代）,,,,,,
西村（永樂）善五郎（千家十職 土風炉・焼物師）,1944,now,,永樂善五郎（17代）,,,,,,
