Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
2007,10,,,,,,,,みずほ銀行・ユーシーカード・クレディセゾンが共同で総合プロセシングサービス会社「キュービタス」を設立,,,,,,
2007,10,,,,,,,,みずほコーポレート銀行、中国の中信銀行に出資。業務提携に係る覚書を締結,,,,,,
2008,1,,,,,,,,興銀第一ライフ・アセットマネジメントがDIAMアセットマネジメントに社名を変更,,,,,,
2008,1,,,,,,,,みずほコーポレート銀行、みちのく銀行（モスクワ）の発行済普通株式を全株取得。4月にモスクワみずほコーポレート銀行に社名を変更,,,,,,
2008,8,,,,,,,,みずほコーポレート銀行とみずほ証券・ブリッジフォードグループ・米国のM&A専業投資銀行エバコア社の4社間で業務提携契約を締結。みずほコーポレート銀行、エバコア社に出資,,,,,,
2009,1,,,,,,,,"みずほフィナンシャルグループ、端株等無償割当てを行い株式数を実質的に1,000倍にすると同時に、単元株式制度の導入で単元株式を1単元100株に",,,,,,
2009,5,,,,,,,,みずほ証券と新光証券が合併（新社名：みずほ証券）,,,,,,
2010,9,,,,,,,,みずほフィナンシャルグループ、オリエントコーポレーションを持分法適用関連子会社に,,,,,,
2010,10,,,,,,,,オルタナティブ商品の選定・提供を行う「みずほグローバルオルタナティブインベストメンツ」、営業を開始,,,,,,
2011,3,,,,,,,,みずほコーポレート銀行、ヘッジファンド調査会社「ユーリカヘッジ」を買収,,,,,,
2011,3,,,,,,,,みずほフィナンシャルグループ、運用会社「BlackRock」の株式を一部取得し（2010年）、業務提携契約を締結,,,,,,
2011,9,,,,,,,,みずほ信託銀行・みずほ証券・みずほインベスターズ証券を完全子会社化,,,,,,
2011,9,,,,,,,,みずほ銀行・みずほコーポレート銀行・みずほ証券・ベトナムのベトコムバンクと資本・業務提携,,,,,,
2011,12,,,,,,,,みずほ銀行、インドネシアのバリモア・ファイナンスを連結子会社に,,,,,,
2013,1,,,,,,,,みずほ証券とみずほインベスターズ証券が合併（新社名：みずほ証券）,,,,,,
2013,4,,,,,,,,みずほフィナンシャルグループ、みずほ証券を直接出資子会社化,,,,,,
2013,7,,,,,,,,みずほ銀行とみずほコーポレート銀行が合併（新社名：みずほ銀行）,,,,,,
2014,6,,,,,,,,みずほフィナンシャルグループ、委員会設置会社に移行,,,,,,
2015,4,,,,,,,,東京2020オリンピック・パラリンピックゴールド銀行パートナーに決定,,,,,,
2015,6,,,,,,,,「コーポレート・ガバナンスに関する報告書」を東京証券取引所に提出,,,,,,
2015,9,,,,,,,,アセットマネジメントビジネスにおいて、Matthews Asiaと資本・業務提携,,,,,,
2015,10,,,,,,,,みずほ信託銀行がシンプレクス不動産投資顧問とシンプレクス・リート・パートナーズの子会社化を発表,,,,,,
2016,7,,,,,,,,米国銀行持株会社米州みずほ設置,,,,,,
2016,10,,,,,,,,グループの資産運用機能を統合し、「アセットマネジメントOne」として発足,,,,,,
2016,11,,,,,,,,ソフトバンクとの合弁会社「J.Score」を設立,,,,,,
2017,3,,,,,,,,資産管理専門信託銀行の統合に関する基本合意書を締結,,,,,,
2017,6,,,,,,,,みずほ銀行、みずほ信託銀行、みずほ証券は、監査等委員会設置会社に移行,,,,,,
2017,6,,,,,,,,WiLグループと「Blue Lab」を設立,,,,,,
2017,7,,,,,,,,ドイツのフランクフルト市に証券業務を担う新会社設立準備を開始,,,,,,
2017,9,,,,,,,,ソフトバンクとの合弁会社「J.Score」が日本初のFinTechサービス「AIスコア・レンディング」の提供を開始,,,,,,
2017,12,,,,,,,,米国みずほ銀行と米国みずほ信託銀行を合併,,,,,,
2018,3,,,,,,,,連結子会社の資産管理サービス信託銀行は、日本トラスティ・サービス信託銀行との間で経営統合契約書を締結,,,,,,
