Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color,character name,sex,age,"
Profession"
TVアニメ,2011,10,7,,2011,12,23,,,僕は友達が少ない,,,,,,,,,,
TVアニメ,2011,7,8,,2011,9,30,,,まよチキ!,,,,,,,,,,
TVアニメ,2011,4,25,,2011,5,6,,,もし高校野球の女子マネージャーがドラッカーの『マネジメント』を読んだら,,,,,,,,,,
TVアニメ,2011,7,5,,2011,9,27,,,森田さんは無口。,,,,,,,,,,
TVアニメ,2011,10,4,,2011,12,27,,,森田さんは無口。2,,,,,,,,,,
TVアニメ,2011,10,7,,2012,3,23,,,ラストエグザイル-銀翼のファム-,,,,,,,,,,
TVアニメ,2011,7,1,,2011,9,23,,,ロウきゅーぶ！,,,,,,,,,,
TVアニメ,2011,10,9,,2012,9,23,,,機動戦士ガンダムAGE,,,,,,,,,,
TVアニメ,2011,4,7,,2012,9,27,,,SKET DANCE,,,,,,,,,,
TVアニメ,2012,10,6,,2012,12,29,,,To LOVEる -とらぶる- ダークネス,,,,,,,,,,
TVアニメ,2012,7,7,,2012,9,29,,,DOG DAYS',,,,,,,,,,
TVアニメ,2012,1,9,,2012,6,25,,,アクエリオンEVOL,,,,,,,,,,
TVアニメ,2012,1,13,,2012,4,5,,,妖狐×僕SS,,,,,,,,,,
TVアニメ,2012,7,6,,2012,9,28,,,カンピオーネ! 〜まつろわぬ神々と神殺しの魔王〜,,,,,,,,,,
TVアニメ,2012,10,11,,2013,3,21,,,PSYCHO-PASS,,,,,,,,,,
TVアニメ,2012,4,8,,2013,5,25,,,咲-Saki- 阿知賀編 episode of side-A,,,,,,,,,,
TVアニメ,2012,4,5,,2013,3,28,,,しろくまカフェ,,,,,,,,,,
TVアニメ,2012,9,29,,2013,3,23,,,新世界より,,,,,,,,,,
TVアニメ,2012,10,5,,2013,3,29,,,絶園のテンペスト,,,,,,,,,,
TVアニメ,2012,4,2,,2012,6,25,,,ZETMAN,,,,,,,,,,
TVアニメ,2012,4,5,,2012,9,27,,,戦国コレクション,,,,,,,,,,
TVアニメ,2012,1,18,,2013,3,20,,,ダンボール戦機W,,,,,,,,,,
TVアニメ,2012,7,2,,2012,9,24,,,超訳百人一首 うた恋い。,,,,,,,,,,
TVアニメ,2012,10,7,,2012,12,23,,,てーきゅう第1期,,,,,,,,,,
TVアニメ,2012,10,1,,2012,12,24,,,となりの怪物くん,,,,,,,,,,
TVアニメ,2012,7,6,,2012,9,21,,,はぐれ勇者の鬼畜美学,,,,,,,,,,
TVアニメ,2012,7,5,,2012,9,27,,,貧乏神が!,,,,,,,,,,
TVアニメ,2012,2,2,,2012,3,22,,,ブラック★ロックシューター,,,,,,,,,,
TVアニメ,2012,10,7,,2013,3,31,,,マギ The labyrinth of magic,,,,,,,,,,
TVアニメ,2012,1,7,,2012,6,30,,,モーレツ宇宙海賊,,,,,,,,,,
TVアニメ,2013,4,12,,2013,9,27,,,とある科学の超電磁砲S,,,,,,,,,,
TVアニメ,2013,7,8,,2013,9,23,,,神のみぞ知るセカイ 女神篇,,,,,,,,,,
TVアニメ,2013,10,3,,2013,12,19,,,IS 〈インフィニット・ストラトス〉2,,,,,,,,,,
TVアニメ,2013,10,4,,2013,12,10,,,フリージング ヴァイブレーション,,,,,,,,,,
TVアニメ,2013,1,11,,2013,3,29,,,僕は友達が少ないNEXT,,,,,,,,,,
TVアニメ,2013,7,5,,2013,9,27,,,ロウきゅーぶ！SS,,,,,,,,,,
TVアニメ,2013,7,7,,2013,9,22,,,てーきゅう第2期,,,,,,,,,,
TVアニメ,2013,10,6,,2013,12,22,,,てーきゅう第3期,,,,,,,,,,
TVアニメ,2013,10,6,,2014,3,30,,,マギ The kingdom of magic,,,,,,,,,,
TVアニメ,2014,10,9,,2014,12,18,,,PSYCHO-PASS 2,,,,,,,,,,
TVアニメ,2014,1,5,,2014,4,6,,,咲-Saki- 全国編,,,,,,,,,,
TVアニメ,2015,1,10,,2015,3,28,,,デュラララ!!×2 承,,,,,,,園原杏里,woman,17,高校二年生
TVアニメ,2015,7,4,,2015,9,26,,,デュラララ!!×2 転,,,,,,,園原杏里,woman,17,高校二年生
TVアニメ,2015,7,7,,2015,9,29,,,To LOVEる -とらぶる- ダークネス 2nd,,,,,,,,,,
TVアニメ,2015,1,11,,2015,3,29,,,DOG DAYS'',,,,,,,,,,
TVアニメ,2015,4,7,,2015,6,23,,,てーきゅう第4期,,,,,,,,,,
TVアニメ,2015,7,7,,2015,9,22,,,てーきゅう第5期,,,,,,,,,,
TVアニメ,2015,10,6,,2015,12,22,,,てーきゅう第6期,,,,,,,,,,
TVアニメ,2015,4,7,,2015,6,23,,,高宮なすのです! 〜てーきゅうスピンオフ〜,,,,,,,,,,
TVアニメ,2016,1,9,,2016,3,26,,,デュラララ!!×2 結,,,,,,,園原杏里,woman,17,高校二年生
TVアニメ,2016,1,12,,2016,3,29,,,てーきゅう第7期,,,,,,,,,,
TVアニメ,2016,10,5,,2016,12,21,,,てーきゅう第8期,,,,,,,,,,
TVアニメ,2016,4,12,,2016,6,28,,,うさかめ,,,,,,,,,,
TVアニメ,2017,1,7,,2017,3,25,,,青の祓魔師 京都不浄王篇,,,,,,,,,,
TVアニメ,2017,7,12,,2017,9,27,,,てーきゅう第9期,,,,,,,,,,
TVアニメ,,,,,,,,,,やきもち狂想曲,,,,,,,,,,
TVアニメ,2013,7,2,,2013,12,28,,,Go!Go!家電男子,,,,,,,,,,
TVアニメ,2013,10,2,,2013,12,25,,,COPPELION,,,,,,,,,,
TVアニメ,2013,1,10,,2013,3,28,,,琴浦さん,,,,,,,,,,
TVアニメ,2013,1,10,,2013,3,28,,,ささみさん@がんばらない,,,,,,,,,,
TVアニメ,2013,10,6,,2013,12,22,,,世界でいちばん強くなりたい!,,,,,,,,,,
TVアニメ,2013,4,6,,2013,7,6,,,絶対防衛レヴィアタン,,,,,,,,,,
TVアニメ,2013,7,12,,2013,9,27,,,超次元ゲイム ネプテューヌ,,,,,,,,,,
TVアニメ,2013,10,8,,2014,3,25,,,東京レイヴンズ,,,,,,,,,,
TVアニメ,2013,10,3,,2014,4,3,,,凪のあすから,,,,,,,,,,
TVアニメ,2013,10,7,,2013,12,23,,,機巧少女は傷つかない,,,,,,,,,,
TVアニメ,2012,10,6,,2013,4,6,,,リトルバスターズ!,,,,,,,,,,
TVアニメ,2013,7,8,,2013,9,23,,,私がモテないのはどう考えてもお前らが悪い!,,,,,,,,,,
TVアニメ,2014,4,2,,2015,2,13,,,Go!Go!家電男子,,,,,,,,,,
TVアニメ,2013,10,5,,2013,12,28,,,リトルバスターズ! 〜Refrain〜,,,,,,,,,,
TVアニメ,2014,7,7,,2014,12,15,,,アカメが斬る!,,,,,,,,,,
TVアニメ,2014,1,10,,2014,3,28,,,"Wake Up, Girls!",,,,,,,,,,
TVアニメ,2017,10,10,,2018,1,8,,,"Wake Up, Girls! 新章",,,,,,,,,,
TVアニメ,2014,4,7,,2014,6,30,,,彼女がフラグをおられたら,,,,,,,,,,
TVアニメ,2014,10,9,,2015,3,26,,,寄生獣 セイの格率,,,,,,,,,,
TVアニメ,2014,1,5,,2014,3,30,,,スペース☆ダンディ,,,,,,,,,,
TVアニメ,2014,4,5,,2014,6,21,,,星刻の竜騎士,,,,,,,,,,
TVアニメ,2014,1,12,,2014,3,30,,,世界征服〜謀略のズヴィズダー〜,,,,,,,,,,
TVアニメ,2014,1,7,,2014,3,25,,,ディーふらぐ!,,,,,,,,,,
TVアニメ,2014,7,4,,2014,9,19,,,東京喰種トーキョーグール,,,,,,,,,,
TVアニメ,2014,1,6,,2014,3,31,,,となりの関くん,,,,,,,,,,
TVアニメ,2014,1,11,,2014,5,24,,,ニセコイ,,,,,,,,,,
TVアニメ,2015,4,10,,2015,6,26,,,ニセコイ:,,,,,,,,,,
TVアニメ,2014,1,13,,2014,3,29,,,のうりん,,,,,,,,,,
TVアニメ,2015,1,9,,2015,3,27,,,東京喰種トーキョーグール√A,,,,,,,,,,
TVアニメ,2014,1,6,,2014,3,31,,,バディ・コンプレックス,,,,,,,,,,
TVアニメ,2014,9,29,,2014,9,29,,,バディ・コンプレックス 完結編 -あの空に還る未来で,,,,,,,,,,
TVアニメ,2014,4,6,,2014,6,22,,,ブレイク ブレイド,,,,,,,,,,
TVアニメ,2014,7,11,,2014,9,26,,,Persona4 the Golden ANIMATION,,,,,,,,,,
TVアニメ,2014,4,4,,2014,6,20,,,僕らはみんな河合荘,,,,,,,,,,
TVアニメ,2014,4,6,,2014,9,28,,,魔法科高校の劣等生,,,,,,,,,,
TVアニメ,2014,4,13,,2014,6,29,,,メカクシティアクターズ,,,,,,,,,,
TVアニメ,2014,10,17,,2014,12,26,,,結城友奈は勇者である,,,,,,,,,,
TVアニメ,2017,10,7,,2018,1,6,,,結城友奈は勇者である -鷲尾須美の章-/-勇者の章-,,,,,,,,,,
TVアニメ,2014,4,11,,2014,6,20,,,龍ヶ嬢七々々の埋蔵金,,,,,,,,,,
TVアニメ,2014,10,5,,2016,4,3,,,ワールドトリガー,,,,,,,,,,
TVアニメ,2015,7,3,,2015,12,25,,,うしおととら,,,,,,,,,,
TVアニメ,2015,7,5,,2015,9,27,,,ガッチャマン クラウズ インサイト,,,,,,,,,,
TVアニメ,2015,1,9,,2015,3,27,,,銃皇無尽のファフニール,,,,,,,,,,
TVアニメ,2015,12,,,2016,5,,,,コチンPa!,,,,,,,,,,
TVアニメ,2016,12,,,2017,5,,,,コチンPa!,,,,,,,,,,
TVアニメ,2015,1,11,,2015,3,29,,,純潔のマリア,,,,,,,,,,
TVアニメ,2015,7,3,,2015,9,18,,,城下町のダンデライオン,,,,,,,,,,
TVアニメ,2015,4,4,,2015,9,26,,,電波教師,,,,,,,,,,
TVアニメ,2015,7,11,,2015,9,26,,,監獄学園,,,,,,,,,,
TVアニメ,2015,4,12,,2015,6,28,,,山田くんと7人の魔女,,,,,,,,,,
TVアニメ,2016,4,1,,2016,6,24,,,うしおととら,,,,,,,,,,
TVアニメ,2016,4,18,,now,,,,,あはれ!名作くん,,,,,,,,,,
TVアニメ,2016,7,10,,2016,9,25,,,アンジュ・ヴィエルジュ,,,,,,,,,,
TVアニメ,2016,4,12,,2016,6,28,,,うさかめ,,,,,,,,,,
TVアニメ,2016,10,9,,2016,12,25,,,うどんの国の金色毛鞠,,,,,,,,,,
TVアニメ,2016,1,6,,2016,3,25,,,おじさんとマシュマロ,,,,,,,,,,
TVアニメ,2016,7,4,,2016,9,26,,,orenge,,,,,,,,,,
TVアニメ,2016,3,4,,2016,3,25,,,彼女と彼女の猫 -Everything Flows-,,,,,,,,,,
TVアニメ,2016,4,9,,2016,9,24,,,境界のRINNE(第2シリーズ),,,,,,,,,,
TVアニメ,2016,10,8,,2017,3,18,,,三月のライオン,,,,,,,,,,
TVアニメ,2017,10,14,,2018,3,31,,,三月のライオン,,,,,,,,,,
TVアニメ,2016,10,1,,2016,12,17,,,終末のイゼッタ,,,,,,,,,,
TVアニメ,2016,1,7,,2016,3,24,,,少女たちは荒野を目指す,,,,,,,,,,
TVアニメ,2016,7,11,,2016,9,26,,,ダンガンロンパ3 -The End of 希望ヶ峰学園-,,,,,,,,,,
TVアニメ,2015,9,25,,2016,3,25,,,ふうせんいぬティニー セカンドシーズン,,,,,,,,,,
TVアニメ,2016,1,9,,2016,3,12,,,FAIRY TAIL ZERO,,,,,,,,,,
TVアニメ,2016,1,5,,2016,3,22,,,プリンス・オブ・ストライド オルタナティブ,,,,,,,,,,
TVアニメ,2016,4,7,,2016,6,23,,,文豪ストレイドッグス,,,,,,,,,,
TVアニメ,2016,7,2,,2016,9,24,,,Rewrite,,,,,,,,,,
TVアニメ,2017,1,14,,2017,3,25,,,Rewrite,,,,,,,,,,
TVアニメ,2017,1,2,,2017,3,27,,,超・少年探偵団NEO,,,,,,,,,,
TVアニメ,2017,1,7,,2017,4,1,,,スクールガールストライカーズ Animation Channel,,,,,,,,,,
TVアニメ,2017,1,9,,2017,3,27,,,ガヴリールドロップアウト,,,,,,,,,,
TVアニメ,2017,4,5,,2017,9,13,,,サクラダリセット,,,,,,,,,,
TVアニメ,2017,4,9,,2017,6,25,,,エロマンガ先生,,,,,,,,,,
TVアニメ,2017,4,2,,2017,6,25,,,GRANBLUE FANTASY The Animation,,,,,,,,,,
TVアニメ,2017,7,4,,2017,9,19,,,恋と嘘,,,,,,,,,,
TVアニメ,2017,7,4,,2017,9,19,,,徒然チルドレン,,,,,,,,,,
TVアニメ,2017,7,10,,2017,9,25,,,天使の3P!,,,,,,,,,,
TVアニメ,2017,10,3,,2017,12,26,,,Infini-T Force,,,,,,,,,,
TVアニメ,2017,10,4,,2017,12,20,,,食戟のソーマ 餐ノ皿,,,,,,,,,,
TVアニメ,2018,4,9,,2018,6,25,,,食戟のソーマ 餐ノ皿,,,,,,,,,,
TVアニメ,2017,10,8,,2017,12,24,,,アニメガタリズ,,,,,,,,,,
TVアニメ,2017,10,6,,2017,12,22,,,少女終末旅行,,,,,,,,,,
TVアニメ,2018,1,2,,2018,3,27,,,宇宙よりも遠い場所,,,,,,,,,,
TVアニメ,2018,1,13,,2018,6,30,,,BEATLESS,,,,,,,,,,
TVアニメ,2018,4,4,,now,,,,,重神機パンドーラ,,,,,,,,,,
TVアニメ,2018,4,7,,now,,,,,メジャーセカンド,,,,,,,,,,
TVアニメ,2018,4,8,,now,,,,,レイトン ミステリー探偵社 〜カトリーのナゾトキファイル〜,,,,,,,,,,
TVアニメ,2018,4,8,,2018,6,24,,,Cutie Honey Universe,,,,,,,,,,
TVアニメ,2018,4,8,,now,,,,,若おかみは小学生!,,,,,,,,,,
TVアニメ,2018,7,8,,now,,,,,はたらく細胞,,,,,,,,,,
TVアニメ,2018,7,14,,now,,,,,ハッピーシュガーライフ,,,,,,,,,,
TVアニメ,2018,7,10,,now,,,,,Phantom in the Twilight,,,,,,,,,,
TVアニメ,2012,1,7,,2013,3,17,,,傷物語,,,,,,,千石撫子,woman,,中学二年生
TVアニメ,2013,7,6,,2013,12,28,,,〈物語〉シリーズ セカンドシーズン,,,,,,,千石撫子,woman,,中学二年生
TVアニメ,2017,8,13,,,,,,,終物語,,,,,,,千石撫子,woman,,中学二年生
TVアニメ,2009,4,2,,2009,9,24,,,PandoraHearts,,,,,,,シャロン＝レインズワース,woman,,契約者
TVアニメ,2013,4,7,,2013,6,30,,,俺の妹がこんなに可愛いわけがない。,,,,,,,五更 瑠璃 / 黒猫,woman,,高校一年生
TVアニメ,,,,,,,,,,,,,,,,,,,,
TVアニメ,,,,,,,,,,,,,,,,,,,,
TVアニメ,,,,,,,,,,,,,,,,,,,,
TVアニメ,,,,,,,,,,,,,,,,,,,,
TVアニメ,,,,,,,,,,,,,,,,,,,,
TVアニメ,,,,,,,,,,,,,,,,,,,,
TVアニメ,,,,,,,,,,,,,,,,,,,,
TVアニメ,,,,,,,,,,,,,,,,,,,,
TVアニメ,,,,,,,,,,,,,,,,,,,,
TVアニメ,,,,,,,,,,,,,,,,,,,,
TVアニメ,,,,,,,,,,,,,,,,,,,,
TVアニメ,,,,,,,,,,,,,,,,,,,,
TVアニメ,,,,,,,,,,,,,,,,,,,,
TVアニメ,,,,,,,,,,,,,,,,,,,,
TVアニメ,,,,,,,,,,,,,,,,,,,,
TVアニメ,,,,,,,,,,,,,,,,,,,,
TVアニメ,,,,,,,,,,,,,,,,,,,,
TVアニメ,,,,,,,,,,,,,,,,,,,,
TVアニメ,,,,,,,,,,,,,,,,,,,,
TVアニメ,,,,,,,,,,,,,,,,,,,,
TVアニメ,,,,,,,,,,,,,,,,,,,,
TVアニメ,,,,,,,,,,,,,,,,,,,,
TVアニメ,,,,,,,,,,,,,,,,,,,,
TVアニメ,,,,,,,,,,,,,,,,,,,,
TVアニメ,,,,,,,,,,,,,,,,,,,,
TVアニメ,,,,,,,,,,,,,,,,,,,,
TVアニメ,,,,,,,,,,,,,,,,,,,,
ラジオ,2007,6,29,,2008,3,28,,,香菜とあゆみのまよらじ,,,,,,,,,,
ラジオ,2008,1,9,,now,,,,,花澤香菜のひとりでできるかな?,,,,,,,,,,
ラジオ,2007,9,28,,2008,1,11,,,スケッチブック ほんわからじお,,,,,,,,,,
ラジオ,2008,2,9,,2008,2,23,,,花澤香菜のここでいいのかな?,,,,,,,,,,
ラジオ,2008,6,11,,2009,4,7,,,かんなぎらじお,,,,,,,,,,
ラジオ,2008,9,6,,2008,10,25,,,花澤香菜のやっぱりここでいいのかな?,,,,,,,,,,
ラジオ,2009,5,8,,2009,7,31,,,あゆみ・かな・まりやのらじおPW,,,,,,,,,,
ラジオ,2009,8,,,,,,,,ネットラジオ『パンドララジオ〜アヴィスの使者がやってくる!?〜』出張版,,,,,,,,,,
ラジオ,2009,9,11,,2009,10,30,,,STEINS;GATEラジオ 未来ガジェット電波局,,,,,,,,,,
ラジオ,2009,11,,,2009,12,,,,DARKER THAN BLACK BACKSTAGE PASS,,,,,,,,,,
ラジオ,2010,1,9,,2011,1,1,,,ラジオ“文学少女”〜真夜中の文芸部〜,,,,,,,,,,
ラジオ,2010,2,26,,2011,3,25,,,デュラララ!!ラジオ 略して デュララジ!!,,,,,,,,,,
ラジオ,2014,9,19,,2016,4,9,,,デュラララ!!ラジオ 略して デュララジ!!×2,,,,,,,,,,
ラジオ,2010,4,1,,2011,3,31,,,Angel Beats! SSS（死んだ 世界 戦線）RADIO,,,,,,,,,,
ラジオ,2010,3,5,,2010,6,11,,,ゆとり☆ちゃんねる〜ラヂオもイラッとしないでね♥〜,,,,,,,,,,
ラジオ,2010,3,23,,2010,7,27,,,B型R系,,,,,,,,,,
ラジオ,2010,4,5,,2010,4,7,,,ユーディーのアトリエ 〜グラムナートの錬金術士〜 囚われの守人Webラジオ,,,,,,,,,,
ラジオ,2010,4,30,,2010,9,14,,,ブレブ・レイディオ,,,,,,,,,,
ラジオ,2010,8,13,,2011,7,22,,,俺の妹が（ラジオでも）こんなに可愛いわけがない,,,,,,,,,,
ラジオ,2011,2,28,,2011,10,24,,,TVアニメもしドラ 「程高放送部 〜もしドラジオ〜」,,,,,,,,,,
ラジオ,2011,4,30,,2012,3,31,,,エレうた!,,,,,,,,,,
ラジオ,2012,3,,,,,,,,ラジオ・ド・章樫,,,,,,,,,,
ラジオ,2012,10,5,,2014,9,25,,,PSYCHO-PASSラジオ 公安局刑事課24時,,,,,,,,,,
ラジオ,2013,4,11,,2013,12,26,,,俺の妹が（ラジオでも）こんなに可愛いわけがない。,,,,,,,,,,
ラジオ,2013,3,29,,,,,,,RADIPEDIA月末スペシャル,,,,,,,,,,
ラジオ,2013,9,25,,2014,4,30,,,凪のあすからじお,,,,,,,,,,
ラジオ,2013,2,27,,,,,,,RADIO IS,,,,,,,,,,
ラジオ,2014,3,27,,2014,7,10,,,僕らはみんな河合荘 〜ラジオもみんな河合荘〜,,,,,,,,,,
ラジオ,2014,7,13,,2014,9,28,,,チェンクロラジオ,,,,,,,,,,
ラジオ,2014,6,20,,,,,,,花澤香菜のオールナイトニッポンGOLD,,,,,,,,,,
ラジオ,2015,1,9,,,,,,,花澤香菜のオールナイトニッポンGOLD,,,,,,,,,,
ラジオ,2014,10,6,,2015,9,27,,,花澤香菜・雨宮天のRADIO GREE NIGHT,,,,,,,,,,
ラジオ,2015,4,20,,2015,4,23,,,よ・み・き・か・せ,,,,,,,,,,
ラジオ,3016,12,5,,,,,,,よ・み・き・か・せ,,,,,,,,,,
ラジオ,2015,12,10,,2016,6,2,,,砂雪と夕夏のしょこめざらじお,,,,,,,,,,
ラジオ,2016,1,7,,2016,3,24,,,喜多村英梨と花澤香菜の＼おじマシュ〜Radio☆／,,,,,,,,,,
ラジオ,2016,4,12,,2018,3,26,,,グラニpresents 花澤香菜・内山夕実のクロ香菜さんとシロ夕実さん,,,,,,,,,,
ラジオ,,,,,,,,,,,,,,,,,,,,
ラジオ,,,,,,,,,,,,,,,,,,,,
