group,year,month,day,time,title,detail,url,type,color,rowNumber,end_year,end_month,end_day,end_time,display_date,image_url,image_credit
主要キャラクターが関連する作戦行動,2017,8,10,6:00,独飛、横須賀基地へ移動,"第3巻　p135～
　空母上でブリーフィングと歓迎会",,,,36,,,,,,,
主要キャラクターが関連する作戦行動,2017,8,12,7:00,独飛による制空戦闘（上海上陸作戦）,"第3巻　p156～
　慧、グリペン、ライノが浦東国際空港へ着陸。",,,,37,,,,,,,
主要キャラクター関連の出来事,2017,4,5,,ライノの誕生日,"第3巻　p192～
　アニマが完成した日か、ドーター化に成功した日？",,,,38,,,,,,,
掲載巻,2017,8,19,,第4巻,,,,,39,,,,,,,
主要キャラクター関連の出来事,2017,8,19,,ヤロスラフ・ギンツブルク、死亡,"第4巻　p114～
　ベルクトのドーター化に携わっていた研究員。",,,,40,,,,,,,
主要キャラクターが関連する作戦行動,2017,8,19,20:40,独飛による領空侵犯対応（ベルクト亡命）,"第4巻　p16～
　独飛3機によるスクランブル。",,,,41,,,,,,,
主要キャラクターが関連する作戦行動,2017,8,24,13:00,独飛によるザイ迎撃,"第4巻　p36～
　慧・グリペンによるスクランブル。",,,,42,,,,,,,
主要キャラクターが関連する作戦行動,2017,8,25,11:00,独飛によるザイ迎撃,"第4巻　p78～
　独飛機およびベルクトによるスクランブル。",,,,43,,,,,,,
主要キャラクター関連の出来事,2017,8,26,10:20,八代通、統合幕僚長と密会,"第4巻　p108～
　ベルクトおよび関連する研究についての情報を入手。",,,,44,,,,,,,
主要キャラクターが関連する作戦行動,2017,8,27,15:15,独飛によるザイ電子戦機攻撃,"第4巻　p134～
　独飛機およびベルクトによる攻撃作戦。",,,,45,,,,,,,
主要キャラクター関連の出来事,2017,8,27,20:10,ベルクトの記憶調査,"第4巻　p214～
　ベルクトおよび関連する研究についての情報を入手。",,,,46,,,,,,,
その他の出来事,2017,8,28,10:00,RELスカイロン、小松基地に到着,"第4巻　p228～
　機体の詳細については以下を参照。",https://ja.wikipedia.org/wiki/%E3%82%B9%E3%82%AB%E3%82%A4%E3%83%AD%E3%83%B3,,,47,,,,,,,
主要キャラクターが関連する作戦行動,2017,8,29,10:00,フィリピン海上における高高度範囲攻撃作戦,"第4巻　p246～
　独飛機、ベルクトほか日・米航空戦力による作戦。",,,,48,,,,,,,
掲載巻,2017,9,8,,第5巻,,,,,49,,,,,,,
主要キャラクター関連の出来事,2017,9,8,11:00,慧、グリペンと難民居留区でデート,"第5巻　p18～
　途中、チャイニーズマフィアに拘束される。",,,,50,,,,,,,
主要キャラクター関連の出来事,2017,9,10,11:00,慧、ブーランジェ大尉（ラファール）と会う。,"第5巻　p51～
　翌日曜日、との記述による。",,,,51,,,,,,,
その他の出来事,2017,9,7,10:00,TF473、東シナ海で消息を絶つ,"第5巻　p59～
　空母シャルル・ド・ゴールなど。",,,,52,,,,,,,
主要キャラクターが関連する作戦行動,2017,9,17,,東シナ海におけるラファール回収作戦,"第5巻　p114～
　独飛機およびフランス軍による作戦。",,,,53,,,,,,,
掲載巻,2017,10,2,,第5巻,,,,,54,,,,,,,
主要キャラクターが関連する作戦行動,2017,10,2,,モンゴルにおける不明機調査,第6巻 ,,,,55,,,,,,,
